NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,FinancialDistressNextTwoYears
0,3,1.0,Yes
5,1,1.0,Yes
3,2,3.0,Yes
0,3,3.0,Yes
3,1,1.0,Yes
4,2,1.0,No
3,4,0.0,Yes
7,0,0.0,No
2,1,4.0,No
0,0,8.0,No
1,3,3.0,Yes
2,0,6.0,Yes
1,5,1.0,Yes
3,1,3.0,No
4,1,2.0,Yes
2,0,4.0,No
2,2,2.0,No
6,2,2.0,Yes
2,3,5.0,No
5,1,4.0,No
4,0,3.0,No
7,1,3.0,No
1,4,2.0,Yes
5,1,0.0,No
4,3,1.0,No
1,2,4.0,Yes
3,3,0.0,No
7,3,0.0,No
0,2,4.0,Yes
5,0,1.0,No
3,0,5.0,No
0,3,,Yes
3,1,2.0,No
3,3,1.0,No
4,1,4.0,Yes
0,1,5.0,No
96,96,2.0,Yes
3,0,4.0,Yes
2,6,1.0,Yes
1,6,0.0,No
5,2,2.0,Yes
8,2,1.0,Yes
4,4,0.0,Yes
4,7,1.0,Yes
5,1,,No
3,6,0.0,No
4,0,,No
6,1,1.0,No
3,2,2.0,Yes
4,4,1.0,Yes
5,5,1.0,Yes
5,0,2.0,Yes
6,2,0.0,Yes
2,2,4.0,Yes
3,4,1.0,No
5,2,3.0,Yes
0,1,6.0,Yes
1,0,20.0,No
7,1,0.0,No
1,3,1.0,Yes
2,2,,No
6,1,0.0,Yes
1,5,0.0,Yes
6,4,0.0,Yes
4,1,,No
5,0,4.0,Yes
6,1,3.0,Yes
2,3,3.0,Yes
2,3,2.0,No
1,4,1.0,Yes
2,2,6.0,Yes
6,3,0.0,Yes
0,2,,Yes
3,3,3.0,No
3,3,7.0,Yes
6,0,1.0,No
1,0,8.0,No
1,0,6.0,No
5,1,7.0,Yes
3,0,6.0,No
5,4,1.0,Yes
8,0,0.0,Yes
2,4,4.0,Yes
7,0,2.0,No
2,4,0.0,Yes
13,0,3.0,Yes
0,2,5.0,Yes
2,4,2.0,No
2,5,0.0,No
4,2,4.0,Yes
5,2,4.0,Yes
0,4,1.0,No
1,1,5.0,Yes
6,2,1.0,Yes
5,1,3.0,Yes
0,7,2.0,No
2,3,6.0,Yes
98,98,4.0,No
4,2,3.0,Yes
8,0,3.0,No
96,96,0.0,Yes
3,4,3.0,No
0,7,,No
2,1,,Yes
2,2,5.0,Yes
2,3,1.0,Yes
5,3,0.0,Yes
0,0,10.0,No
3,4,2.0,Yes
5,2,1.0,Yes
1,6,1.0,Yes
9,0,1.0,Yes
1,3,,No
3,0,,No
1,4,4.0,Yes
4,4,2.0,Yes
6,1,2.0,Yes
4,3,0.0,Yes
4,1,6.0,Yes
3,1,,No
10,5,1.0,Yes
8,0,1.0,No
9,2,0.0,No
2,4,1.0,Yes
0,3,5.0,Yes
7,2,4.0,Yes
6,3,1.0,Yes
2,0,8.0,Yes
1,5,2.0,Yes
11,1,0.0,Yes
9,0,0.0,No
3,2,,Yes
5,0,5.0,No
0,7,1.0,No
4,0,5.0,No
6,0,3.0,No
0,5,0.0,Yes
10,2,0.0,Yes
6,1,4.0,Yes
2,5,3.0,Yes
6,0,,No
4,2,2.0,No
3,8,0.0,Yes
10,0,0.0,No
7,2,0.0,No
2,6,3.0,Yes
5,8,0.0,No
98,98,3.0,Yes
0,3,4.0,Yes
0,4,2.0,No
3,2,4.0,Yes
0,3,6.0,No
8,6,1.0,No
10,1,0.0,Yes
96,96,1.0,Yes
8,1,2.0,No
3,1,5.0,No
7,3,2.0,No
8,0,2.0,No
6,2,3.0,Yes
3,5,2.0,No
6,0,4.0,No
4,6,0.0,Yes
6,6,1.0,Yes
6,3,3.0,Yes
8,1,3.0,No
1,1,6.0,No
98,98,5.0,No
3,5,,Yes
9,0,,No
7,4,0.0,Yes
6,1,,Yes
1,5,,Yes
8,1,0.0,No
0,6,4.0,Yes
3,7,0.0,Yes
8,2,3.0,Yes
8,1,1.0,No
2,6,0.0,Yes
1,0,13.0,No
8,2,0.0,No
5,0,,Yes
9,1,3.0,No
5,5,0.0,Yes
6,5,0.0,Yes
1,3,6.0,Yes
0,11,0.0,Yes
9,2,1.0,No
6,3,2.0,No
3,4,4.0,Yes
7,2,2.0,Yes
3,3,,Yes
2,3,,Yes
5,4,2.0,Yes
8,3,0.0,No
1,0,10.0,No
3,9,2.0,No
8,4,4.0,No
7,1,4.0,Yes
0,2,6.0,Yes
7,2,5.0,Yes
0,1,7.0,No
12,1,0.0,Yes
5,3,1.0,Yes
7,2,3.0,Yes
6,4,1.0,Yes
0,6,1.0,Yes
6,2,4.0,Yes
7,1,1.0,No
1,2,5.0,Yes
4,3,3.0,No
1,6,4.0,Yes
3,7,3.0,Yes
4,3,4.0,Yes
7,5,1.0,Yes
1,0,7.0,No
5,4,0.0,No
4,6,1.0,Yes
7,2,1.0,Yes
1,1,7.0,No
0,7,0.0,Yes
2,2,7.0,Yes
8,0,4.0,Yes
7,3,1.0,No
3,5,0.0,Yes
1,5,3.0,No
9,3,0.0,No
1,7,0.0,Yes
6,3,4.0,Yes
4,2,,No
3,1,6.0,Yes
