weather,temperature,expiration,gender,has_children,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,AcceptCoupon
Snowy,30,1d,Male,0,1,0,1,0,No
Sunny,30,1d,Male,0,0,0,0,1,No
Rainy,55,2h,Female,0,0,0,1,0,Yes
Snowy,30,1d,Female,0,1,1,0,1,No
Sunny,80,2h,Female,1,0,0,1,0,No
Sunny,80,2h,Female,1,1,1,0,1,Yes
Rainy,55,2h,Male,1,0,0,1,0,No
Sunny,30,1d,Male,0,0,0,1,0,Yes
Sunny,55,2h,Female,0,0,0,0,1,No
Sunny,80,2h,Female,1,1,0,1,0,Yes
Sunny,55,2h,Male,1,1,1,0,1,No
Sunny,30,2h,Male,1,0,0,0,1,No
Sunny,55,1d,Male,0,1,1,0,1,Yes
Rainy,55,2h,Male,1,1,1,0,1,No
Sunny,30,2h,Male,1,1,0,1,0,Yes
Sunny,55,2h,Male,0,1,1,0,1,No
Sunny,55,1d,Female,1,1,0,1,0,No
Snowy,30,1d,Female,1,0,0,1,0,Yes
Sunny,30,1d,Female,0,1,0,0,1,Yes
Sunny,55,2h,Female,1,0,0,0,1,Yes
Sunny,30,2h,Male,1,1,0,0,1,Yes
Sunny,80,1d,Female,1,1,1,0,1,Yes
Rainy,55,2h,Female,1,0,0,1,0,Yes
Snowy,30,2h,Female,1,1,0,0,1,No
Snowy,30,2h,Male,0,1,0,0,1,Yes
Snowy,30,1d,Female,0,0,0,1,0,Yes
Snowy,30,2h,Male,0,0,0,0,1,No
Sunny,55,1d,Male,0,1,0,1,0,Yes
Sunny,30,1d,Male,1,1,1,0,1,Yes
Snowy,30,1d,Female,1,1,0,1,0,No
Snowy,30,1d,Male,0,0,0,1,0,Yes
Sunny,30,1d,Female,0,0,0,1,0,No
Sunny,80,1d,Male,0,1,0,1,0,No
Sunny,30,2h,Female,0,1,0,1,0,Yes
Rainy,55,2h,Male,1,1,0,1,0,Yes
Snowy,30,2h,Male,1,0,0,0,1,No
Snowy,30,1d,Male,0,1,1,0,1,No
Sunny,55,1d,Male,1,1,1,0,1,No
Sunny,30,2h,Male,1,1,1,0,1,No
Snowy,30,1d,Female,1,1,1,0,1,No
Sunny,30,1d,Female,1,1,0,1,0,No
Rainy,55,1d,Female,0,0,0,0,1,Yes
Rainy,55,2h,Female,0,0,0,0,1,Yes
Snowy,30,1d,Male,1,0,0,1,0,No
Sunny,30,1d,Female,0,1,1,0,1,Yes
Rainy,55,2h,Female,0,1,0,1,0,Yes
Sunny,30,1d,Male,1,0,0,0,1,No
Rainy,55,1d,Male,1,0,0,0,1,Yes
Sunny,80,1d,Female,1,1,0,1,0,No
Sunny,30,2h,Female,1,1,0,1,0,Yes
Sunny,30,1d,Male,1,1,0,0,1,No
Rainy,55,2h,Female,0,1,1,0,1,No
Sunny,80,2h,Male,1,1,1,0,1,No
Sunny,80,1d,Male,1,1,0,1,0,Yes
Snowy,30,1d,Female,0,1,0,1,0,No
Rainy,55,2h,Female,1,0,0,0,1,Yes
Sunny,30,1d,Female,1,0,0,1,0,No
Sunny,30,1d,Female,1,1,1,0,1,Yes
Sunny,55,1d,Male,1,1,0,1,0,No
Sunny,55,1d,Female,0,1,0,1,0,Yes
Sunny,55,2h,Female,1,1,0,1,0,No
Sunny,30,2h,Female,0,1,0,0,1,No
Rainy,55,2h,Male,1,0,0,0,1,Yes
Sunny,55,2h,Female,0,1,0,1,0,No
Rainy,55,1d,Female,1,0,0,1,0,Yes
Sunny,55,2h,Male,1,1,0,1,0,No
Sunny,30,1d,Male,1,0,0,1,0,Yes
Sunny,55,2h,Male,0,1,0,1,0,No
Sunny,30,2h,Male,0,1,1,0,1,Yes
