days_before,day_of_week,time,category,attended
1,Mon,PM,Aqua,No
16,Sun,PM,HIIT,No
13,Sat,PM,HIIT,Yes
11,Fri,AM,HIIT,No
12,Thu,PM,Cycling,No
8,Thu,PM,HIIT,Yes
9,Thu,PM,HIIT,Yes
3,Tue,PM,HIIT,No
15,Sun,PM,Aqua,Yes
12,Sat,AM,-,No
6,Tue,PM,Cycling,No
10,Fri,PM,Yoga,No
4,Tue,AM,Aqua,No
9,Thu,AM,HIIT,Yes
13,Sun,PM,Strength,No
4,Tue,AM,Yoga,No
13,Sat,AM,Cycling,Yes
9,Wed,PM,HIIT,No
12,Sat,PM,Aqua,No
4,Tue,PM,Cycling,No
4,Tue,PM,-,No
8,Thu,PM,Yoga,No
15,Sun,AM,HIIT,Yes
14,Sun,PM,HIIT,No
12,Sat,PM,HIIT,No
12,Thu,PM,Yoga,No
7,Tue,PM,Strength,No
5,Tue,PM,HIIT,Yes
14,Sun,PM,Cycling,Yes
15,Sun,AM,Yoga,No
10,Thu,PM,HIIT,No
10,Fri,AM,-,No
11,Sat,PM,Strength,No
20,Sun,PM,HIIT,Yes
15,Sun,PM,Cycling,Yes
3,Mon,AM,HIIT,No
6,Tue,PM,Strength,No
11,Sat,PM,Yoga,No
14,Sun,AM,Aqua,No
5,Tue,AM,Aqua,Yes
5,Wed,PM,Aqua,No
7,Wed,PM,HIIT,No
9,Thu,AM,Cycling,Yes
4,Tue,PM,Aqua,No
1,Mon,PM,Cycling,Yes
29,Sun,PM,Strength,No
11,Thu,PM,Cycling,No
6,Wed,PM,Cycling,No
15,Sun,PM,Yoga,No
8,Mon,PM,HIIT,No
7,Thu,PM,Aqua,No
5,Wed,PM,Yoga,No
11,Fri,PM,Yoga,No
8,Wed,PM,HIIT,No
7,Thu,PM,Strength,No
2,Mon,AM,-,No
6,Wed,PM,Aqua,No
11,Thu,PM,Yoga,No
11,Sat,PM,Cycling,No
12,Sat,AM,Aqua,No
12,Sat,PM,Cycling,No
7,Wed,AM,HIIT,No
5,Tue,PM,Yoga,No
9,Tue,PM,HIIT,No
10,Wed,PM,HIIT,No
12,Fri,PM,Yoga,No
7,Wed,PM,Yoga,No
15,Fri,PM,Strength,Yes
8,Thu,AM,-,No
4,Mon,PM,HIIT,No
4,Tue,PM,Yoga,No
15,Sun,AM,Cycling,No
8,Thu,PM,Aqua,Yes
2,Mon,PM,Aqua,Yes
12,Sat,PM,Strength,No
9,Fri,PM,HIIT,Yes
3,Mon,AM,Yoga,No
13,Sat,PM,Cycling,No
13,Sat,AM,HIIT,No
14,Sat,PM,HIIT,No
12,Fri,PM,HIIT,No
12,Wed,PM,HIIT,No
7,Thu,PM,Yoga,Yes
15,Thu,PM,HIIT,No
6,Wed,AM,Aqua,No
2,Mon,PM,Strength,No
9,Thu,PM,Yoga,No
3,Mon,AM,Aqua,Yes
17,Sun,PM,Aqua,No
17,Sun,PM,HIIT,Yes
9,Fri,PM,Strength,No
3,Mon,AM,Strength,No
10,Wed,PM,Cycling,No
11,Wed,PM,HIIT,No
10,Fri,PM,HIIT,Yes
16,Sun,PM,Yoga,No
14,Sun,AM,-,Yes
13,Sat,PM,Strength,No
9,Thu,AM,Yoga,No
9,Thu,PM,Aqua,Yes
7,Wed,AM,Cycling,No
15,Sun,AM,Strength,Yes
