gender,relevent_experience,enrolled_university,education_level,major_discipline,company_type,LookingForJobChange
nan,No relevent experience,Full time course,High School,nan,NGO,No
nan,No relevent experience,no_enrollment,Primary School,nan,nan,No
Male,Has relevent experience,Full time course,Phd,Other,Pvt Ltd,No
Male,No relevent experience,Full time course,Masters,STEM,nan,No
Male,No relevent experience,no_enrollment,Graduate,Business Degree,nan,No
nan,Has relevent experience,no_enrollment,Phd,STEM,Funded Startup,No
Male,Has relevent experience,no_enrollment,Graduate,STEM,Public Sector,No
Male,No relevent experience,Part time course,Masters,STEM,Public Sector,No
Male,No relevent experience,no_enrollment,Masters,Other,nan,Yes
nan,No relevent experience,nan,Masters,STEM,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Phd,STEM,Public Sector,No
Male,Has relevent experience,Part time course,High School,nan,nan,No
nan,Has relevent experience,no_enrollment,Graduate,Humanities,nan,Yes
Male,Has relevent experience,Part time course,High School,nan,Pvt Ltd,Yes
Male,No relevent experience,no_enrollment,Phd,STEM,nan,No
Male,Has relevent experience,Full time course,Masters,STEM,Public Sector,No
Male,No relevent experience,Part time course,Masters,STEM,Pvt Ltd,No
nan,No relevent experience,no_enrollment,Graduate,STEM,Early Stage Startup,No
Male,Has relevent experience,Part time course,Graduate,STEM,Early Stage Startup,No
Male,No relevent experience,no_enrollment,Phd,STEM,Pvt Ltd,No
Female,Has relevent experience,no_enrollment,Masters,STEM,Pvt Ltd,No
nan,No relevent experience,no_enrollment,Primary School,nan,Pvt Ltd,No
nan,No relevent experience,no_enrollment,Graduate,No Major,Pvt Ltd,No
nan,No relevent experience,no_enrollment,nan,nan,nan,No
nan,Has relevent experience,Part time course,Graduate,STEM,Public Sector,No
nan,No relevent experience,nan,nan,nan,nan,No
Female,No relevent experience,no_enrollment,Graduate,Arts,Funded Startup,No
Male,Has relevent experience,Full time course,Graduate,STEM,Early Stage Startup,No
Male,No relevent experience,no_enrollment,High School,nan,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Phd,STEM,nan,No
Male,Has relevent experience,Full time course,High School,nan,nan,No
nan,No relevent experience,no_enrollment,High School,nan,nan,No
Male,No relevent experience,Full time course,nan,nan,nan,Yes
nan,No relevent experience,no_enrollment,Masters,Humanities,nan,No
nan,No relevent experience,no_enrollment,High School,nan,Pvt Ltd,No
nan,No relevent experience,Full time course,Masters,STEM,nan,No
Other,Has relevent experience,nan,Graduate,Humanities,nan,No
Male,No relevent experience,Part time course,High School,nan,Funded Startup,No
Other,Has relevent experience,no_enrollment,Graduate,STEM,nan,Yes
Male,No relevent experience,Full time course,Graduate,STEM,Other,No
Male,No relevent experience,no_enrollment,Graduate,Other,Funded Startup,No
Female,No relevent experience,Full time course,Masters,STEM,Public Sector,Yes
Male,No relevent experience,Full time course,Graduate,Arts,nan,Yes
Male,Has relevent experience,Full time course,High School,nan,Other,No
nan,No relevent experience,Full time course,Graduate,Other,nan,Yes
nan,Has relevent experience,Part time course,Graduate,STEM,nan,Yes
Male,Has relevent experience,no_enrollment,Masters,No Major,nan,No
Male,Has relevent experience,no_enrollment,Graduate,Other,nan,No
Male,Has relevent experience,nan,Graduate,STEM,Early Stage Startup,Yes
Female,No relevent experience,no_enrollment,Masters,STEM,Pvt Ltd,Yes
Female,Has relevent experience,no_enrollment,Phd,STEM,Funded Startup,No
nan,Has relevent experience,no_enrollment,Graduate,STEM,Early Stage Startup,No
Male,No relevent experience,no_enrollment,Masters,Humanities,Pvt Ltd,No
nan,No relevent experience,no_enrollment,Masters,STEM,nan,No
nan,Has relevent experience,no_enrollment,Graduate,STEM,Public Sector,No
Female,No relevent experience,no_enrollment,Phd,Humanities,NGO,Yes
Male,Has relevent experience,Part time course,Masters,STEM,Public Sector,No
Other,No relevent experience,no_enrollment,Graduate,Other,nan,No
Male,No relevent experience,no_enrollment,Graduate,STEM,NGO,No
Male,No relevent experience,nan,High School,nan,Pvt Ltd,No
nan,No relevent experience,no_enrollment,Graduate,Other,Public Sector,Yes
Female,No relevent experience,Full time course,High School,nan,nan,No
nan,No relevent experience,no_enrollment,Graduate,STEM,nan,No
Male,No relevent experience,no_enrollment,Graduate,Other,nan,Yes
Female,No relevent experience,Part time course,Graduate,STEM,Pvt Ltd,No
nan,Has relevent experience,nan,nan,nan,Funded Startup,No
Male,No relevent experience,no_enrollment,Graduate,Humanities,Public Sector,No
nan,Has relevent experience,no_enrollment,nan,nan,nan,No
nan,No relevent experience,Full time course,Masters,STEM,Pvt Ltd,No
Male,No relevent experience,no_enrollment,Phd,STEM,Public Sector,No
Male,No relevent experience,Full time course,Graduate,No Major,nan,No
Female,Has relevent experience,Part time course,High School,nan,Pvt Ltd,No
Male,No relevent experience,no_enrollment,Graduate,No Major,Pvt Ltd,Yes
Male,Has relevent experience,no_enrollment,Graduate,No Major,Pvt Ltd,Yes
Female,No relevent experience,Full time course,Phd,STEM,Public Sector,No
nan,Has relevent experience,no_enrollment,Graduate,Other,nan,Yes
Male,Has relevent experience,no_enrollment,Graduate,STEM,Other,Yes
Male,Has relevent experience,no_enrollment,Masters,Humanities,Funded Startup,No
Male,No relevent experience,Part time course,High School,nan,Public Sector,No
Male,Has relevent experience,no_enrollment,Primary School,nan,Pvt Ltd,No
Female,Has relevent experience,Part time course,Graduate,STEM,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Phd,Humanities,nan,No
nan,No relevent experience,Full time course,Graduate,nan,nan,No
Female,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,No
nan,Has relevent experience,Full time course,Masters,STEM,nan,No
nan,No relevent experience,Part time course,Graduate,STEM,Public Sector,Yes
nan,Has relevent experience,no_enrollment,Masters,Humanities,Public Sector,No
nan,Has relevent experience,no_enrollment,Phd,STEM,Pvt Ltd,No
Male,No relevent experience,Full time course,nan,nan,Pvt Ltd,No
nan,Has relevent experience,nan,Graduate,STEM,nan,Yes
Male,Has relevent experience,no_enrollment,Graduate,Arts,Public Sector,No
Male,Has relevent experience,Part time course,nan,nan,nan,No
Male,Has relevent experience,Part time course,High School,nan,Funded Startup,No
nan,Has relevent experience,Full time course,High School,nan,Pvt Ltd,No
nan,Has relevent experience,Part time course,Masters,STEM,Pvt Ltd,No
Other,No relevent experience,no_enrollment,Primary School,nan,nan,No
Male,Has relevent experience,Full time course,Graduate,STEM,Funded Startup,No
Male,Has relevent experience,no_enrollment,Phd,STEM,Funded Startup,No
nan,No relevent experience,no_enrollment,Graduate,Business Degree,Pvt Ltd,No
nan,Has relevent experience,Part time course,Graduate,STEM,NGO,Yes
Male,No relevent experience,Part time course,Graduate,STEM,Pvt Ltd,No
nan,No relevent experience,no_enrollment,Masters,STEM,Early Stage Startup,No
nan,No relevent experience,nan,Graduate,STEM,Pvt Ltd,Yes
nan,Has relevent experience,no_enrollment,High School,nan,Pvt Ltd,No
nan,Has relevent experience,no_enrollment,Masters,STEM,Funded Startup,No
Male,No relevent experience,no_enrollment,Masters,No Major,Pvt Ltd,No
nan,Has relevent experience,Part time course,High School,nan,Public Sector,Yes
Male,No relevent experience,no_enrollment,Graduate,No Major,Early Stage Startup,Yes
nan,Has relevent experience,no_enrollment,Masters,Other,Pvt Ltd,No
nan,Has relevent experience,nan,Graduate,Business Degree,nan,No
nan,No relevent experience,no_enrollment,Masters,Humanities,Pvt Ltd,No
Female,Has relevent experience,no_enrollment,Graduate,Other,Public Sector,Yes
nan,Has relevent experience,nan,Graduate,STEM,Pvt Ltd,Yes
nan,No relevent experience,Full time course,nan,nan,nan,No
Male,No relevent experience,no_enrollment,nan,nan,nan,No
Male,Has relevent experience,nan,nan,nan,nan,Yes
Male,No relevent experience,Full time course,Graduate,Business Degree,Other,No
nan,No relevent experience,no_enrollment,Masters,Other,Pvt Ltd,No
nan,Has relevent experience,Full time course,Graduate,Other,nan,No
Female,No relevent experience,no_enrollment,Graduate,STEM,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Graduate,Humanities,Early Stage Startup,No
Female,Has relevent experience,no_enrollment,Graduate,Humanities,Pvt Ltd,No
nan,Has relevent experience,no_enrollment,High School,nan,Funded Startup,No
Female,Has relevent experience,no_enrollment,Graduate,STEM,Funded Startup,Yes
Female,Has relevent experience,no_enrollment,Graduate,Arts,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Masters,Other,nan,No
Male,No relevent experience,Part time course,Graduate,Business Degree,nan,Yes
Male,Has relevent experience,no_enrollment,Phd,STEM,Early Stage Startup,No
Male,No relevent experience,Full time course,Graduate,STEM,NGO,No
Male,No relevent experience,no_enrollment,High School,nan,Other,No
Male,No relevent experience,no_enrollment,Masters,STEM,Pvt Ltd,Yes
nan,Has relevent experience,no_enrollment,Masters,STEM,NGO,No
nan,Has relevent experience,no_enrollment,Graduate,Arts,Pvt Ltd,No
Other,Has relevent experience,Full time course,High School,nan,Pvt Ltd,No
Female,Has relevent experience,nan,Masters,STEM,Pvt Ltd,Yes
Male,No relevent experience,Full time course,Graduate,Humanities,NGO,No
Other,No relevent experience,Full time course,Masters,STEM,nan,No
Male,Has relevent experience,no_enrollment,Graduate,Other,Funded Startup,No
Male,No relevent experience,Part time course,Graduate,STEM,nan,Yes
Other,Has relevent experience,Full time course,Graduate,STEM,nan,Yes
nan,No relevent experience,Part time course,Graduate,Business Degree,Pvt Ltd,No
nan,Has relevent experience,no_enrollment,High School,nan,nan,Yes
Male,Has relevent experience,no_enrollment,Graduate,Arts,nan,Yes
Male,No relevent experience,no_enrollment,nan,nan,Pvt Ltd,No
Female,No relevent experience,no_enrollment,Graduate,Arts,nan,Yes
Male,No relevent experience,no_enrollment,Graduate,STEM,Public Sector,No
Male,No relevent experience,Full time course,High School,nan,Funded Startup,No
nan,No relevent experience,no_enrollment,Phd,STEM,Public Sector,No
Female,No relevent experience,Full time course,Graduate,No Major,nan,Yes
nan,No relevent experience,no_enrollment,Graduate,STEM,NGO,No
Male,No relevent experience,Full time course,Masters,Humanities,nan,No
Male,No relevent experience,Full time course,High School,nan,NGO,Yes
nan,Has relevent experience,no_enrollment,Masters,STEM,Other,No
Male,Has relevent experience,no_enrollment,Primary School,nan,nan,No
Male,No relevent experience,nan,High School,nan,nan,Yes
Male,No relevent experience,Part time course,Masters,STEM,nan,No
nan,Has relevent experience,Full time course,Masters,STEM,NGO,No
Male,No relevent experience,no_enrollment,Masters,Humanities,NGO,No
Male,Has relevent experience,no_enrollment,nan,nan,nan,No
Male,No relevent experience,Part time course,Graduate,Humanities,nan,No
Female,No relevent experience,no_enrollment,Phd,STEM,Pvt Ltd,No
Female,Has relevent experience,Full time course,Masters,STEM,Pvt Ltd,Yes
nan,No relevent experience,no_enrollment,Graduate,Arts,nan,No
Male,Has relevent experience,Full time course,Graduate,STEM,NGO,No
Female,Has relevent experience,no_enrollment,Graduate,Humanities,NGO,No
Male,Has relevent experience,Part time course,Graduate,No Major,Public Sector,No
nan,Has relevent experience,Part time course,Masters,STEM,nan,No
Female,Has relevent experience,no_enrollment,Masters,Business Degree,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Masters,Arts,Pvt Ltd,No
nan,Has relevent experience,Full time course,Graduate,Other,Public Sector,No
Male,No relevent experience,no_enrollment,Graduate,Humanities,NGO,No
Female,No relevent experience,no_enrollment,Graduate,Business Degree,nan,No
Male,No relevent experience,nan,Graduate,STEM,nan,No
nan,No relevent experience,Full time course,Masters,STEM,Public Sector,No
Other,No relevent experience,Full time course,High School,nan,Pvt Ltd,No
nan,No relevent experience,no_enrollment,Graduate,Other,nan,No
Female,Has relevent experience,Part time course,nan,nan,Pvt Ltd,No
nan,No relevent experience,Full time course,Masters,STEM,NGO,No
Female,No relevent experience,no_enrollment,Masters,Humanities,nan,No
Female,Has relevent experience,no_enrollment,Masters,STEM,NGO,No
Male,Has relevent experience,nan,Graduate,STEM,Pvt Ltd,Yes
Female,Has relevent experience,Part time course,Masters,STEM,Pvt Ltd,No
Male,No relevent experience,no_enrollment,High School,nan,NGO,No
Female,Has relevent experience,no_enrollment,Graduate,STEM,Public Sector,No
Female,Has relevent experience,no_enrollment,Primary School,nan,Early Stage Startup,No
Male,No relevent experience,no_enrollment,Phd,Other,Public Sector,No
Female,Has relevent experience,Part time course,Graduate,STEM,Funded Startup,No
nan,No relevent experience,no_enrollment,Phd,Humanities,Public Sector,No
Female,Has relevent experience,no_enrollment,Masters,Humanities,NGO,No
nan,No relevent experience,Full time course,Graduate,STEM,Public Sector,Yes
Male,Has relevent experience,Part time course,Graduate,Business Degree,Pvt Ltd,No
Male,No relevent experience,nan,nan,nan,nan,No
Male,Has relevent experience,Part time course,Graduate,Business Degree,Funded Startup,No
Male,Has relevent experience,no_enrollment,Masters,No Major,Funded Startup,Yes
Female,Has relevent experience,no_enrollment,Graduate,Humanities,nan,Yes
Female,Has relevent experience,no_enrollment,Masters,Arts,Public Sector,No
Male,No relevent experience,no_enrollment,Masters,Other,Funded Startup,No
nan,Has relevent experience,Part time course,Masters,STEM,Funded Startup,No
Male,No relevent experience,Part time course,High School,nan,nan,No
Other,Has relevent experience,no_enrollment,Masters,No Major,Pvt Ltd,No
nan,No relevent experience,no_enrollment,Masters,STEM,Funded Startup,No
Female,No relevent experience,Full time course,Masters,STEM,NGO,No
Female,No relevent experience,Full time course,Masters,STEM,nan,Yes
Male,No relevent experience,no_enrollment,Graduate,Other,Pvt Ltd,No
nan,Has relevent experience,Part time course,Masters,STEM,NGO,Yes
Male,Has relevent experience,Full time course,Graduate,STEM,Public Sector,No
Female,Has relevent experience,no_enrollment,Masters,Humanities,Pvt Ltd,No
nan,Has relevent experience,Full time course,Masters,STEM,Pvt Ltd,No
Female,Has relevent experience,no_enrollment,Phd,STEM,Pvt Ltd,No
Male,No relevent experience,Full time course,Graduate,STEM,Early Stage Startup,Yes
Male,Has relevent experience,no_enrollment,High School,nan,Other,No
Male,Has relevent experience,no_enrollment,Masters,Humanities,nan,No
Male,Has relevent experience,nan,Masters,STEM,nan,No
Male,Has relevent experience,Part time course,Graduate,Other,nan,No
Male,No relevent experience,no_enrollment,Graduate,STEM,Other,No
Male,No relevent experience,no_enrollment,Graduate,STEM,Early Stage Startup,No
Male,Has relevent experience,no_enrollment,Graduate,Humanities,Funded Startup,No
Male,Has relevent experience,no_enrollment,nan,nan,Funded Startup,No
Male,Has relevent experience,no_enrollment,nan,nan,Public Sector,No
Male,No relevent experience,Part time course,Masters,STEM,NGO,No
Female,No relevent experience,no_enrollment,Masters,STEM,Public Sector,No
Female,Has relevent experience,Part time course,Graduate,STEM,nan,No
Male,No relevent experience,no_enrollment,Masters,STEM,Public Sector,No
Male,No relevent experience,Part time course,Graduate,STEM,Public Sector,No
nan,No relevent experience,no_enrollment,nan,nan,Pvt Ltd,No
Female,No relevent experience,Full time course,Masters,STEM,Pvt Ltd,No
nan,Has relevent experience,Full time course,nan,nan,Public Sector,No
Male,No relevent experience,nan,Masters,STEM,nan,No
Male,Has relevent experience,Part time course,Masters,Business Degree,Public Sector,No
nan,No relevent experience,Part time course,Graduate,STEM,nan,Yes
Male,Has relevent experience,no_enrollment,Masters,Humanities,Public Sector,No
Female,Has relevent experience,no_enrollment,Graduate,STEM,NGO,No
Male,No relevent experience,Full time course,Primary School,nan,nan,No
nan,No relevent experience,nan,High School,nan,nan,No
Male,Has relevent experience,no_enrollment,High School,nan,NGO,No
nan,No relevent experience,Full time course,High School,nan,Pvt Ltd,Yes
Other,Has relevent experience,Part time course,High School,nan,Pvt Ltd,No
Male,No relevent experience,Part time course,Masters,No Major,nan,No
Other,No relevent experience,Full time course,Graduate,Other,NGO,No
Male,No relevent experience,no_enrollment,Graduate,Humanities,nan,Yes
Male,No relevent experience,no_enrollment,Graduate,Arts,Early Stage Startup,No
nan,Has relevent experience,no_enrollment,Graduate,No Major,nan,Yes
nan,Has relevent experience,Full time course,Masters,Other,Funded Startup,No
Female,Has relevent experience,no_enrollment,Graduate,Business Degree,Funded Startup,No
Male,Has relevent experience,no_enrollment,Masters,Business Degree,Pvt Ltd,Yes
nan,No relevent experience,Part time course,nan,nan,nan,Yes
nan,Has relevent experience,Full time course,Graduate,STEM,Early Stage Startup,No
nan,Has relevent experience,no_enrollment,Graduate,Humanities,NGO,Yes
Female,Has relevent experience,no_enrollment,Graduate,STEM,Early Stage Startup,No
Male,Has relevent experience,Full time course,Graduate,Humanities,Pvt Ltd,No
Male,No relevent experience,no_enrollment,Graduate,Arts,nan,Yes
nan,Has relevent experience,no_enrollment,Primary School,nan,Pvt Ltd,Yes
Male,Has relevent experience,Part time course,Graduate,No Major,Early Stage Startup,No
nan,Has relevent experience,Full time course,High School,nan,nan,Yes
nan,Has relevent experience,Full time course,nan,nan,Pvt Ltd,No
Male,No relevent experience,Full time course,Graduate,Other,nan,Yes
Other,Has relevent experience,no_enrollment,Graduate,STEM,Public Sector,No
Female,No relevent experience,no_enrollment,Graduate,Humanities,nan,Yes
nan,Has relevent experience,no_enrollment,nan,nan,Pvt Ltd,No
Female,Has relevent experience,no_enrollment,Phd,STEM,Public Sector,No
nan,No relevent experience,Part time course,Masters,STEM,nan,No
nan,No relevent experience,no_enrollment,Graduate,Arts,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Graduate,Arts,Funded Startup,No
Male,No relevent experience,no_enrollment,Masters,Business Degree,nan,Yes
Female,No relevent experience,no_enrollment,Graduate,STEM,Funded Startup,No
nan,No relevent experience,no_enrollment,Masters,STEM,NGO,No
Male,Has relevent experience,no_enrollment,Masters,Business Degree,nan,Yes
Male,Has relevent experience,no_enrollment,Masters,nan,Pvt Ltd,No
Male,Has relevent experience,Full time course,Graduate,STEM,Other,No
Male,No relevent experience,no_enrollment,Graduate,Arts,Pvt Ltd,No
Other,No relevent experience,no_enrollment,Graduate,STEM,NGO,No
nan,No relevent experience,nan,Graduate,Business Degree,Pvt Ltd,Yes
Male,No relevent experience,Part time course,High School,nan,Early Stage Startup,Yes
nan,No relevent experience,no_enrollment,Masters,Other,nan,No
nan,No relevent experience,no_enrollment,Phd,STEM,NGO,No
nan,No relevent experience,Full time course,Graduate,STEM,NGO,Yes
Male,Has relevent experience,Part time course,High School,nan,Public Sector,No
nan,No relevent experience,no_enrollment,Graduate,Other,Pvt Ltd,No
Female,No relevent experience,Part time course,Masters,STEM,Public Sector,No
Male,No relevent experience,Full time course,High School,nan,Early Stage Startup,Yes
Female,Has relevent experience,Full time course,Masters,STEM,nan,Yes
Male,Has relevent experience,no_enrollment,Graduate,Business Degree,Funded Startup,No
Female,Has relevent experience,no_enrollment,Graduate,Arts,nan,Yes
nan,No relevent experience,Full time course,Masters,Humanities,NGO,No
nan,No relevent experience,no_enrollment,Masters,Humanities,Other,No
nan,No relevent experience,Part time course,High School,nan,Pvt Ltd,No
nan,Has relevent experience,Full time course,nan,nan,Early Stage Startup,No
nan,Has relevent experience,no_enrollment,Graduate,Other,Pvt Ltd,No
Male,Has relevent experience,no_enrollment,Masters,Arts,nan,No
Other,Has relevent experience,Full time course,Masters,STEM,Pvt Ltd,No
Female,Has relevent experience,no_enrollment,Graduate,Other,nan,No
Female,Has relevent experience,Full time course,Masters,STEM,Early Stage Startup,Yes
Male,Has relevent experience,no_enrollment,Masters,Other,Public Sector,No
Male,No relevent experience,no_enrollment,Graduate,STEM,Funded Startup,No
Female,Has relevent experience,no_enrollment,Masters,Other,NGO,No
Male,Has relevent experience,Part time course,Graduate,Arts,Pvt Ltd,No
nan,Has relevent experience,no_enrollment,Masters,Humanities,Pvt Ltd,No
Female,No relevent experience,no_enrollment,High School,nan,nan,No
Male,Has relevent experience,no_enrollment,Masters,STEM,Other,No
nan,No relevent experience,Full time course,Primary School,nan,nan,No
nan,No relevent experience,Part time course,Graduate,STEM,NGO,Yes
Female,Has relevent experience,Full time course,Graduate,STEM,nan,No
Male,Has relevent experience,no_enrollment,Masters,Humanities,NGO,No
Male,No relevent experience,no_enrollment,Graduate,Humanities,Pvt Ltd,Yes
Other,Has relevent experience,no_enrollment,Graduate,Humanities,NGO,No
nan,No relevent experience,Full time course,Phd,STEM,Public Sector,No
Male,Has relevent experience,Full time course,nan,nan,Pvt Ltd,No
nan,No relevent experience,no_enrollment,Masters,Humanities,Early Stage Startup,No
nan,Has relevent experience,no_enrollment,Graduate,Humanities,Funded Startup,No
Male,No relevent experience,Full time course,Graduate,Other,Pvt Ltd,No
