area_code,international_plan,voice_mail_plan,total_intl_calls,number_customer_service_calls,CustomerChurned
510.0,0,0,10,5,Yes
510.0,1,0,1,4,Yes
415.0,0,1,5,3,No
510.0,0,1,2,0,No
408.0,0,0,3,0,No
415.0,0,0,3,2,No
415.0,0,0,3,5,Yes
415.0,0,0,2,2,No
415.0,0,0,7,0,No
408.0,0,1,10,1,No
415.0,1,0,3,3,Yes
408.0,0,0,2,4,No
510.0,0,0,2,1,No
510.0,1,0,4,1,No
415.0,0,0,8,1,No
510.0,0,0,3,0,No
408.0,0,0,7,1,No
415.0,0,1,3,5,No
510.0,0,0,10,1,Yes
510.0,0,0,5,0,No
415.0,0,0,9,1,No
415.0,0,1,6,2,No
415.0,0,0,7,3,No
408.0,0,0,4,2,No
510.0,0,1,1,5,No
415.0,0,1,10,0,No
408.0,1,1,2,2,Yes
415.0,0,0,9,2,No
408.0,0,0,0,3,No
408.0,0,0,7,2,No
510.0,0,0,3,3,Yes
510.0,0,0,6,1,No
415.0,0,1,4,2,No
415.0,0,0,12,2,No
408.0,0,1,5,2,No
408.0,0,1,5,0,No
408.0,0,1,4,2,No
408.0,0,0,7,0,No
408.0,0,0,2,3,No
415.0,1,1,4,0,No
408.0,0,0,16,3,No
408.0,1,0,7,2,Yes
510.0,0,0,4,2,No
415.0,0,0,4,3,No
415.0,0,0,2,5,No
415.0,1,1,10,2,No
415.0,0,0,7,1,No
415.0,1,1,8,1,No
415.0,1,0,9,1,No
415.0,0,1,7,1,No
415.0,0,1,2,0,No
415.0,1,0,10,0,Yes
510.0,0,1,12,1,No
408.0,0,0,1,3,No
408.0,0,0,5,1,No
415.0,0,0,3,4,No
510.0,1,0,6,3,No
510.0,0,1,8,4,No
415.0,0,0,10,1,No
510.0,0,0,6,3,No
415.0,0,0,5,0,No
415.0,0,1,2,2,No
415.0,0,1,11,1,No
415.0,1,1,5,2,No
415.0,0,1,8,4,No
510.0,0,0,7,1,No
510.0,0,1,4,3,No
408.0,1,1,3,2,No
510.0,0,1,4,0,No
415.0,0,0,11,5,Yes
408.0,0,0,4,0,No
510.0,0,1,3,2,No
415.0,0,1,3,2,No
408.0,0,1,8,2,No
408.0,0,1,2,0,No
415.0,0,0,8,0,No
408.0,0,0,2,2,No
415.0,0,0,1,0,No
415.0,0,1,3,3,No
408.0,0,1,6,4,No
408.0,1,0,2,0,Yes
510.0,0,1,2,1,No
408.0,0,0,14,1,No
408.0,0,1,2,2,No
415.0,0,1,5,7,No
510.0,0,1,2,3,No
510.0,1,0,3,1,No
415.0,1,0,7,0,No
415.0,1,0,4,1,No
415.0,0,0,1,2,Yes
408.0,1,1,2,0,Yes
415.0,0,0,6,1,No
415.0,1,0,7,3,No
510.0,0,0,4,3,No
415.0,1,0,11,0,Yes
415.0,1,0,3,0,No
408.0,0,0,5,0,No
415.0,1,0,6,1,Yes
415.0,0,1,10,1,No
415.0,1,0,5,0,No
415.0,0,0,1,1,Yes
408.0,0,0,6,3,No
510.0,0,0,7,4,Yes
415.0,0,0,6,3,No
415.0,0,0,0,1,No
415.0,0,0,1,6,Yes
510.0,0,0,11,2,No
408.0,0,0,8,1,Yes
408.0,0,0,1,0,No
408.0,0,1,3,1,No
415.0,0,1,6,0,No
510.0,0,1,6,3,No
408.0,1,1,4,1,No
510.0,0,1,6,1,No
415.0,0,0,10,5,No
408.0,0,0,6,2,Yes
510.0,1,0,2,1,Yes
408.0,0,1,2,4,Yes
415.0,0,0,7,2,No
510.0,0,1,1,2,No
415.0,1,0,3,2,No
415.0,0,0,4,4,Yes
415.0,0,1,4,5,No
408.0,0,0,8,3,No
415.0,0,0,2,3,No
415.0,0,1,9,2,No
408.0,0,0,4,3,No
510.0,0,0,6,2,No
510.0,0,0,7,2,No
408.0,0,0,1,1,No
415.0,0,1,4,3,No
510.0,0,0,9,5,No
415.0,1,0,6,2,Yes
408.0,0,1,2,3,No
510.0,0,1,11,4,No
510.0,0,1,3,1,No
510.0,0,0,11,0,No
510.0,1,0,10,3,No
510.0,0,0,3,4,Yes
408.0,0,0,3,3,Yes
415.0,0,1,8,1,No
415.0,0,1,8,2,No
408.0,1,1,3,3,Yes
510.0,0,0,6,0,No
408.0,1,0,2,2,Yes
510.0,1,0,8,1,Yes
510.0,0,0,2,4,No
408.0,1,0,4,0,No
510.0,0,1,6,0,No
408.0,0,1,6,2,No
510.0,0,1,5,6,Yes
510.0,1,0,3,2,No
415.0,1,0,4,0,No
510.0,0,0,1,0,No
408.0,0,1,1,3,No
408.0,0,1,6,1,No
510.0,1,0,1,3,Yes
510.0,1,0,7,2,No
510.0,0,1,9,0,No
415.0,0,1,17,0,No
408.0,0,1,7,0,No
415.0,1,0,5,1,No
408.0,0,0,9,1,No
408.0,1,1,6,1,No
510.0,0,1,5,1,No
415.0,0,0,12,0,No
510.0,0,0,9,2,No
415.0,1,0,3,1,No
408.0,1,1,3,1,No
510.0,0,1,8,3,No
415.0,0,0,9,0,No
510.0,1,0,3,3,No
408.0,0,0,10,2,No
415.0,1,1,6,4,No
415.0,0,0,8,2,No
415.0,1,1,4,1,No
510.0,0,0,2,3,No
510.0,0,0,2,2,No
415.0,1,0,8,2,No
415.0,0,1,1,1,No
408.0,0,0,8,4,No
510.0,0,1,3,3,No
415.0,1,0,6,0,No
408.0,0,1,5,5,Yes
415.0,0,0,10,0,No
408.0,1,0,4,1,No
408.0,0,0,2,0,No
510.0,0,1,5,3,No
408.0,1,0,3,2,No
408.0,0,0,10,3,No
408.0,0,1,7,1,No
408.0,1,1,3,0,No
415.0,1,0,2,0,Yes
510.0,0,0,1,3,No
408.0,1,0,5,2,No
415.0,1,0,13,0,No
510.0,0,0,8,3,No
415.0,0,1,1,3,No
415.0,1,0,2,4,Yes
510.0,0,1,10,3,No
415.0,1,0,5,5,Yes
408.0,1,0,6,3,No
510.0,1,0,7,0,Yes
510.0,0,1,4,1,No
415.0,1,0,1,4,Yes
510.0,0,0,6,5,No
510.0,0,1,5,2,No
415.0,1,0,2,1,Yes
510.0,1,0,4,4,No
510.0,0,0,10,4,No
510.0,0,0,9,4,Yes
510.0,0,0,8,1,No
510.0,0,0,9,1,No
510.0,0,0,7,3,Yes
408.0,0,0,10,1,No
510.0,0,0,10,0,Yes
415.0,0,0,15,3,Yes
415.0,0,1,7,0,No
415.0,1,0,4,3,Yes
415.0,0,0,7,4,No
510.0,0,0,8,2,No
408.0,0,0,6,1,No
510.0,0,1,4,2,No
415.0,0,1,9,0,No
415.0,0,0,11,2,No
415.0,1,1,3,1,Yes
408.0,0,1,5,4,No
408.0,0,0,5,4,Yes
415.0,1,1,9,1,Yes
415.0,0,0,9,4,No
510.0,1,0,5,1,No
415.0,0,0,14,2,No
408.0,1,0,3,0,Yes
408.0,0,0,9,3,No
510.0,0,0,11,1,No
415.0,0,1,2,1,No
510.0,0,0,9,3,No
408.0,0,0,8,0,No
510.0,1,0,4,0,No
510.0,0,1,7,1,No
415.0,1,0,11,2,No
408.0,0,0,11,1,No
510.0,1,1,4,1,No
510.0,1,1,3,0,No
510.0,0,0,12,5,Yes
510.0,0,0,13,1,No
415.0,1,1,4,4,No
408.0,0,0,4,4,Yes
415.0,1,0,1,2,Yes
510.0,0,0,1,6,No
415.0,0,0,12,1,No
408.0,0,1,8,1,No
510.0,0,1,4,6,No
415.0,0,1,8,0,No
510.0,1,0,1,0,Yes
510.0,1,0,4,2,Yes
510.0,1,0,10,2,No
415.0,1,1,3,2,No
415.0,0,1,1,0,No
415.0,1,0,5,2,No
415.0,0,1,13,0,No
415.0,1,1,3,4,Yes
415.0,0,0,1,4,Yes
510.0,1,0,2,2,Yes
408.0,0,0,6,5,Yes
408.0,1,0,5,0,No
415.0,0,0,7,7,Yes
415.0,0,0,6,4,No
408.0,0,0,9,2,No
415.0,0,1,13,1,No
408.0,0,0,7,4,Yes
415.0,0,1,6,4,Yes
415.0,0,0,9,3,No
510.0,1,0,9,3,No
408.0,1,0,2,5,Yes
415.0,1,1,1,1,Yes
415.0,0,1,12,1,No
510.0,0,1,2,4,No
510.0,0,0,6,4,No
415.0,0,1,6,3,No
408.0,0,0,3,5,No
415.0,0,1,10,2,No
415.0,1,0,9,2,No
415.0,0,1,9,1,No
510.0,1,0,11,0,No
510.0,0,0,0,0,No
510.0,1,1,5,4,No
510.0,0,0,8,0,No
510.0,1,0,1,1,Yes
415.0,1,1,3,0,No
408.0,1,0,4,2,No
510.0,1,1,7,4,Yes
415.0,1,1,6,2,No
408.0,0,1,6,3,No
415.0,0,1,16,0,No
408.0,0,0,12,1,No
510.0,0,1,1,3,No
415.0,1,0,4,4,No
415.0,0,0,5,7,Yes
415.0,0,0,10,2,No
415.0,1,0,7,1,Yes
408.0,1,0,6,1,Yes
415.0,0,1,15,3,No
510.0,1,0,4,3,Yes
415.0,1,1,5,3,Yes
408.0,0,1,5,3,No
415.0,0,0,6,5,No
510.0,0,1,7,4,No
408.0,0,0,1,6,Yes
408.0,1,0,4,3,No
415.0,1,1,6,1,Yes
415.0,1,0,2,3,Yes
408.0,0,0,10,0,No
408.0,1,0,5,4,No
510.0,1,0,5,2,Yes
510.0,0,1,3,0,No
415.0,1,0,2,2,Yes
415.0,1,0,7,2,Yes
510.0,0,1,7,0,No
510.0,1,0,8,5,Yes
510.0,0,0,7,0,No
415.0,0,1,5,5,Yes
408.0,0,0,5,3,No
415.0,0,1,7,2,No
408.0,1,0,5,1,Yes
415.0,1,1,4,3,No
510.0,0,0,0,1,No
408.0,0,0,2,9,Yes
408.0,0,0,8,8,Yes
415.0,1,0,1,0,Yes
408.0,1,0,8,2,No
415.0,0,1,11,2,No
408.0,0,1,3,3,No
415.0,0,0,2,4,Yes
415.0,0,1,2,6,Yes
510.0,0,1,9,2,No
408.0,0,1,4,0,No
408.0,0,1,12,1,No
510.0,1,1,2,2,Yes
415.0,0,0,9,5,Yes
510.0,0,1,4,4,Yes
408.0,0,1,8,3,No
415.0,0,0,13,3,No
408.0,1,0,4,4,Yes
415.0,0,0,5,4,Yes
408.0,0,1,11,1,No
510.0,0,1,9,4,No
415.0,0,1,7,3,No
415.0,0,1,13,3,No
408.0,0,0,4,6,No
510.0,0,1,1,1,No
415.0,0,0,10,3,No
408.0,1,0,11,2,Yes
408.0,0,1,1,1,No
408.0,0,1,4,4,No
510.0,0,0,4,5,Yes
408.0,0,1,4,3,No
510.0,0,1,3,4,Yes
415.0,0,1,2,3,No
510.0,0,1,4,8,No
510.0,0,0,13,0,No
510.0,0,1,7,3,No
408.0,0,0,11,2,No
510.0,0,1,8,2,No
510.0,0,1,9,3,No
415.0,0,0,0,3,No
415.0,0,0,0,2,No
408.0,1,1,2,3,Yes
510.0,1,1,6,1,Yes
415.0,1,0,7,5,No
408.0,1,0,3,4,No
408.0,0,0,5,5,Yes
408.0,1,0,3,1,No
415.0,0,1,4,4,Yes
510.0,1,0,5,0,No
415.0,1,0,8,1,No
408.0,0,1,7,2,Yes
415.0,1,1,6,3,Yes
408.0,1,0,2,1,Yes
510.0,1,0,1,2,Yes
510.0,1,0,4,6,Yes
415.0,0,1,9,4,No
510.0,0,1,1,0,No
408.0,1,0,8,0,No
415.0,0,1,0,1,No
415.0,0,1,9,3,No
510.0,1,1,20,1,Yes
408.0,0,0,9,0,No
510.0,0,1,0,1,No
408.0,0,1,0,2,No
510.0,1,1,7,1,Yes
510.0,0,1,7,2,No
408.0,1,1,3,4,Yes
408.0,1,0,1,7,Yes
408.0,0,1,0,1,No
415.0,0,0,4,5,Yes
408.0,1,1,4,0,No
415.0,0,0,11,4,Yes
408.0,0,1,2,5,Yes
510.0,1,1,9,5,Yes
408.0,0,1,6,6,Yes
415.0,0,0,14,1,No
415.0,0,1,2,5,No
510.0,0,0,2,7,Yes
510.0,1,0,2,0,Yes
415.0,1,1,6,0,No
415.0,0,0,11,1,No
415.0,0,0,0,0,No
510.0,0,1,10,2,No
415.0,0,0,3,7,Yes
408.0,0,1,10,3,No
415.0,0,0,19,0,No
510.0,0,1,5,0,No
408.0,0,0,6,4,No
415.0,1,1,4,2,No
415.0,1,1,5,0,No
408.0,0,1,5,7,No
510.0,0,0,5,4,Yes
415.0,0,0,5,5,No
415.0,0,0,11,0,No
510.0,1,1,6,0,No
510.0,1,1,3,1,No
510.0,1,1,10,0,No
408.0,0,0,2,6,Yes
415.0,0,1,18,1,No
510.0,0,0,10,2,No
510.0,1,1,7,2,No
415.0,1,1,3,9,Yes
408.0,0,0,2,5,Yes
510.0,0,0,3,5,No
408.0,1,1,15,0,Yes
510.0,1,0,9,1,No
408.0,1,0,3,3,No
415.0,1,0,1,1,Yes
415.0,0,0,8,4,No
510.0,0,0,7,5,No
408.0,0,0,13,1,No
510.0,0,0,4,6,No
510.0,0,1,2,5,Yes
415.0,0,0,16,1,No
408.0,0,0,0,0,No
415.0,1,0,9,5,Yes
408.0,0,1,14,1,No
408.0,1,0,1,3,Yes
408.0,1,1,4,3,No
510.0,1,0,12,0,Yes
415.0,1,1,7,1,No
510.0,1,1,13,0,No
510.0,1,0,9,0,No
408.0,0,0,15,1,No
510.0,0,1,5,4,Yes
415.0,0,0,13,1,No
408.0,0,0,19,3,No
415.0,0,1,11,0,No
408.0,0,0,3,7,Yes
415.0,0,0,2,6,Yes
510.0,1,0,6,1,No
510.0,0,0,6,7,No
510.0,1,1,4,2,Yes
510.0,1,0,2,3,Yes
415.0,0,1,12,2,No
408.0,1,1,12,0,Yes
415.0,0,1,1,5,No
510.0,0,1,9,1,No
408.0,0,0,0,4,No
408.0,1,0,5,3,No
415.0,0,1,5,6,No
415.0,0,0,16,0,No
408.0,0,0,18,1,No
408.0,0,1,4,6,Yes
415.0,1,0,0,3,Yes
510.0,0,0,3,6,Yes
510.0,0,0,1,4,No
510.0,0,0,13,2,No
415.0,1,1,2,0,Yes
415.0,0,0,15,1,No
408.0,0,0,11,5,Yes
415.0,1,1,5,5,Yes
415.0,1,0,6,4,Yes
510.0,1,1,5,1,No
510.0,1,1,4,0,No
510.0,1,0,5,3,Yes
510.0,0,1,2,2,No
510.0,0,1,7,6,No
415.0,1,1,7,2,No
408.0,0,1,14,3,No
510.0,1,0,9,2,No
415.0,1,1,3,5,Yes
510.0,0,1,1,6,Yes
415.0,1,0,15,0,No
415.0,0,0,7,5,Yes
415.0,0,1,11,4,Yes
415.0,0,1,1,4,No
415.0,1,0,3,6,Yes
408.0,0,1,12,2,No
510.0,0,0,0,2,No
415.0,0,1,8,3,No
510.0,0,0,0,3,No
408.0,0,0,1,4,No
510.0,0,1,6,5,No
408.0,1,1,5,3,No
408.0,1,1,7,2,No
408.0,0,1,3,5,No
408.0,0,0,1,5,Yes
510.0,1,1,5,3,No
408.0,1,1,4,2,No
408.0,1,0,2,4,Yes
408.0,0,1,9,2,No
415.0,1,0,6,3,No
415.0,1,0,5,3,No
510.0,0,0,12,0,No
415.0,0,0,1,5,Yes
415.0,0,0,17,2,No
415.0,1,1,2,1,Yes
510.0,0,0,10,3,No
510.0,1,0,2,4,Yes
415.0,0,0,10,4,No
408.0,0,0,4,7,Yes
408.0,1,1,4,5,Yes
415.0,1,0,8,0,No
415.0,0,1,16,4,No
415.0,0,0,8,5,No
415.0,0,1,9,5,No
510.0,0,0,11,3,No
510.0,1,0,6,0,No
510.0,1,0,8,3,No
408.0,0,1,9,1,No
408.0,0,1,8,4,No
415.0,0,0,18,1,No
415.0,1,1,5,4,No
408.0,0,1,8,0,No
415.0,1,1,2,3,Yes
408.0,0,1,7,6,Yes
415.0,0,1,6,6,Yes
510.0,1,1,2,3,Yes
510.0,0,1,7,5,No
408.0,0,0,18,2,Yes
408.0,0,1,7,4,Yes
408.0,0,0,0,2,No
408.0,0,1,9,0,No
510.0,0,1,6,4,Yes
415.0,1,0,4,2,No
415.0,0,1,7,5,No
510.0,1,0,3,4,No
408.0,0,0,9,5,Yes
415.0,0,1,13,2,No
408.0,1,0,1,1,Yes
510.0,1,0,5,4,Yes
510.0,1,1,3,3,No
408.0,1,0,6,2,No
408.0,0,1,16,3,No
510.0,1,1,10,2,No
415.0,0,1,12,0,No
408.0,1,0,9,2,No
