,popUpWidnow,SSLfinal_State,Request_URL,URL_of_Anchor,web_traffic,URL_Length,having_IP_Address,WebsiteType Legitimate,WebsiteType Phishy
35,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Legitimate,Legitimate,,Suspicious
36,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Legitimate,Suspicious,,Suspicious
37,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Suspicious,,Phishy
38,Legitimate,Legitimate,Phishy,Phishy,Phishy,Legitimate,Legitimate,Suspicious,
39,Legitimate,Legitimate,Phishy,Phishy,Phishy,Legitimate,Suspicious,Phishy,
40,Legitimate,Legitimate,Phishy,Phishy,Phishy,Phishy,Suspicious,Phishy,
41,Legitimate,Legitimate,Phishy,Phishy,Phishy,Suspicious,Legitimate,Phishy,
42,Legitimate,Legitimate,Phishy,Phishy,Phishy,Suspicious,Suspicious,Phishy,
43,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Phishy,Suspicious,Phishy,
44,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Suspicious,Legitimate,Phishy,
45,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Suspicious,Suspicious,Phishy,
46,Legitimate,Legitimate,Suspicious,Phishy,Legitimate,Legitimate,Suspicious,,Phishy
47,Legitimate,Legitimate,Suspicious,Phishy,Legitimate,Phishy,Suspicious,,Phishy
48,Legitimate,Legitimate,Suspicious,Phishy,Legitimate,Suspicious,Suspicious,,Phishy
49,Legitimate,Legitimate,Suspicious,Phishy,Phishy,Legitimate,Suspicious,Phishy,
50,Legitimate,Legitimate,Suspicious,Phishy,Phishy,Phishy,Legitimate,Phishy,
51,Legitimate,Legitimate,Suspicious,Phishy,Phishy,Phishy,Suspicious,Phishy,
52,Legitimate,Legitimate,Suspicious,Phishy,Phishy,Suspicious,Suspicious,Phishy,
53,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,Suspicious,Phishy,Phishy
54,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Phishy,Legitimate,Phishy,
55,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Suspicious,Suspicious,Phishy,
56,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Legitimate,Suspicious,,Phishy
57,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Phishy,Suspicious,,Phishy
58,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Suspicious,,Phishy
59,Legitimate,Legitimate,Suspicious,Suspicious,Phishy,Legitimate,Legitimate,Phishy,
60,Legitimate,Legitimate,Suspicious,Suspicious,Phishy,Legitimate,Suspicious,Phishy,
61,Legitimate,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Legitimate,Phishy,
62,Legitimate,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Suspicious,Phishy,
63,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious,Legitimate,Legitimate,Phishy,
64,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Phishy,Phishy
65,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,,Phishy
66,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,,Phishy
67,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,,Phishy
68,Legitimate,Phishy,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Phishy,
69,Legitimate,Phishy,Legitimate,Legitimate,Phishy,Suspicious,Suspicious,Phishy,
70,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Legitimate,Suspicious,Phishy,
71,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious,Phishy,
72,Legitimate,Phishy,Legitimate,Suspicious,Legitimate,Suspicious,Suspicious,,Phishy
73,Legitimate,Phishy,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious
74,Legitimate,Phishy,Phishy,Legitimate,Legitimate,Phishy,Suspicious,,Phishy
75,Legitimate,Phishy,Phishy,Legitimate,Legitimate,Suspicious,Suspicious,,Phishy
76,Legitimate,Phishy,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Suspicious,
77,Legitimate,Phishy,Phishy,Legitimate,Phishy,Suspicious,Suspicious,Phishy,
78,Legitimate,Phishy,Phishy,Phishy,Legitimate,Legitimate,Suspicious,,Phishy
79,Legitimate,Phishy,Phishy,Phishy,Legitimate,Suspicious,Suspicious,,Phishy
80,Legitimate,Phishy,Suspicious,Suspicious,Legitimate,Phishy,Suspicious,,Phishy
81,Legitimate,Suspicious,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Phishy,
82,Legitimate,Suspicious,Legitimate,Legitimate,Phishy,Suspicious,Suspicious,Phishy,
83,Legitimate,Suspicious,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,,Phishy
84,Legitimate,Suspicious,Phishy,Legitimate,Legitimate,Suspicious,Suspicious,,Phishy
85,Legitimate,Suspicious,Phishy,Legitimate,Suspicious,Phishy,Suspicious,,Phishy
86,Legitimate,Suspicious,Phishy,Phishy,Legitimate,Suspicious,Suspicious,,Phishy
87,Legitimate,Suspicious,Suspicious,Phishy,Phishy,Legitimate,Legitimate,Phishy,
88,Legitimate,Suspicious,Suspicious,Phishy,Phishy,Phishy,Suspicious,Phishy,
89,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Phishy,Suspicious,Phishy,
90,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Suspicious,Suspicious,Phishy,
91,Phishy,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,,Phishy
92,Phishy,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,,Legitimate
93,Phishy,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,,Legitimate
94,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Phishy,
95,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Phishy,
96,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Phishy,
97,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Suspicious,Phishy,
98,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,
99,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Suspicious,Phishy,
100,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Phishy,
101,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious,Phishy,
102,Phishy,Legitimate,Legitimate,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Phishy
103,Phishy,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Suspicious,,Legitimate
104,Phishy,Legitimate,Legitimate,Suspicious,Legitimate,Legitimate,Suspicious,,Phishy
105,Phishy,Legitimate,Legitimate,Suspicious,Phishy,Phishy,Suspicious,Phishy,
106,Phishy,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Suspicious,Phishy,
107,Phishy,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy,
108,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Phishy
109,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Phishy,Suspicious,Phishy,Suspicious
110,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious,Suspicious
111,Phishy,Legitimate,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Phishy,
112,Phishy,Legitimate,Phishy,Legitimate,Phishy,Phishy,Legitimate,Phishy,
113,Phishy,Legitimate,Phishy,Legitimate,Phishy,Phishy,Suspicious,Phishy,
114,Phishy,Legitimate,Phishy,Legitimate,Phishy,Suspicious,Suspicious,Phishy,
115,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Legitimate,Suspicious,Phishy,
116,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,Suspicious
117,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Suspicious,Suspicious,Phishy,Suspicious
118,Phishy,Legitimate,Phishy,Phishy,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious
119,Phishy,Legitimate,Phishy,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Legitimate
120,Phishy,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,Phishy
121,Phishy,Legitimate,Phishy,Phishy,Phishy,Legitimate,Legitimate,Legitimate,
122,Phishy,Legitimate,Phishy,Phishy,Phishy,Legitimate,Suspicious,Suspicious,
123,Phishy,Legitimate,Phishy,Phishy,Phishy,Phishy,Legitimate,Legitimate,
124,Phishy,Legitimate,Phishy,Phishy,Phishy,Phishy,Suspicious,Legitimate,
125,Phishy,Legitimate,Phishy,Phishy,Phishy,Suspicious,Suspicious,Legitimate,
126,Phishy,Legitimate,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Legitimate,
127,Phishy,Legitimate,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Suspicious,Suspicious
128,Phishy,Legitimate,Phishy,Phishy,Suspicious,Phishy,Legitimate,Legitimate,
129,Phishy,Legitimate,Phishy,Phishy,Suspicious,Phishy,Suspicious,Legitimate,Legitimate
130,Phishy,Legitimate,Phishy,Phishy,Suspicious,Suspicious,Suspicious,Legitimate,Legitimate
131,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,,Legitimate
132,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Phishy,Suspicious,Suspicious,Suspicious
133,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Suspicious,Legitimate,Legitimate
134,Phishy,Legitimate,Phishy,Suspicious,Suspicious,Phishy,Suspicious,Legitimate,Legitimate
135,Phishy,Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,,Legitimate
136,Phishy,Legitimate,Suspicious,Legitimate,Legitimate,Phishy,Suspicious,,Legitimate
137,Phishy,Legitimate,Suspicious,Legitimate,Legitimate,Suspicious,Suspicious,,Legitimate
138,Phishy,Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,
139,Phishy,Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Suspicious,Legitimate,
140,Phishy,Legitimate,Suspicious,Legitimate,Phishy,Suspicious,Suspicious,Legitimate,
141,Phishy,Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,Legitimate
142,Phishy,Legitimate,Suspicious,Legitimate,Suspicious,Suspicious,Suspicious,Legitimate,
143,Phishy,Legitimate,Suspicious,Phishy,Legitimate,Legitimate,Legitimate,,Legitimate
144,Phishy,Legitimate,Suspicious,Phishy,Legitimate,Legitimate,Suspicious,,Phishy
145,Phishy,Legitimate,Suspicious,Phishy,Legitimate,Phishy,Legitimate,,Phishy
146,Phishy,Legitimate,Suspicious,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Legitimate
147,Phishy,Legitimate,Suspicious,Phishy,Legitimate,Suspicious,Suspicious,,Phishy
148,Phishy,Legitimate,Suspicious,Phishy,Phishy,Legitimate,Legitimate,Legitimate,
149,Phishy,Legitimate,Suspicious,Phishy,Phishy,Legitimate,Suspicious,Phishy,
150,Phishy,Legitimate,Suspicious,Phishy,Phishy,Phishy,Suspicious,Phishy,
151,Phishy,Legitimate,Suspicious,Phishy,Phishy,Suspicious,Suspicious,Phishy,
152,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate
153,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,Suspicious,Phishy,
154,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Phishy,Suspicious,Legitimate,
155,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Suspicious,Suspicious,Legitimate,Legitimate
156,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,Legitimate,Suspicious,Legitimate,
157,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,Phishy,Suspicious,,Legitimate
158,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Suspicious,,Phishy
159,Phishy,Legitimate,Suspicious,Suspicious,Phishy,Phishy,Suspicious,Legitimate,
160,Phishy,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Suspicious,Phishy,
161,Phishy,Legitimate,Suspicious,Suspicious,Suspicious,Legitimate,Legitimate,Legitimate,
162,Phishy,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,,Legitimate
163,Phishy,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,,Legitimate
164,Phishy,Phishy,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Phishy,
165,Phishy,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,,Legitimate
166,Phishy,Phishy,Legitimate,Phishy,Suspicious,Phishy,Suspicious,Legitimate,
167,Phishy,Phishy,Legitimate,Phishy,Suspicious,Suspicious,Suspicious,,Legitimate
168,Phishy,Phishy,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,,Legitimate
169,Phishy,Phishy,Phishy,Legitimate,Legitimate,Phishy,Suspicious,,Legitimate
170,Phishy,Phishy,Phishy,Legitimate,Legitimate,Suspicious,Suspicious,,Legitimate
171,Phishy,Phishy,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Suspicious,
172,Phishy,Phishy,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,
173,Phishy,Phishy,Phishy,Legitimate,Suspicious,Suspicious,Suspicious,Legitimate,
174,Phishy,Phishy,Phishy,Phishy,Legitimate,Legitimate,Legitimate,,Suspicious
175,Phishy,Phishy,Phishy,Phishy,Legitimate,Legitimate,Suspicious,,Legitimate
176,Phishy,Phishy,Phishy,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Legitimate
177,Phishy,Phishy,Phishy,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,Legitimate
178,Phishy,Phishy,Phishy,Phishy,Phishy,Legitimate,Suspicious,Legitimate,
179,Phishy,Phishy,Phishy,Phishy,Phishy,Phishy,Suspicious,Legitimate,
180,Phishy,Phishy,Phishy,Phishy,Phishy,Suspicious,Suspicious,Legitimate,
181,Phishy,Phishy,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate
182,Phishy,Phishy,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Legitimate,Legitimate
183,Phishy,Phishy,Phishy,Phishy,Suspicious,Phishy,Suspicious,Legitimate,Legitimate
184,Phishy,Phishy,Phishy,Phishy,Suspicious,Suspicious,Suspicious,Legitimate,Legitimate
185,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate,,Legitimate
186,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,,Legitimate
187,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Phishy,Suspicious,Legitimate,Legitimate
188,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Suspicious,,Legitimate
189,Phishy,Phishy,Suspicious,Legitimate,Phishy,Legitimate,Suspicious,Legitimate,
190,Phishy,Phishy,Suspicious,Legitimate,Phishy,Phishy,Suspicious,Legitimate,
191,Phishy,Phishy,Suspicious,Legitimate,Phishy,Suspicious,Suspicious,Legitimate,
192,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,
193,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Legitimate,Suspicious,,Legitimate
194,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,Legitimate
195,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Suspicious,Suspicious,Legitimate,Legitimate
196,Phishy,Phishy,Suspicious,Phishy,Legitimate,Legitimate,Legitimate,,Legitimate
197,Phishy,Phishy,Suspicious,Phishy,Legitimate,Legitimate,Suspicious,,Legitimate
198,Phishy,Phishy,Suspicious,Phishy,Legitimate,Phishy,Suspicious,,Legitimate
199,Phishy,Phishy,Suspicious,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,Legitimate
200,Phishy,Phishy,Suspicious,Phishy,Phishy,Legitimate,Legitimate,Legitimate,
201,Phishy,Phishy,Suspicious,Phishy,Phishy,Legitimate,Suspicious,Legitimate,
202,Phishy,Phishy,Suspicious,Phishy,Phishy,Phishy,Suspicious,Legitimate,
203,Phishy,Phishy,Suspicious,Phishy,Phishy,Suspicious,Suspicious,Legitimate,
204,Phishy,Phishy,Suspicious,Phishy,Suspicious,Legitimate,Suspicious,Legitimate,Legitimate
205,Phishy,Phishy,Suspicious,Phishy,Suspicious,Suspicious,Suspicious,Legitimate,
206,Phishy,Phishy,Suspicious,Suspicious,Legitimate,Legitimate,Legitimate,,Legitimate
207,Phishy,Phishy,Suspicious,Suspicious,Legitimate,Legitimate,Suspicious,,Legitimate
208,Phishy,Phishy,Suspicious,Suspicious,Legitimate,Suspicious,Suspicious,,Legitimate
209,Phishy,Phishy,Suspicious,Suspicious,Phishy,Suspicious,Suspicious,Legitimate,
210,Phishy,Phishy,Suspicious,Suspicious,Suspicious,Legitimate,Legitimate,,Legitimate
211,Phishy,Phishy,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Legitimate,Legitimate
212,Phishy,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Phishy,Phishy
213,Phishy,Suspicious,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Legitimate,
214,Phishy,Suspicious,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Phishy,
215,Phishy,Suspicious,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Legitimate,
216,Phishy,Suspicious,Legitimate,Legitimate,Phishy,Suspicious,Legitimate,Legitimate,
217,Phishy,Suspicious,Legitimate,Legitimate,Phishy,Suspicious,Suspicious,Phishy,
218,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Legitimate,Suspicious,Legitimate,
219,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Phishy,Phishy
220,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious,Legitimate,
221,Phishy,Suspicious,Legitimate,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Legitimate
222,Phishy,Suspicious,Legitimate,Phishy,Phishy,Phishy,Suspicious,Phishy,
223,Phishy,Suspicious,Legitimate,Phishy,Phishy,Suspicious,Suspicious,Phishy,
224,Phishy,Suspicious,Legitimate,Phishy,Suspicious,Suspicious,Suspicious,Phishy,
225,Phishy,Suspicious,Legitimate,Suspicious,Legitimate,Suspicious,Suspicious,Phishy,
226,Phishy,Suspicious,Legitimate,Suspicious,Phishy,Legitimate,Suspicious,Legitimate,
227,Phishy,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Suspicious,Phishy,
228,Phishy,Suspicious,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Legitimate,Phishy
229,Phishy,Suspicious,Phishy,Legitimate,Legitimate,Suspicious,Suspicious,Phishy,Legitimate
230,Phishy,Suspicious,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Legitimate,
231,Phishy,Suspicious,Phishy,Legitimate,Phishy,Phishy,Suspicious,Phishy,
232,Phishy,Suspicious,Phishy,Legitimate,Phishy,Suspicious,Suspicious,Legitimate,
233,Phishy,Suspicious,Phishy,Legitimate,Suspicious,Legitimate,Suspicious,Legitimate,
234,Phishy,Suspicious,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,
235,Phishy,Suspicious,Phishy,Legitimate,Suspicious,Suspicious,Suspicious,Phishy,
236,Phishy,Suspicious,Phishy,Phishy,Legitimate,Legitimate,Legitimate,,Legitimate
237,Phishy,Suspicious,Phishy,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Legitimate
238,Phishy,Suspicious,Phishy,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,Legitimate
239,Phishy,Suspicious,Phishy,Phishy,Phishy,Legitimate,Legitimate,Suspicious,
240,Phishy,Suspicious,Phishy,Phishy,Phishy,Legitimate,Suspicious,Suspicious,
241,Phishy,Suspicious,Phishy,Phishy,Phishy,Phishy,Legitimate,Legitimate,
242,Phishy,Suspicious,Phishy,Phishy,Phishy,Phishy,Suspicious,Legitimate,
243,Phishy,Suspicious,Phishy,Phishy,Phishy,Suspicious,Suspicious,Suspicious,
244,Phishy,Suspicious,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate
245,Phishy,Suspicious,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Legitimate,Legitimate
246,Phishy,Suspicious,Phishy,Phishy,Suspicious,Phishy,Suspicious,Legitimate,Legitimate
247,Phishy,Suspicious,Phishy,Phishy,Suspicious,Suspicious,Suspicious,Legitimate,Legitimate
248,Phishy,Suspicious,Phishy,Suspicious,Legitimate,Phishy,Suspicious,Phishy,Legitimate
249,Phishy,Suspicious,Phishy,Suspicious,Phishy,Phishy,Suspicious,Phishy,
250,Phishy,Suspicious,Phishy,Suspicious,Suspicious,Phishy,Suspicious,,Legitimate
251,Phishy,Suspicious,Phishy,Suspicious,Suspicious,Suspicious,Suspicious,Legitimate,
252,Phishy,Suspicious,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate,,Legitimate
253,Phishy,Suspicious,Suspicious,Legitimate,Legitimate,Phishy,Suspicious,,Legitimate
254,Phishy,Suspicious,Suspicious,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Legitimate
255,Phishy,Suspicious,Suspicious,Legitimate,Phishy,Phishy,Suspicious,Legitimate,
256,Phishy,Suspicious,Suspicious,Legitimate,Phishy,Suspicious,Suspicious,Legitimate,
257,Phishy,Suspicious,Suspicious,Legitimate,Suspicious,Suspicious,Suspicious,Legitimate,Legitimate
258,Phishy,Suspicious,Suspicious,Phishy,Legitimate,Legitimate,Suspicious,,Legitimate
259,Phishy,Suspicious,Suspicious,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Legitimate
260,Phishy,Suspicious,Suspicious,Phishy,Legitimate,Suspicious,Suspicious,,Legitimate
261,Phishy,Suspicious,Suspicious,Phishy,Phishy,Phishy,Suspicious,Suspicious,
262,Phishy,Suspicious,Suspicious,Phishy,Phishy,Suspicious,Suspicious,Phishy,
263,Phishy,Suspicious,Suspicious,Phishy,Suspicious,Legitimate,Legitimate,,Legitimate
264,Phishy,Suspicious,Suspicious,Phishy,Suspicious,Legitimate,Suspicious,,Legitimate
265,Phishy,Suspicious,Suspicious,Phishy,Suspicious,Phishy,Suspicious,Legitimate,Phishy
266,Phishy,Suspicious,Suspicious,Phishy,Suspicious,Suspicious,Suspicious,Legitimate,
267,Phishy,Suspicious,Suspicious,Suspicious,Legitimate,Phishy,Suspicious,,Suspicious
268,Phishy,Suspicious,Suspicious,Suspicious,Phishy,Legitimate,Suspicious,Phishy,
269,Phishy,Suspicious,Suspicious,Suspicious,Phishy,Suspicious,Suspicious,Suspicious,
270,Phishy,Suspicious,Suspicious,Suspicious,Suspicious,Phishy,Suspicious,Suspicious,
271,Phishy,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,
272,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,
273,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Phishy
274,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Phishy,Phishy
275,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Phishy,Phishy
276,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Phishy,
277,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Phishy,
278,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Legitimate,Phishy,
279,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Suspicious,Phishy,
280,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Phishy
