,country,tenure,products_number,credit_card,active_member,churn Female,churn Male
163,Germany,1,3,0,0,,Yes
164,Germany,1,3,0,1,No,
165,Germany,1,3,1,0,Yes,Yes
166,Germany,1,3,1,1,No,Yes
167,Germany,1,4,0,0,Yes,
168,Germany,2,1,0,0,No,Yes
169,Germany,2,1,0,1,No,No
170,Germany,2,1,1,0,No,Yes
171,Germany,2,1,1,1,No,No
172,Germany,2,2,0,0,No,Yes
173,Germany,2,2,0,1,No,No
174,Germany,2,2,1,0,No,No
175,Germany,2,2,1,1,No,No
176,Germany,2,3,0,0,Yes,Yes
177,Germany,2,3,1,0,Yes,Yes
178,Germany,2,3,1,1,Yes,Yes
179,Germany,2,4,1,0,Yes,Yes
180,Germany,2,4,1,1,Yes,Yes
181,Germany,3,1,0,0,No,Yes
182,Germany,3,1,0,1,Yes,No
183,Germany,3,1,1,0,Yes,No
184,Germany,3,1,1,1,No,No
185,Germany,3,2,0,0,No,No
186,Germany,3,2,0,1,No,No
187,Germany,3,2,1,0,No,No
188,Germany,3,2,1,1,No,No
189,Germany,3,3,0,0,Yes,Yes
190,Germany,3,3,0,1,Yes,Yes
191,Germany,3,3,1,0,Yes,Yes
192,Germany,3,3,1,1,No,
193,Germany,3,4,1,0,Yes,Yes
194,Germany,3,4,1,1,,Yes
195,Germany,4,1,0,0,No,Yes
196,Germany,4,1,0,1,Yes,No
197,Germany,4,1,1,0,Yes,No
198,Germany,4,1,1,1,No,Yes
199,Germany,4,2,0,0,Yes,No
200,Germany,4,2,0,1,No,Yes
201,Germany,4,2,1,0,Yes,No
202,Germany,4,2,1,1,Yes,No
203,Germany,4,3,1,0,,Yes
204,Germany,4,4,1,0,Yes,
205,Germany,5,1,0,0,Yes,No
206,Germany,5,1,0,1,No,No
207,Germany,5,1,1,0,No,Yes
208,Germany,5,1,1,1,No,Yes
209,Germany,5,2,0,0,No,No
210,Germany,5,2,0,1,No,No
211,Germany,5,2,1,0,No,Yes
212,Germany,5,2,1,1,No,No
213,Germany,5,3,0,0,Yes,Yes
214,Germany,5,3,0,1,Yes,
215,Germany,5,3,1,0,No,Yes
216,Germany,5,3,1,1,No,Yes
217,Germany,5,4,0,0,Yes,
218,Germany,5,4,1,1,,Yes
219,Germany,6,1,0,0,Yes,No
220,Germany,6,1,0,1,No,No
221,Germany,6,1,1,0,Yes,Yes
222,Germany,6,1,1,1,No,No
223,Germany,6,2,0,0,No,No
224,Germany,6,2,0,1,No,No
225,Germany,6,2,1,0,No,No
226,Germany,6,2,1,1,No,No
227,Germany,6,3,0,1,Yes,Yes
228,Germany,6,3,1,0,Yes,Yes
229,Germany,6,3,1,1,Yes,
230,Germany,6,4,0,1,,Yes
231,Germany,6,4,1,0,,Yes
232,Germany,7,1,0,0,Yes,No
233,Germany,7,1,0,1,No,No
234,Germany,7,1,1,0,No,No
235,Germany,7,1,1,1,Yes,No
236,Germany,7,2,0,0,No,No
237,Germany,7,2,0,1,No,No
238,Germany,7,2,1,0,No,No
239,Germany,7,2,1,1,No,No
240,Germany,7,3,1,0,Yes,No
241,Germany,7,3,1,1,,Yes
242,Germany,7,4,1,1,Yes,Yes
243,Germany,8,1,0,0,Yes,No
244,Germany,8,1,0,1,No,Yes
245,Germany,8,1,1,0,Yes,Yes
246,Germany,8,1,1,1,No,No
247,Germany,8,2,0,0,No,No
248,Germany,8,2,0,1,Yes,Yes
249,Germany,8,2,1,0,Yes,No
250,Germany,8,2,1,1,No,No
251,Germany,8,3,0,0,Yes,Yes
252,Germany,8,3,1,0,Yes,Yes
253,Germany,8,3,1,1,Yes,Yes
254,Germany,8,4,0,0,Yes,
255,Germany,8,4,1,0,,Yes
256,Germany,8,4,1,1,Yes,
257,Germany,9,1,0,0,Yes,No
258,Germany,9,1,0,1,No,No
259,Germany,9,1,1,0,Yes,Yes
260,Germany,9,1,1,1,No,No
261,Germany,9,2,0,0,No,No
262,Germany,9,2,0,1,No,No
263,Germany,9,2,1,0,No,No
264,Germany,9,2,1,1,No,No
265,Germany,9,3,1,0,Yes,Yes
266,Germany,9,3,1,1,Yes,Yes
267,Germany,9,4,0,1,,Yes
268,Germany,10,1,0,0,No,No
269,Germany,10,1,0,1,No,No
270,Germany,10,1,1,0,Yes,No
271,Germany,10,1,1,1,No,No
272,Germany,10,2,0,0,No,No
273,Germany,10,2,0,1,No,No
274,Germany,10,2,1,0,No,No
275,Germany,10,2,1,1,No,No
276,Germany,10,3,0,0,,Yes
277,Germany,10,3,0,1,Yes,
278,Germany,10,3,1,0,,Yes
279,Germany,10,3,1,1,,Yes
280,Germany,10,4,1,1,Yes,
281,Spain,0,1,0,0,No,No
282,Spain,0,1,0,1,Yes,Yes
283,Spain,0,1,1,0,Yes,Yes
284,Spain,0,1,1,1,Yes,No
285,Spain,0,2,0,0,No,No
286,Spain,0,2,0,1,No,No
287,Spain,0,2,1,0,No,No
288,Spain,0,2,1,1,No,No
289,Spain,1,1,0,0,No,No
290,Spain,1,1,0,1,No,No
291,Spain,1,1,1,0,No,Yes
292,Spain,1,1,1,1,Yes,No
293,Spain,1,2,0,0,No,No
294,Spain,1,2,0,1,No,No
295,Spain,1,2,1,0,No,No
296,Spain,1,2,1,1,No,No
297,Spain,1,3,0,0,Yes,Yes
298,Spain,1,3,1,0,,Yes
299,Spain,1,3,1,1,Yes,Yes
300,Spain,1,4,1,0,Yes,
301,Spain,2,1,0,0,Yes,Yes
302,Spain,2,1,0,1,No,No
303,Spain,2,1,1,0,No,No
304,Spain,2,1,1,1,Yes,No
305,Spain,2,2,0,0,No,No
306,Spain,2,2,0,1,No,No
307,Spain,2,2,1,0,No,No
308,Spain,2,2,1,1,No,No
309,Spain,2,3,0,0,Yes,
310,Spain,2,3,1,0,Yes,Yes
311,Spain,2,3,1,1,Yes,
312,Spain,3,1,0,0,No,No
313,Spain,3,1,0,1,No,No
314,Spain,3,1,1,0,No,No
315,Spain,3,1,1,1,No,No
316,Spain,3,2,0,0,No,No
317,Spain,3,2,0,1,No,No
318,Spain,3,2,1,0,No,No
319,Spain,3,2,1,1,Yes,No
320,Spain,3,3,0,0,Yes,Yes
321,Spain,3,3,0,1,Yes,Yes
322,Spain,3,3,1,0,Yes,Yes
323,Spain,3,3,1,1,Yes,No
324,Spain,3,4,1,0,,Yes
325,Spain,4,1,0,0,Yes,Yes
326,Spain,4,1,0,1,No,Yes
327,Spain,4,1,1,0,No,No
328,Spain,4,1,1,1,No,No
329,Spain,4,2,0,0,No,Yes
330,Spain,4,2,0,1,No,No
331,Spain,4,2,1,0,No,No
332,Spain,4,2,1,1,No,No
333,Spain,4,3,0,0,Yes,
334,Spain,4,3,0,1,,No
335,Spain,4,3,1,0,No,Yes
336,Spain,5,1,0,0,No,No
337,Spain,5,1,0,1,Yes,No
338,Spain,5,1,1,0,No,No
339,Spain,5,1,1,1,No,No
340,Spain,5,2,0,0,Yes,No
341,Spain,5,2,0,1,No,No
342,Spain,5,2,1,0,No,No
343,Spain,5,2,1,1,No,No
344,Spain,5,3,0,0,Yes,
345,Spain,5,3,0,1,Yes,
346,Spain,5,3,1,0,Yes,
347,Spain,5,3,1,1,Yes,Yes
348,Spain,5,4,1,0,Yes,
349,Spain,5,4,1,1,Yes,
350,Spain,6,1,0,0,No,No
351,Spain,6,1,0,1,No,No
352,Spain,6,1,1,0,Yes,No
353,Spain,6,1,1,1,No,No
354,Spain,6,2,0,0,No,No
355,Spain,6,2,0,1,No,No
356,Spain,6,2,1,0,No,No
357,Spain,6,2,1,1,No,No
358,Spain,6,3,0,1,Yes,
359,Spain,6,3,1,0,Yes,
360,Spain,6,3,1,1,,No
361,Spain,6,4,1,0,,Yes
362,Spain,7,1,0,0,No,No
363,Spain,7,1,0,1,No,No
364,Spain,7,1,1,0,No,No
365,Spain,7,1,1,1,No,No
366,Spain,7,2,0,0,Yes,No
367,Spain,7,2,0,1,Yes,No
368,Spain,7,2,1,0,No,No
369,Spain,7,2,1,1,No,No
370,Spain,7,3,0,0,,Yes
371,Spain,7,3,0,1,No,
372,Spain,7,3,1,0,Yes,
373,Spain,8,1,0,0,No,No
374,Spain,8,1,0,1,No,No
375,Spain,8,1,1,0,No,No
376,Spain,8,1,1,1,No,No
377,Spain,8,2,0,0,No,No
378,Spain,8,2,0,1,No,No
379,Spain,8,2,1,0,No,No
380,Spain,8,2,1,1,No,No
381,Spain,8,3,0,1,Yes,
382,Spain,8,3,1,0,No,No
383,Spain,8,3,1,1,Yes,
384,Spain,9,1,0,0,No,Yes
385,Spain,9,1,0,1,No,No
386,Spain,9,1,1,0,Yes,Yes
387,Spain,9,1,1,1,No,No
388,Spain,9,2,0,0,No,No
389,Spain,9,2,0,1,No,No
390,Spain,9,2,1,0,No,No
391,Spain,9,2,1,1,No,No
392,Spain,9,3,0,1,,No
393,Spain,9,3,1,0,Yes,
394,Spain,9,3,1,1,,No
395,Spain,9,4,1,0,Yes,
396,Spain,10,1,0,0,,No
397,Spain,10,1,0,1,No,No
398,Spain,10,1,1,0,No,No
399,Spain,10,1,1,1,No,No
400,Spain,10,2,0,0,No,No
401,Spain,10,2,0,1,No,No
402,Spain,10,2,1,0,No,Yes
403,Spain,10,2,1,1,No,No
404,Spain,10,3,0,0,,Yes
