,gender,enrolled_university,education_level,company_type,last_new_job,LookingForJobChange Has relevent experience,LookingForJobChange No relevent experience
66,,Full time course,,Pvt Ltd,2,Yes,
67,,Full time course,,Pvt Ltd,3,Yes,No
68,,Full time course,,Pvt Ltd,>4,No,
69,,Full time course,,Pvt Ltd,never,,No
70,,Full time course,Graduate,,,Yes,Yes
71,,Full time course,Graduate,,1,No,Yes
72,,Full time course,Graduate,,2,Yes,Yes
73,,Full time course,Graduate,,3,Yes,Yes
74,,Full time course,Graduate,,>4,No,No
75,,Full time course,Graduate,,never,No,No
76,,Full time course,Graduate,Early Stage Startup,,Yes,No
77,,Full time course,Graduate,Early Stage Startup,1,No,Yes
78,,Full time course,Graduate,Early Stage Startup,2,Yes,No
79,,Full time course,Graduate,Early Stage Startup,3,No,
80,,Full time course,Graduate,Early Stage Startup,4,No,
81,,Full time course,Graduate,Early Stage Startup,>4,No,
82,,Full time course,Graduate,Early Stage Startup,never,Yes,No
83,,Full time course,Graduate,Funded Startup,,Yes,
84,,Full time course,Graduate,Funded Startup,1,No,Yes
85,,Full time course,Graduate,Funded Startup,2,No,Yes
86,,Full time course,Graduate,Funded Startup,>4,No,
87,,Full time course,Graduate,NGO,,Yes,
88,,Full time course,Graduate,NGO,1,No,Yes
89,,Full time course,Graduate,NGO,2,,No
90,,Full time course,Graduate,NGO,>4,No,
91,,Full time course,Graduate,NGO,never,Yes,Yes
92,,Full time course,Graduate,Other,1,,No
93,,Full time course,Graduate,Other,2,Yes,
94,,Full time course,Graduate,Other,never,Yes,Yes
95,,Full time course,Graduate,Public Sector,,No,Yes
96,,Full time course,Graduate,Public Sector,1,Yes,No
97,,Full time course,Graduate,Public Sector,2,No,Yes
98,,Full time course,Graduate,Public Sector,3,No,
99,,Full time course,Graduate,Public Sector,4,,Yes
100,,Full time course,Graduate,Public Sector,never,,Yes
101,,Full time course,Graduate,Pvt Ltd,,No,No
102,,Full time course,Graduate,Pvt Ltd,1,No,Yes
103,,Full time course,Graduate,Pvt Ltd,2,No,Yes
104,,Full time course,Graduate,Pvt Ltd,3,Yes,
105,,Full time course,Graduate,Pvt Ltd,4,No,Yes
106,,Full time course,Graduate,Pvt Ltd,>4,No,No
107,,Full time course,Graduate,Pvt Ltd,never,No,No
108,,Full time course,High School,,,,No
109,,Full time course,High School,,1,Yes,Yes
110,,Full time course,High School,,2,Yes,No
111,,Full time course,High School,,3,,No
112,,Full time course,High School,,4,No,No
113,,Full time course,High School,,>4,No,
114,,Full time course,High School,,never,No,Yes
115,,Full time course,High School,Early Stage Startup,,,No
116,,Full time course,High School,Early Stage Startup,1,No,No
117,,Full time course,High School,Early Stage Startup,2,,No
118,,Full time course,High School,Early Stage Startup,never,,No
119,,Full time course,High School,Funded Startup,,,No
120,,Full time course,High School,NGO,,,No
121,,Full time course,High School,NGO,1,,No
122,,Full time course,High School,NGO,never,,No
123,,Full time course,High School,Public Sector,1,No,No
124,,Full time course,High School,Public Sector,2,No,
125,,Full time course,High School,Public Sector,>4,Yes,
126,,Full time course,High School,Public Sector,never,,No
127,,Full time course,High School,Pvt Ltd,,No,
128,,Full time course,High School,Pvt Ltd,1,Yes,No
129,,Full time course,High School,Pvt Ltd,2,No,No
130,,Full time course,High School,Pvt Ltd,3,,No
131,,Full time course,High School,Pvt Ltd,4,,No
132,,Full time course,High School,Pvt Ltd,>4,No,
133,,Full time course,High School,Pvt Ltd,never,No,Yes
134,,Full time course,Masters,,,No,No
135,,Full time course,Masters,,1,No,Yes
136,,Full time course,Masters,,2,No,No
137,,Full time course,Masters,,3,,Yes
138,,Full time course,Masters,,4,Yes,
139,,Full time course,Masters,,>4,No,Yes
140,,Full time course,Masters,,never,No,Yes
141,,Full time course,Masters,Early Stage Startup,,No,
142,,Full time course,Masters,Early Stage Startup,1,No,No
143,,Full time course,Masters,Early Stage Startup,2,No,
144,,Full time course,Masters,Early Stage Startup,3,Yes,
145,,Full time course,Masters,Funded Startup,1,No,No
146,,Full time course,Masters,Funded Startup,2,No,
147,,Full time course,Masters,Funded Startup,>4,No,
148,,Full time course,Masters,NGO,,,No
149,,Full time course,Masters,NGO,1,No,Yes
150,,Full time course,Masters,NGO,2,No,No
151,,Full time course,Masters,NGO,3,,No
152,,Full time course,Masters,Public Sector,,No,Yes
153,,Full time course,Masters,Public Sector,1,No,No
154,,Full time course,Masters,Public Sector,2,,No
155,,Full time course,Masters,Public Sector,3,,No
156,,Full time course,Masters,Public Sector,4,,No
157,,Full time course,Masters,Public Sector,>4,Yes,No
158,,Full time course,Masters,Public Sector,never,No,Yes
159,,Full time course,Masters,Pvt Ltd,,No,
160,,Full time course,Masters,Pvt Ltd,1,No,Yes
161,,Full time course,Masters,Pvt Ltd,2,No,No
162,,Full time course,Masters,Pvt Ltd,3,Yes,No
163,,Full time course,Masters,Pvt Ltd,4,Yes,No
164,,Full time course,Masters,Pvt Ltd,>4,Yes,No
165,,Full time course,Masters,Pvt Ltd,never,No,No
166,,Full time course,Phd,,,Yes,
167,,Full time course,Phd,Public Sector,1,No,
168,,Full time course,Phd,Public Sector,3,No,
169,,Full time course,Phd,Public Sector,>4,,No
170,,Full time course,Phd,Public Sector,never,No,
171,,Full time course,Phd,Pvt Ltd,>4,No,No
172,,Full time course,Phd,Pvt Ltd,never,No,
173,,Full time course,Primary School,,,,Yes
174,,Full time course,Primary School,,1,Yes,Yes
175,,Full time course,Primary School,,never,,No
176,,Full time course,Primary School,Early Stage Startup,,Yes,
177,,Full time course,Primary School,Early Stage Startup,1,No,
178,,Full time course,Primary School,Early Stage Startup,2,,Yes
179,,Full time course,Primary School,Funded Startup,1,No,
180,,Full time course,Primary School,Public Sector,never,,Yes
181,,Full time course,Primary School,Pvt Ltd,,,No
182,,Full time course,Primary School,Pvt Ltd,1,No,
183,,Part time course,,,,,Yes
184,,Part time course,,,1,,No
185,,Part time course,,,2,,No
186,,Part time course,,,never,,No
187,,Part time course,,Public Sector,2,Yes,
188,,Part time course,,Pvt Ltd,,No,Yes
189,,Part time course,,Pvt Ltd,1,No,
190,,Part time course,Graduate,,,No,Yes
191,,Part time course,Graduate,,1,No,Yes
192,,Part time course,Graduate,,2,Yes,Yes
193,,Part time course,Graduate,,3,No,
194,,Part time course,Graduate,,4,Yes,No
195,,Part time course,Graduate,,>4,No,Yes
196,,Part time course,Graduate,,never,No,No
197,,Part time course,Graduate,Early Stage Startup,1,No,
198,,Part time course,Graduate,Early Stage Startup,2,No,
199,,Part time course,Graduate,Early Stage Startup,never,No,
200,,Part time course,Graduate,Funded Startup,1,No,
201,,Part time course,Graduate,Funded Startup,3,No,No
202,,Part time course,Graduate,NGO,,Yes,
203,,Part time course,Graduate,NGO,1,No,Yes
204,,Part time course,Graduate,NGO,2,,Yes
205,,Part time course,Graduate,NGO,4,No,
206,,Part time course,Graduate,NGO,>4,Yes,
207,,Part time course,Graduate,NGO,never,No,
208,,Part time course,Graduate,Public Sector,,,Yes
209,,Part time course,Graduate,Public Sector,1,No,
210,,Part time course,Graduate,Public Sector,2,No,No
211,,Part time course,Graduate,Public Sector,4,No,
212,,Part time course,Graduate,Public Sector,>4,No,No
213,,Part time course,Graduate,Pvt Ltd,,Yes,No
214,,Part time course,Graduate,Pvt Ltd,1,No,No
215,,Part time course,Graduate,Pvt Ltd,2,Yes,No
216,,Part time course,Graduate,Pvt Ltd,3,No,No
217,,Part time course,Graduate,Pvt Ltd,4,No,Yes
218,,Part time course,Graduate,Pvt Ltd,>4,Yes,No
219,,Part time course,Graduate,Pvt Ltd,never,No,Yes
220,,Part time course,High School,,,Yes,No
221,,Part time course,High School,,1,No,No
222,,Part time course,High School,,2,Yes,Yes
223,,Part time course,High School,,4,No,
224,,Part time course,High School,,never,,No
225,,Part time course,High School,Early Stage Startup,,No,
226,,Part time course,High School,Early Stage Startup,1,No,
227,,Part time course,High School,Early Stage Startup,2,,No
228,,Part time course,High School,Funded Startup,1,No,No
229,,Part time course,High School,Public Sector,1,Yes,
230,,Part time course,High School,Public Sector,>4,No,
231,,Part time course,High School,Pvt Ltd,1,No,No
232,,Part time course,High School,Pvt Ltd,2,No,No
233,,Part time course,High School,Pvt Ltd,never,Yes,
234,,Part time course,Masters,,1,No,No
235,,Part time course,Masters,,2,No,No
236,,Part time course,Masters,,3,No,
237,,Part time course,Masters,,4,No,No
238,,Part time course,Masters,,never,No,
239,,Part time course,Masters,Early Stage Startup,1,No,
240,,Part time course,Masters,Early Stage Startup,3,Yes,
241,,Part time course,Masters,Funded Startup,1,No,No
242,,Part time course,Masters,Funded Startup,2,No,
243,,Part time course,Masters,NGO,1,,Yes
244,,Part time course,Masters,NGO,2,No,
245,,Part time course,Masters,NGO,>4,Yes,
246,,Part time course,Masters,NGO,never,No,No
247,,Part time course,Masters,Public Sector,,,No
248,,Part time course,Masters,Public Sector,1,No,No
249,,Part time course,Masters,Public Sector,2,Yes,No
250,,Part time course,Masters,Public Sector,4,No,
251,,Part time course,Masters,Pvt Ltd,1,No,Yes
252,,Part time course,Masters,Pvt Ltd,2,No,
253,,Part time course,Masters,Pvt Ltd,3,Yes,
254,,Part time course,Masters,Pvt Ltd,>4,No,No
255,,Part time course,Masters,Pvt Ltd,never,No,
256,,Part time course,Phd,,>4,No,
257,,Part time course,Phd,Public Sector,2,,Yes
258,,Part time course,Phd,Pvt Ltd,,Yes,
259,,Part time course,Primary School,,,Yes,
260,,Part time course,Primary School,,never,,Yes
261,,Part time course,Primary School,Funded Startup,1,,Yes
262,,Part time course,Primary School,Pvt Ltd,1,,Yes
263,,Part time course,Primary School,Pvt Ltd,never,,No
264,,no_enrollment,,,,No,No
265,,no_enrollment,,,1,Yes,No
266,,no_enrollment,,,2,No,No
267,,no_enrollment,,,4,Yes,
268,,no_enrollment,,,>4,Yes,
269,,no_enrollment,,,never,No,No
270,,no_enrollment,,Early Stage Startup,1,Yes,
271,,no_enrollment,,Early Stage Startup,3,No,
272,,no_enrollment,,Funded Startup,1,No,
273,,no_enrollment,,NGO,>4,,No
274,,no_enrollment,,Public Sector,4,No,
275,,no_enrollment,,Public Sector,never,,No
276,,no_enrollment,,Pvt Ltd,,Yes,
277,,no_enrollment,,Pvt Ltd,1,No,
278,,no_enrollment,,Pvt Ltd,2,Yes,
279,,no_enrollment,,Pvt Ltd,3,Yes,
280,,no_enrollment,,Pvt Ltd,4,No,
281,,no_enrollment,,Pvt Ltd,>4,Yes,No
282,,no_enrollment,,Pvt Ltd,never,No,No
283,,no_enrollment,Graduate,,,No,Yes
284,,no_enrollment,Graduate,,1,No,Yes
285,,no_enrollment,Graduate,,2,No,No
286,,no_enrollment,Graduate,,3,No,No
287,,no_enrollment,Graduate,,4,Yes,No
288,,no_enrollment,Graduate,,>4,No,Yes
289,,no_enrollment,Graduate,,never,Yes,Yes
290,,no_enrollment,Graduate,Early Stage Startup,,No,No
291,,no_enrollment,Graduate,Early Stage Startup,1,Yes,Yes
292,,no_enrollment,Graduate,Early Stage Startup,2,No,
293,,no_enrollment,Graduate,Early Stage Startup,4,Yes,
294,,no_enrollment,Graduate,Early Stage Startup,>4,Yes,
295,,no_enrollment,Graduate,Early Stage Startup,never,No,No
296,,no_enrollment,Graduate,Funded Startup,,No,No
297,,no_enrollment,Graduate,Funded Startup,1,No,No
298,,no_enrollment,Graduate,Funded Startup,2,No,
299,,no_enrollment,Graduate,Funded Startup,3,No,No
300,,no_enrollment,Graduate,Funded Startup,4,No,
301,,no_enrollment,Graduate,Funded Startup,>4,No,
302,,no_enrollment,Graduate,Funded Startup,never,No,No
303,,no_enrollment,Graduate,NGO,,No,
304,,no_enrollment,Graduate,NGO,1,No,
305,,no_enrollment,Graduate,NGO,2,Yes,No
306,,no_enrollment,Graduate,NGO,>4,No,
307,,no_enrollment,Graduate,NGO,never,Yes,No
308,,no_enrollment,Graduate,Other,1,Yes,Yes
309,,no_enrollment,Graduate,Other,2,No,
310,,no_enrollment,Graduate,Other,3,No,
311,,no_enrollment,Graduate,Other,>4,No,
312,,no_enrollment,Graduate,Public Sector,,No,Yes
313,,no_enrollment,Graduate,Public Sector,1,No,Yes
314,,no_enrollment,Graduate,Public Sector,2,Yes,No
315,,no_enrollment,Graduate,Public Sector,3,Yes,No
316,,no_enrollment,Graduate,Public Sector,4,No,Yes
317,,no_enrollment,Graduate,Public Sector,>4,No,No
318,,no_enrollment,Graduate,Public Sector,never,No,
319,,no_enrollment,Graduate,Pvt Ltd,,No,No
320,,no_enrollment,Graduate,Pvt Ltd,1,No,No
321,,no_enrollment,Graduate,Pvt Ltd,2,Yes,Yes
322,,no_enrollment,Graduate,Pvt Ltd,3,Yes,No
323,,no_enrollment,Graduate,Pvt Ltd,4,No,No
324,,no_enrollment,Graduate,Pvt Ltd,>4,No,No
325,,no_enrollment,Graduate,Pvt Ltd,never,No,No
326,,no_enrollment,High School,,,No,No
327,,no_enrollment,High School,,1,Yes,Yes
328,,no_enrollment,High School,,2,Yes,Yes
329,,no_enrollment,High School,,3,No,No
330,,no_enrollment,High School,,4,No,
331,,no_enrollment,High School,,>4,No,Yes
332,,no_enrollment,High School,,never,No,No
333,,no_enrollment,High School,Early Stage Startup,,Yes,
334,,no_enrollment,High School,Early Stage Startup,1,No,
335,,no_enrollment,High School,Funded Startup,1,No,
336,,no_enrollment,High School,Funded Startup,2,No,
337,,no_enrollment,High School,NGO,1,No,
338,,no_enrollment,High School,NGO,4,,No
339,,no_enrollment,High School,Other,>4,No,
340,,no_enrollment,High School,Public Sector,2,No,
341,,no_enrollment,High School,Public Sector,>4,,No
342,,no_enrollment,High School,Pvt Ltd,,No,
343,,no_enrollment,High School,Pvt Ltd,1,No,No
344,,no_enrollment,High School,Pvt Ltd,2,No,No
345,,no_enrollment,High School,Pvt Ltd,3,No,No
346,,no_enrollment,High School,Pvt Ltd,4,No,
347,,no_enrollment,High School,Pvt Ltd,>4,No,
348,,no_enrollment,High School,Pvt Ltd,never,No,No
349,,no_enrollment,Masters,,,No,Yes
350,,no_enrollment,Masters,,1,No,No
351,,no_enrollment,Masters,,2,Yes,No
352,,no_enrollment,Masters,,3,Yes,Yes
353,,no_enrollment,Masters,,4,No,No
354,,no_enrollment,Masters,,>4,No,No
355,,no_enrollment,Masters,,never,No,No
356,,no_enrollment,Masters,Early Stage Startup,,No,
357,,no_enrollment,Masters,Early Stage Startup,1,Yes,No
358,,no_enrollment,Masters,Early Stage Startup,2,No,Yes
359,,no_enrollment,Masters,Early Stage Startup,3,No,
360,,no_enrollment,Masters,Early Stage Startup,4,No,
361,,no_enrollment,Masters,Early Stage Startup,never,Yes,No
362,,no_enrollment,Masters,Funded Startup,,No,
363,,no_enrollment,Masters,Funded Startup,1,No,No
364,,no_enrollment,Masters,Funded Startup,2,No,No
365,,no_enrollment,Masters,NGO,1,No,No
366,,no_enrollment,Masters,NGO,2,Yes,
367,,no_enrollment,Masters,NGO,4,No,No
368,,no_enrollment,Masters,NGO,>4,No,Yes
369,,no_enrollment,Masters,NGO,never,No,
370,,no_enrollment,Masters,Other,,No,No
371,,no_enrollment,Masters,Other,1,No,
372,,no_enrollment,Masters,Other,2,No,
373,,no_enrollment,Masters,Other,4,No,
374,,no_enrollment,Masters,Other,>4,No,
375,,no_enrollment,Masters,Public Sector,1,No,Yes
376,,no_enrollment,Masters,Public Sector,2,No,Yes
377,,no_enrollment,Masters,Public Sector,3,No,
378,,no_enrollment,Masters,Public Sector,4,No,No
379,,no_enrollment,Masters,Public Sector,>4,No,No
380,,no_enrollment,Masters,Pvt Ltd,,No,No
381,,no_enrollment,Masters,Pvt Ltd,1,Yes,No
382,,no_enrollment,Masters,Pvt Ltd,2,Yes,Yes
383,,no_enrollment,Masters,Pvt Ltd,3,No,No
384,,no_enrollment,Masters,Pvt Ltd,4,No,No
385,,no_enrollment,Masters,Pvt Ltd,>4,No,No
386,,no_enrollment,Masters,Pvt Ltd,never,No,No
387,,no_enrollment,Phd,,,,No
388,,no_enrollment,Phd,,1,No,No
389,,no_enrollment,Phd,,2,No,No
390,,no_enrollment,Phd,,3,,Yes
391,,no_enrollment,Phd,,>4,No,No
392,,no_enrollment,Phd,,never,No,
393,,no_enrollment,Phd,Early Stage Startup,>4,No,
394,,no_enrollment,Phd,Early Stage Startup,never,No,
395,,no_enrollment,Phd,Funded Startup,,No,
396,,no_enrollment,Phd,Funded Startup,1,No,
397,,no_enrollment,Phd,NGO,1,No,No
398,,no_enrollment,Phd,NGO,2,No,
399,,no_enrollment,Phd,NGO,>4,No,No
400,,no_enrollment,Phd,NGO,never,,No
401,,no_enrollment,Phd,Public Sector,,,No
402,,no_enrollment,Phd,Public Sector,1,No,Yes
403,,no_enrollment,Phd,Public Sector,2,,No
404,,no_enrollment,Phd,Public Sector,3,No,Yes
405,,no_enrollment,Phd,Public Sector,>4,,No
406,,no_enrollment,Phd,Pvt Ltd,,,No
407,,no_enrollment,Phd,Pvt Ltd,1,No,No
408,,no_enrollment,Phd,Pvt Ltd,2,No,No
409,,no_enrollment,Phd,Pvt Ltd,3,No,
410,,no_enrollment,Phd,Pvt Ltd,4,No,
411,,no_enrollment,Phd,Pvt Ltd,>4,No,Yes
412,,no_enrollment,Phd,Pvt Ltd,never,No,
413,,no_enrollment,Primary School,,,,No
414,,no_enrollment,Primary School,,1,No,No
415,,no_enrollment,Primary School,,2,No,No
416,,no_enrollment,Primary School,,never,No,No
417,,no_enrollment,Primary School,Early Stage Startup,1,,No
418,,no_enrollment,Primary School,Early Stage Startup,2,No,
419,,no_enrollment,Primary School,Pvt Ltd,1,No,No
420,,no_enrollment,Primary School,Pvt Ltd,2,,No
421,,no_enrollment,Primary School,Pvt Ltd,never,Yes,No
422,Female,,,,never,,No
423,Female,,Graduate,,,Yes,
424,Female,,Graduate,,2,Yes,
425,Female,,Graduate,,3,Yes,
426,Female,,Graduate,,4,Yes,
427,Female,,Graduate,,>4,No,
428,Female,,Graduate,,never,,Yes
429,Female,,Graduate,Pvt Ltd,1,No,
430,Female,,Graduate,Pvt Ltd,never,No,No
431,Female,,High School,,>4,,No
432,Female,,High School,,never,,No
433,Female,,Masters,,2,,Yes
434,Female,,Masters,Funded Startup,1,No,No
435,Female,,Masters,Pvt Ltd,1,Yes,
436,Female,,Masters,Pvt Ltd,never,Yes,
437,Female,Full time course,,,1,,No
438,Female,Full time course,,Early Stage Startup,never,No,
439,Female,Full time course,Graduate,,,,No
440,Female,Full time course,Graduate,,1,No,Yes
441,Female,Full time course,Graduate,,2,Yes,Yes
442,Female,Full time course,Graduate,,3,,Yes
443,Female,Full time course,Graduate,,4,Yes,No
444,Female,Full time course,Graduate,,>4,No,Yes
445,Female,Full time course,Graduate,,never,,Yes
446,Female,Full time course,Graduate,Early Stage Startup,1,No,No
447,Female,Full time course,Graduate,Early Stage Startup,2,Yes,
448,Female,Full time course,Graduate,Early Stage Startup,3,No,
449,Female,Full time course,Graduate,Funded Startup,1,No,No
450,Female,Full time course,Graduate,NGO,1,,Yes
451,Female,Full time course,Graduate,NGO,4,Yes,
452,Female,Full time course,Graduate,NGO,>4,,Yes
453,Female,Full time course,Graduate,Public Sector,1,Yes,Yes
454,Female,Full time course,Graduate,Public Sector,4,,No
455,Female,Full time course,Graduate,Public Sector,>4,,Yes
456,Female,Full time course,Graduate,Pvt Ltd,1,No,No
457,Female,Full time course,Graduate,Pvt Ltd,2,No,No
458,Female,Full time course,Graduate,Pvt Ltd,3,No,No
459,Female,Full time course,Graduate,Pvt Ltd,4,,Yes
460,Female,Full time course,Graduate,Pvt Ltd,>4,No,
461,Female,Full time course,Graduate,Pvt Ltd,never,Yes,No
462,Female,Full time course,High School,,1,,No
463,Female,Full time course,High School,,2,,Yes
464,Female,Full time course,High School,,never,,No
465,Female,Full time course,High School,Early Stage Startup,1,,Yes
466,Female,Full time course,High School,Funded Startup,1,,No
467,Female,Full time course,High School,Public Sector,1,,No
468,Female,Full time course,High School,Pvt Ltd,1,,No
469,Female,Full time course,High School,Pvt Ltd,never,,Yes
470,Female,Full time course,Masters,,1,No,Yes
471,Female,Full time course,Masters,,2,No,
472,Female,Full time course,Masters,,3,No,
473,Female,Full time course,Masters,,4,Yes,Yes
474,Female,Full time course,Masters,,>4,,No
475,Female,Full time course,Masters,,never,,Yes
476,Female,Full time course,Masters,Early Stage Startup,never,Yes,
477,Female,Full time course,Masters,Funded Startup,1,No,
478,Female,Full time course,Masters,NGO,3,,No
479,Female,Full time course,Masters,NGO,4,,Yes
480,Female,Full time course,Masters,Other,1,,No
481,Female,Full time course,Masters,Public Sector,1,Yes,Yes
482,Female,Full time course,Masters,Public Sector,2,No,No
483,Female,Full time course,Masters,Public Sector,3,,No
484,Female,Full time course,Masters,Public Sector,>4,,No
485,Female,Full time course,Masters,Pvt Ltd,1,Yes,No
486,Female,Full time course,Masters,Pvt Ltd,2,Yes,
487,Female,Full time course,Masters,Pvt Ltd,3,No,
488,Female,Full time course,Masters,Pvt Ltd,>4,Yes,
489,Female,Full time course,Masters,Pvt Ltd,never,No,
490,Female,Full time course,Phd,NGO,>4,,No
491,Female,Full time course,Phd,Public Sector,1,,No
492,Female,Full time course,Phd,Public Sector,2,,No
493,Female,Full time course,Phd,Pvt Ltd,>4,No,
494,Female,Full time course,Primary School,Pvt Ltd,never,,Yes
495,Female,Part time course,,Pvt Ltd,2,No,
496,Female,Part time course,Graduate,,1,No,No
497,Female,Part time course,Graduate,,2,No,
498,Female,Part time course,Graduate,,3,Yes,
499,Female,Part time course,Graduate,,never,No,No
500,Female,Part time course,Graduate,Early Stage Startup,1,No,
501,Female,Part time course,Graduate,Early Stage Startup,never,No,
502,Female,Part time course,Graduate,Funded Startup,1,,No
503,Female,Part time course,Graduate,Funded Startup,2,No,
504,Female,Part time course,Graduate,Other,3,Yes,
505,Female,Part time course,Graduate,Other,>4,Yes,
506,Female,Part time course,Graduate,Public Sector,1,Yes,Yes
507,Female,Part time course,Graduate,Public Sector,2,No,
508,Female,Part time course,Graduate,Public Sector,>4,No,
509,Female,Part time course,Graduate,Pvt Ltd,1,No,No
510,Female,Part time course,Graduate,Pvt Ltd,2,No,No
511,Female,Part time course,Graduate,Pvt Ltd,3,No,No
512,Female,Part time course,Graduate,Pvt Ltd,4,No,No
513,Female,Part time course,Graduate,Pvt Ltd,>4,No,
514,Female,Part time course,High School,,1,No,No
515,Female,Part time course,High School,NGO,1,No,
516,Female,Part time course,High School,Public Sector,1,,Yes
517,Female,Part time course,High School,Pvt Ltd,1,No,
518,Female,Part time course,Masters,,1,,Yes
519,Female,Part time course,Masters,,3,No,
520,Female,Part time course,Masters,NGO,3,Yes,
521,Female,Part time course,Masters,Public Sector,1,,No
522,Female,Part time course,Masters,Public Sector,3,,No
523,Female,Part time course,Masters,Pvt Ltd,1,No,
524,Female,Part time course,Masters,Pvt Ltd,>4,,No
525,Female,no_enrollment,,,1,No,
526,Female,no_enrollment,,,>4,No,
527,Female,no_enrollment,Graduate,,,No,
528,Female,no_enrollment,Graduate,,1,No,Yes
529,Female,no_enrollment,Graduate,,2,Yes,Yes
530,Female,no_enrollment,Graduate,,3,No,
531,Female,no_enrollment,Graduate,,4,,Yes
532,Female,no_enrollment,Graduate,,>4,Yes,No
533,Female,no_enrollment,Graduate,,never,No,Yes
534,Female,no_enrollment,Graduate,Early Stage Startup,1,No,Yes
535,Female,no_enrollment,Graduate,Early Stage Startup,2,No,No
536,Female,no_enrollment,Graduate,Early Stage Startup,never,Yes,No
537,Female,no_enrollment,Graduate,Funded Startup,1,Yes,No
538,Female,no_enrollment,Graduate,Funded Startup,2,No,No
539,Female,no_enrollment,Graduate,Funded Startup,3,Yes,
540,Female,no_enrollment,Graduate,Funded Startup,4,No,
541,Female,no_enrollment,Graduate,Funded Startup,>4,No,
542,Female,no_enrollment,Graduate,Funded Startup,never,,No
543,Female,no_enrollment,Graduate,NGO,1,No,No
544,Female,no_enrollment,Graduate,NGO,2,No,No
545,Female,no_enrollment,Graduate,NGO,3,No,No
546,Female,no_enrollment,Graduate,NGO,>4,No,No
547,Female,no_enrollment,Graduate,Other,1,No,
548,Female,no_enrollment,Graduate,Public Sector,1,Yes,No
549,Female,no_enrollment,Graduate,Public Sector,2,No,Yes
550,Female,no_enrollment,Graduate,Public Sector,3,No,
551,Female,no_enrollment,Graduate,Public Sector,4,No,
552,Female,no_enrollment,Graduate,Public Sector,>4,No,No
553,Female,no_enrollment,Graduate,Public Sector,never,,Yes
554,Female,no_enrollment,Graduate,Pvt Ltd,1,No,No
555,Female,no_enrollment,Graduate,Pvt Ltd,2,Yes,No
556,Female,no_enrollment,Graduate,Pvt Ltd,3,No,Yes
557,Female,no_enrollment,Graduate,Pvt Ltd,4,No,No
558,Female,no_enrollment,Graduate,Pvt Ltd,>4,No,No
559,Female,no_enrollment,Graduate,Pvt Ltd,never,No,No
560,Female,no_enrollment,High School,,1,No,
561,Female,no_enrollment,High School,,2,,No
562,Female,no_enrollment,High School,,>4,No,
563,Female,no_enrollment,High School,,never,No,No
564,Female,no_enrollment,High School,Early Stage Startup,1,No,
565,Female,no_enrollment,High School,Funded Startup,1,Yes,
566,Female,no_enrollment,High School,NGO,1,No,
567,Female,no_enrollment,High School,NGO,2,No,
