,Marital_status,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,International,AcademicOutcome daytime,AcademicOutcome evening
106,single,yes,no,yes,no,male,no,yes,Graduate,
107,single,yes,no,yes,no,male,yes,no,Dropout,
108,single,yes,no,yes,yes,female,no,no,Graduate,Graduate
109,single,yes,no,yes,yes,female,yes,no,Graduate,Graduate
110,single,yes,no,yes,yes,female,yes,yes,Graduate,
111,single,yes,no,yes,yes,male,no,no,Enrolled,Dropout
112,single,yes,no,yes,yes,male,yes,no,Dropout,
113,single,yes,yes,no,no,male,no,no,Dropout,
114,single,yes,yes,no,yes,female,no,no,Enrolled,
115,single,yes,yes,no,yes,female,yes,no,Graduate,
116,single,yes,yes,no,yes,male,no,no,Enrolled,
117,single,yes,yes,no,yes,male,yes,no,Dropout,
118,single,yes,yes,yes,no,female,yes,no,Dropout,
119,single,yes,yes,yes,yes,male,no,no,Enrolled,
120,widower,no,no,no,yes,male,no,no,,Graduate
121,widower,no,no,yes,yes,female,no,no,Enrolled,
122,widower,yes,no,no,yes,female,no,no,Dropout,
123,widower,yes,no,no,yes,female,yes,no,Enrolled,
