,fixed_acidity,citric_acid,median_wine_quality red,median_wine_quality white
278,5.9,0.27,,7.0
279,5.9,0.28,,6.0
280,5.9,0.29,,7.0
281,5.9,0.3,,7.0
282,5.9,0.31,,7.0
283,5.9,0.32,,6.0
284,5.9,0.33,,5.0
285,5.9,0.34,,6.0
286,5.9,0.36,,5.0
287,5.9,0.37,,5.0
288,5.9,0.38,,6.0
289,5.9,0.39,,7.0
290,5.9,0.4,,5.0
291,5.9,0.41,,6.0
292,5.9,0.45,,5.0
293,5.9,0.47,,7.0
294,6.0,0.0,6.0,4.0
295,6.0,0.04,5.0,4.0
296,6.0,0.05,5.0,6.0
297,6.0,0.06,6.0,5.0
298,6.0,0.07,,4.0
299,6.0,0.12,,5.0
300,6.0,0.13,,5.0
301,6.0,0.15,,5.0
302,6.0,0.16,,5.0
303,6.0,0.17,,6.0
304,6.0,0.18,,5.0
305,6.0,0.19,6.0,7.0
306,6.0,0.2,6.0,5.0
307,6.0,0.21,,6.0
308,6.0,0.22,,6.0
309,6.0,0.23,,6.0
310,6.0,0.24,,7.0
311,6.0,0.25,,6.0
312,6.0,0.26,,6.0
313,6.0,0.27,,7.0
314,6.0,0.28,,7.0
315,6.0,0.29,,5.0
316,6.0,0.3,,5.0
317,6.0,0.31,,8.0
318,6.0,0.32,4.0,6.0
319,6.0,0.33,,7.0
320,6.0,0.34,,6.0
321,6.0,0.35,,5.0
322,6.0,0.36,,6.0
323,6.0,0.37,,6.0
324,6.0,0.38,,6.0
325,6.0,0.39,,7.0
326,6.0,0.4,,6.0
327,6.0,0.41,,7.0
328,6.0,0.42,,8.0
329,6.0,0.44,,5.0
330,6.0,0.46,,4.0
331,6.0,0.47,6.0,4.0
332,6.0,0.49,,5.0
333,6.0,0.5,,5.0
334,6.0,0.51,,6.0
335,6.0,0.52,,7.0
336,6.0,0.65,,5.0
337,6.0,0.66,,6.0
338,6.0,0.71,,5.0
339,6.1,0.0,6.0,6.0
340,6.1,0.01,5.0,
341,6.1,0.02,5.0,
342,6.1,0.04,,6.0
343,6.1,0.07,,5.0
344,6.1,0.08,6.0,
345,6.1,0.09,6.0,
346,6.1,0.1,5.0,
347,6.1,0.12,,4.0
348,6.1,0.14,,4.0
349,6.1,0.15,5.0,6.0
350,6.1,0.16,7.0,6.0
351,6.1,0.17,,6.0
352,6.1,0.18,,5.0
353,6.1,0.19,,5.0
354,6.1,0.2,,5.0
355,6.1,0.21,,5.0
356,6.1,0.22,,6.0
357,6.1,0.23,6.0,6.0
358,6.1,0.24,,5.0
359,6.1,0.25,5.0,6.0
360,6.1,0.26,,7.0
361,6.1,0.27,,8.0
362,6.1,0.28,,6.0
363,6.1,0.29,,6.0
364,6.1,0.3,,6.0
365,6.1,0.31,,7.0
366,6.1,0.32,,6.0
367,6.1,0.33,,6.0
368,6.1,0.34,,3.0
369,6.1,0.35,,5.0
370,6.1,0.36,,6.0
371,6.1,0.37,,6.0
372,6.1,0.38,,6.0
373,6.1,0.4,6.0,6.0
374,6.1,0.41,,5.0
375,6.1,0.42,,5.0
376,6.1,0.43,,5.0
377,6.1,0.44,,5.0
378,6.1,0.45,,5.0
379,6.1,0.46,,6.0
380,6.1,0.47,,5.0
381,6.1,0.48,,6.0
382,6.1,0.49,,5.0
383,6.1,0.5,,6.0
384,6.1,0.51,,6.0
385,6.1,0.52,,6.0
386,6.1,0.56,,6.0
387,6.1,0.58,,5.0
388,6.15,0.37,,5.0
389,6.2,0.0,5.0,
390,6.2,0.01,,7.0
391,6.2,0.02,,4.0
392,6.2,0.03,,5.0
393,6.2,0.04,,5.0
394,6.2,0.06,5.0,
395,6.2,0.08,6.0,
396,6.2,0.09,5.0,
397,6.2,0.1,6.0,
398,6.2,0.12,,5.0
399,6.2,0.14,6.0,5.0
400,6.2,0.15,6.0,
401,6.2,0.16,,6.0
402,6.2,0.17,5.0,5.0
403,6.2,0.18,,5.0
404,6.2,0.19,,6.0
405,6.2,0.2,5.0,6.0
406,6.2,0.21,,5.0
407,6.2,0.22,6.0,6.0
408,6.2,0.23,,6.0
409,6.2,0.24,6.0,7.0
410,6.2,0.25,,5.0
411,6.2,0.26,,7.0
412,6.2,0.27,,7.0
413,6.2,0.28,,6.0
414,6.2,0.29,5.0,6.0
415,6.2,0.3,,6.0
416,6.2,0.31,5.0,6.0
417,6.2,0.32,,7.0
418,6.2,0.33,,7.0
419,6.2,0.34,,6.0
420,6.2,0.35,,3.0
421,6.2,0.36,,6.0
422,6.2,0.37,,6.0
423,6.2,0.38,,6.0
424,6.2,0.39,6.0,6.0
425,6.2,0.41,,6.0
426,6.2,0.42,,6.0
427,6.2,0.43,7.0,5.0
428,6.2,0.44,,5.0
429,6.2,0.45,,6.0
430,6.2,0.46,,6.0
431,6.2,0.47,,5.0
432,6.2,0.48,,8.0
433,6.2,0.49,,6.0
434,6.2,0.5,,5.0
435,6.2,0.51,,5.0
436,6.2,0.52,,6.0
437,6.2,0.54,,5.0
438,6.2,0.57,,6.0
439,6.2,0.73,,5.0
440,6.3,0.0,6.0,
441,6.3,0.01,6.0,
442,6.3,0.04,,6.0
443,6.3,0.08,5.0,
444,6.3,0.1,5.0,
445,6.3,0.13,6.0,
446,6.3,0.14,,5.0
447,6.3,0.15,6.0,
448,6.3,0.16,5.0,5.0
449,6.3,0.17,,6.0
450,6.3,0.18,,5.0
451,6.3,0.19,6.0,6.0
452,6.3,0.2,,5.0
453,6.3,0.21,,7.0
454,6.3,0.22,,6.0
455,6.3,0.23,,6.0
456,6.3,0.24,,6.0
457,6.3,0.25,,6.0
458,6.3,0.26,,7.0
459,6.3,0.27,,7.0
460,6.3,0.28,5.0,5.0
461,6.3,0.29,,6.0
462,6.3,0.3,,6.0
463,6.3,0.31,,6.0
464,6.3,0.32,,8.0
465,6.3,0.33,,5.0
466,6.3,0.34,,7.0
467,6.3,0.35,,7.0
468,6.3,0.36,,5.0
469,6.3,0.37,,6.0
470,6.3,0.38,,7.0
471,6.3,0.39,,6.0
472,6.3,0.4,,5.0
473,6.3,0.42,,6.0
474,6.3,0.43,,7.0
475,6.3,0.44,,5.0
476,6.3,0.45,,6.0
477,6.3,0.46,,6.0
478,6.3,0.47,,6.0
479,6.3,0.48,6.0,5.0
480,6.3,0.49,,6.0
481,6.3,0.5,,6.0
482,6.3,0.51,,6.0
483,6.3,0.52,,5.0
484,6.3,0.53,,6.0
485,6.3,0.55,,5.0
486,6.3,0.57,,6.0
487,6.3,0.58,,6.0
488,6.3,0.74,,6.0
489,6.3,0.91,,6.0
490,6.4,0.0,6.0,
491,6.4,0.01,,5.0
492,6.4,0.02,5.0,
493,6.4,0.03,6.0,
494,6.4,0.04,6.0,
495,6.4,0.06,,5.0
496,6.4,0.07,,5.0
497,6.4,0.08,6.0,5.0
498,6.4,0.09,4.0,6.0
499,6.4,0.1,,5.0
500,6.4,0.12,7.0,4.0
501,6.4,0.14,5.0,4.0
502,6.4,0.15,6.0,6.0
503,6.4,0.16,,5.0
504,6.4,0.17,,5.0
505,6.4,0.18,,5.0
506,6.4,0.19,,4.0
507,6.4,0.2,,4.0
508,6.4,0.21,6.0,5.0
509,6.4,0.22,,6.0
510,6.4,0.23,5.0,5.0
511,6.4,0.24,,6.0
512,6.4,0.25,6.0,7.0
513,6.4,0.26,,5.0
514,6.4,0.27,,6.0
515,6.4,0.28,,7.0
516,6.4,0.29,,5.0
517,6.4,0.3,,6.0
518,6.4,0.31,,6.0
519,6.4,0.32,,6.0
520,6.4,0.33,6.0,7.0
521,6.4,0.34,,6.0
522,6.4,0.35,,5.0
523,6.4,0.36,,5.0
524,6.4,0.37,,7.0
525,6.4,0.38,,7.0
526,6.4,0.39,,6.0
527,6.4,0.4,6.0,7.0
528,6.4,0.41,,5.0
529,6.4,0.42,,6.0
530,6.4,0.43,,6.0
531,6.4,0.44,,5.0
532,6.4,0.45,,6.0
533,6.4,0.46,,6.0
534,6.4,0.47,,6.0
535,6.4,0.48,,6.0
536,6.4,0.49,,6.0
537,6.4,0.5,,5.0
538,6.4,0.51,,5.0
539,6.4,0.53,6.0,5.0
540,6.4,0.56,,5.0
541,6.4,0.57,,5.0
542,6.4,0.74,,6.0
543,6.45,0.42,,7.0
544,6.5,0.0,6.0,
545,6.5,0.02,,4.0
546,6.5,0.03,4.0,
547,6.5,0.06,6.0,
548,6.5,0.1,6.0,5.0
549,6.5,0.11,5.0,
550,6.5,0.12,,5.0
551,6.5,0.14,5.0,5.0
552,6.5,0.15,6.0,
553,6.5,0.16,,5.0
554,6.5,0.17,,4.0
555,6.5,0.18,,5.0
556,6.5,0.19,,5.0
557,6.5,0.2,,6.0
558,6.5,0.22,,7.0
559,6.5,0.23,6.0,5.0
560,6.5,0.24,,6.0
561,6.5,0.25,,6.0
562,6.5,0.26,,7.0
563,6.5,0.27,6.0,6.0
564,6.5,0.28,,7.0
565,6.5,0.29,,7.0
566,6.5,0.3,,7.0
567,6.5,0.31,,7.0
568,6.5,0.32,,7.0
569,6.5,0.33,6.0,7.0
570,6.5,0.34,,7.0
571,6.5,0.35,,6.0
572,6.5,0.36,,8.0
573,6.5,0.37,,7.0
574,6.5,0.38,,6.0
575,6.5,0.39,,6.0
576,6.5,0.4,,5.0
577,6.5,0.41,,5.0
578,6.5,0.42,,6.0
579,6.5,0.43,,5.0
580,6.5,0.44,,7.0
581,6.5,0.45,,6.0
582,6.5,0.46,,6.0
583,6.5,0.47,,8.0
584,6.5,0.48,,4.0
585,6.5,0.49,,6.0
586,6.5,0.5,,6.0
587,6.5,0.51,,6.0
588,6.5,0.52,,6.0
589,6.5,0.53,,7.0
590,6.5,0.54,,6.0
591,6.5,0.55,,5.0
592,6.5,0.61,,6.0
593,6.5,0.64,,5.0
594,6.5,0.72,,6.0
595,6.5,0.74,,6.0
596,6.5,0.81,,5.0
597,6.6,0.0,5.0,
598,6.6,0.01,5.0,5.0
599,6.6,0.02,6.0,
600,6.6,0.03,5.0,
601,6.6,0.04,6.0,5.0
602,6.6,0.07,5.0,5.0
603,6.6,0.08,5.0,
604,6.6,0.09,6.0,6.0
605,6.6,0.13,,5.0
606,6.6,0.14,7.0,6.0
607,6.6,0.15,5.0,5.0
608,6.6,0.16,,6.0
609,6.6,0.18,,5.0
610,6.6,0.19,,5.0
611,6.6,0.2,5.0,5.0
612,6.6,0.21,,7.0
613,6.6,0.22,,5.0
614,6.6,0.23,,6.0
615,6.6,0.24,,6.0
616,6.6,0.25,,7.0
617,6.6,0.26,,8.0
618,6.6,0.27,,6.0
619,6.6,0.28,,6.0
620,6.6,0.29,,6.0
621,6.6,0.3,,6.0
622,6.6,0.31,5.0,6.0
623,6.6,0.32,,7.0
624,6.6,0.33,,6.0
625,6.6,0.34,,6.0
626,6.6,0.35,,7.0
627,6.6,0.36,,6.0
628,6.6,0.37,,5.0
629,6.6,0.38,,7.0
630,6.6,0.39,,6.0
631,6.6,0.4,,7.0
632,6.6,0.41,,7.0
633,6.6,0.42,,5.0
634,6.6,0.43,,6.0
635,6.6,0.44,,6.0
636,6.6,0.45,,5.0
637,6.6,0.46,,5.0
638,6.6,0.47,,5.0
639,6.6,0.49,6.0,6.0
640,6.6,0.5,,6.0
641,6.6,0.51,,5.0
642,6.6,0.52,,5.0
643,6.6,0.53,,5.0
644,6.6,0.56,,5.0
645,6.6,0.57,,7.0
646,6.6,0.58,,5.0
647,6.6,0.6,,7.0
648,6.6,0.73,,6.0
649,6.6,0.74,,5.0
650,6.6,0.99,,6.0
651,6.7,0.0,,6.0
652,6.7,0.01,6.0,5.0
653,6.7,0.02,3.0,
654,6.7,0.07,5.0,
655,6.7,0.08,4.0,5.0
656,6.7,0.09,5.0,5.0
657,6.7,0.12,5.0,6.0
658,6.7,0.13,5.0,5.0
659,6.7,0.14,,5.0
660,6.7,0.17,,5.0
661,6.7,0.18,,6.0
662,6.7,0.19,,6.0
663,6.7,0.21,6.0,6.0
664,6.7,0.22,,5.0
665,6.7,0.23,5.0,6.0
666,6.7,0.24,6.0,5.0
667,6.7,0.25,,5.0
668,6.7,0.26,,5.0
669,6.7,0.27,6.0,7.0
670,6.7,0.28,7.0,7.0
671,6.7,0.29,,7.0
672,6.7,0.3,,6.0
673,6.7,0.31,,8.0
674,6.7,0.32,,7.0
675,6.7,0.33,,6.0
676,6.7,0.34,,5.0
677,6.7,0.35,,5.0
678,6.7,0.36,,5.0
679,6.7,0.37,,7.0
680,6.7,0.38,,6.0
681,6.7,0.39,,5.0
682,6.7,0.4,,7.0
683,6.7,0.41,,5.0
684,6.7,0.42,,7.0
685,6.7,0.43,6.0,6.0
686,6.7,0.44,7.0,5.0
687,6.7,0.45,,6.0
688,6.7,0.46,,6.0
689,6.7,0.48,,5.0
690,6.7,0.49,,5.0
691,6.7,0.5,,6.0
692,6.7,0.51,,5.0
693,6.7,0.54,,5.0
694,6.7,0.57,,6.0
695,6.7,0.63,,5.0
696,6.7,0.64,6.0,
697,6.7,0.69,,6.0
698,6.7,0.74,,6.0
699,6.7,0.82,,5.0
700,6.8,0.0,5.0,
701,6.8,0.01,6.0,
702,6.8,0.02,6.0,
703,6.8,0.03,6.0,
704,6.8,0.04,5.0,4.0
705,6.8,0.05,6.0,
706,6.8,0.06,4.0,
707,6.8,0.07,6.0,
708,6.8,0.08,6.0,4.0
709,6.8,0.09,4.0,5.0
710,6.8,0.1,5.0,5.0
711,6.8,0.11,5.0,
712,6.8,0.12,5.0,5.0
713,6.8,0.15,6.0,
714,6.8,0.16,,4.0
715,6.8,0.17,,6.0
716,6.8,0.18,6.0,5.0
717,6.8,0.19,,5.0
718,6.8,0.2,5.0,5.0
719,6.8,0.21,5.0,6.0
720,6.8,0.22,6.0,5.0
721,6.8,0.23,,5.0
722,6.8,0.24,,6.0
723,6.8,0.25,5.0,5.0
724,6.8,0.26,,6.0
725,6.8,0.27,,4.0
726,6.8,0.28,,6.0
727,6.8,0.29,5.0,6.0
728,6.8,0.3,,5.0
729,6.8,0.31,6.0,6.0
730,6.8,0.32,7.0,6.0
731,6.8,0.33,,6.0
732,6.8,0.34,,7.0
733,6.8,0.35,,6.0
734,6.8,0.36,,6.0
735,6.8,0.37,,6.0
736,6.8,0.38,,6.0
737,6.8,0.39,,6.0
738,6.8,0.4,,7.0
739,6.8,0.41,,6.0
740,6.8,0.42,,7.0
741,6.8,0.43,,5.0
742,6.8,0.44,,5.0
743,6.8,0.46,,5.0
744,6.8,0.47,,5.0
745,6.8,0.48,,6.0
746,6.8,0.49,,5.0
747,6.8,0.5,,5.0
748,6.8,0.51,,5.0
749,6.8,0.53,,5.0
750,6.8,0.55,,5.0
751,6.8,0.56,,5.0
752,6.8,0.58,,6.0
753,6.8,0.59,,6.0
754,6.8,0.6,,6.0
755,6.8,0.62,,5.0
756,6.8,0.67,,6.0
757,6.8,0.69,,5.0
758,6.8,0.71,,6.0
759,6.8,0.74,,6.0
760,6.9,0.0,6.0,
761,6.9,0.01,5.0,
762,6.9,0.02,5.0,
763,6.9,0.03,6.0,
764,6.9,0.04,6.0,
765,6.9,0.06,4.0,
766,6.9,0.1,6.0,
767,6.9,0.11,6.0,
768,6.9,0.12,6.0,
769,6.9,0.13,,5.0
770,6.9,0.14,6.0,
771,6.9,0.15,5.0,5.0
772,6.9,0.16,,6.0
773,6.9,0.17,6.0,5.0
774,6.9,0.18,6.0,5.0
775,6.9,0.19,6.0,
776,6.9,0.2,4.0,6.0
777,6.9,0.21,6.0,5.0
778,6.9,0.22,,5.0
779,6.9,0.23,6.0,5.0
780,6.9,0.24,4.0,5.0
781,6.9,0.25,6.0,5.0
782,6.9,0.26,,6.0
783,6.9,0.27,,6.0
784,6.9,0.28,,5.0
785,6.9,0.29,,6.0
786,6.9,0.3,6.0,6.0
787,6.9,0.31,6.0,6.0
788,6.9,0.32,,7.0
789,6.9,0.33,6.0,6.0
790,6.9,0.34,,6.0
791,6.9,0.35,,6.0
792,6.9,0.36,,4.0
793,6.9,0.37,,5.0
794,6.9,0.38,,7.0
795,6.9,0.39,,6.0
796,6.9,0.4,,5.0
797,6.9,0.41,,6.0
798,6.9,0.42,,5.0
799,6.9,0.43,,5.0
800,6.9,0.45,,7.0
801,6.9,0.47,,6.0
802,6.9,0.49,,6.0
803,6.9,0.5,,6.0
804,6.9,0.54,,6.0
805,6.9,0.55,,5.0
806,6.9,0.56,,5.0
807,6.9,0.58,,6.0
808,6.9,0.6,,4.0
809,6.9,0.62,,7.0
810,6.9,0.74,,5.0
811,6.9,0.81,,6.0
812,7.0,0.0,5.0,
813,7.0,0.02,6.0,5.0
814,7.0,0.04,4.0,
815,7.0,0.05,5.0,6.0
816,7.0,0.07,6.0,5.0
817,7.0,0.08,6.0,
818,7.0,0.09,6.0,
819,7.0,0.1,5.0,5.0
820,7.0,0.12,7.0,5.0
821,7.0,0.13,5.0,
822,7.0,0.14,5.0,5.0
823,7.0,0.16,5.0,
824,7.0,0.17,7.0,6.0
825,7.0,0.18,5.0,4.0
826,7.0,0.19,5.0,5.0
827,7.0,0.2,,5.0
828,7.0,0.21,6.0,5.0
829,7.0,0.22,,6.0
830,7.0,0.23,,6.0
831,7.0,0.24,,6.0
832,7.0,0.25,5.0,6.0
833,7.0,0.26,,6.0
834,7.0,0.27,,7.0
835,7.0,0.28,6.0,6.0
836,7.0,0.29,,8.0
837,7.0,0.3,6.0,6.0
838,7.0,0.31,,5.0
839,7.0,0.32,7.0,5.0
840,7.0,0.33,,6.0
841,7.0,0.34,5.0,6.0
842,7.0,0.35,5.0,6.0
843,7.0,0.36,6.0,6.0
844,7.0,0.37,,6.0
845,7.0,0.38,,8.0
846,7.0,0.39,,7.0
847,7.0,0.4,5.0,6.0
848,7.0,0.41,,5.0
849,7.0,0.42,,5.0
850,7.0,0.43,,8.0
851,7.0,0.45,,7.0
852,7.0,0.46,,6.0
853,7.0,0.47,,6.0
854,7.0,0.48,,6.0
855,7.0,0.49,6.0,6.0
856,7.0,0.51,,7.0
857,7.0,0.52,,5.0
858,7.0,0.54,,5.0
859,7.0,0.56,,6.0
860,7.0,0.59,,7.0
861,7.0,0.73,,5.0
862,7.0,0.74,,5.0
863,7.0,0.78,,6.0
864,7.1,0.0,6.0,
865,7.1,0.01,6.0,
866,7.1,0.02,6.0,
867,7.1,0.03,5.0,
868,7.1,0.04,5.0,
869,7.1,0.05,3.0,
870,7.1,0.06,5.0,
871,7.1,0.07,5.0,
872,7.1,0.08,6.0,
873,7.1,0.12,6.0,
874,7.1,0.13,,6.0
875,7.1,0.14,5.0,5.0
876,7.1,0.15,5.0,5.0
877,7.1,0.16,5.0,
878,7.1,0.17,5.0,5.0
879,7.1,0.18,5.0,5.0
880,7.1,0.19,,5.0
881,7.1,0.2,6.0,6.0
882,7.1,0.22,,3.0
883,7.1,0.23,,6.0
884,7.1,0.24,,5.0
885,7.1,0.25,,7.0
886,7.1,0.26,,6.0
887,7.1,0.27,,7.0
888,7.1,0.28,5.0,5.0
889,7.1,0.29,6.0,8.0
890,7.1,0.3,5.0,6.0
891,7.1,0.31,,7.0
892,7.1,0.32,,6.0
893,7.1,0.33,,6.0
894,7.1,0.34,,6.0
895,7.1,0.35,5.0,6.0
896,7.1,0.36,,7.0
897,7.1,0.37,,7.0
898,7.1,0.38,,6.0
899,7.1,0.39,,7.0
900,7.1,0.4,,6.0
901,7.1,0.41,,6.0
