,TypeofTravel,Class,Seatcomfort,DepartureArrivaltimeconvenient,Foodanddrink,Gatelocation,Baggagehandling,satisfaction Loyal Customer,satisfaction disloyal Customer
71,Business travel,Business,0,2,1,3,4,,satisfied
72,Business travel,Business,0,3,0,1,1,satisfied,
73,Business travel,Business,0,3,0,1,2,satisfied,
74,Business travel,Business,0,3,0,1,3,satisfied,
75,Business travel,Business,0,3,0,1,4,satisfied,satisfied
76,Business travel,Business,0,3,0,1,5,satisfied,satisfied
77,Business travel,Business,0,3,0,2,1,satisfied,satisfied
78,Business travel,Business,0,3,0,2,2,satisfied,
79,Business travel,Business,0,3,0,2,3,satisfied,
80,Business travel,Business,0,3,0,2,4,satisfied,
81,Business travel,Business,0,3,0,2,5,satisfied,
82,Business travel,Business,0,3,0,3,1,satisfied,
83,Business travel,Business,0,3,0,3,3,satisfied,
84,Business travel,Business,0,3,0,3,4,satisfied,satisfied
85,Business travel,Business,0,3,0,3,5,satisfied,satisfied
86,Business travel,Business,0,3,0,4,1,satisfied,satisfied
87,Business travel,Business,0,3,0,4,2,satisfied,
88,Business travel,Business,0,3,0,4,3,satisfied,
89,Business travel,Business,0,3,0,4,4,satisfied,satisfied
90,Business travel,Business,0,3,0,4,5,satisfied,satisfied
91,Business travel,Business,0,3,0,5,1,satisfied,
92,Business travel,Business,0,3,0,5,2,satisfied,satisfied
93,Business travel,Business,0,3,0,5,3,satisfied,
94,Business travel,Business,0,3,0,5,4,satisfied,satisfied
95,Business travel,Business,0,3,0,5,5,,satisfied
96,Business travel,Business,0,3,1,2,4,satisfied,
97,Business travel,Business,0,3,1,3,3,satisfied,
98,Business travel,Business,0,3,1,3,4,satisfied,
99,Business travel,Business,0,3,1,4,1,satisfied,
100,Business travel,Business,0,4,0,1,1,satisfied,
101,Business travel,Business,0,4,0,1,2,satisfied,
102,Business travel,Business,0,4,0,1,3,satisfied,satisfied
103,Business travel,Business,0,4,0,1,4,satisfied,satisfied
104,Business travel,Business,0,4,0,1,5,satisfied,satisfied
105,Business travel,Business,0,4,0,2,1,satisfied,
106,Business travel,Business,0,4,0,2,2,satisfied,
107,Business travel,Business,0,4,0,2,3,satisfied,satisfied
108,Business travel,Business,0,4,0,2,4,satisfied,satisfied
109,Business travel,Business,0,4,0,2,5,satisfied,satisfied
110,Business travel,Business,0,4,0,3,1,satisfied,
111,Business travel,Business,0,4,0,3,2,satisfied,
112,Business travel,Business,0,4,0,3,3,satisfied,satisfied
113,Business travel,Business,0,4,0,3,4,satisfied,satisfied
114,Business travel,Business,0,4,0,3,5,satisfied,satisfied
115,Business travel,Business,0,4,0,4,1,satisfied,
116,Business travel,Business,0,4,0,4,2,satisfied,satisfied
117,Business travel,Business,0,4,0,4,3,satisfied,
118,Business travel,Business,0,4,0,4,4,satisfied,satisfied
119,Business travel,Business,0,4,0,4,5,satisfied,satisfied
120,Business travel,Business,0,4,0,5,1,satisfied,
121,Business travel,Business,0,4,0,5,2,satisfied,
122,Business travel,Business,0,4,0,5,3,satisfied,
123,Business travel,Business,0,4,0,5,4,satisfied,satisfied
124,Business travel,Business,0,4,0,5,5,satisfied,satisfied
125,Business travel,Business,0,4,1,1,1,satisfied,
126,Business travel,Business,0,4,1,1,3,satisfied,
127,Business travel,Business,0,4,1,1,4,satisfied,satisfied
128,Business travel,Business,0,4,1,2,4,satisfied,satisfied
129,Business travel,Business,0,4,1,2,5,satisfied,
130,Business travel,Business,0,4,1,3,3,satisfied,
131,Business travel,Business,0,4,1,3,4,,satisfied
132,Business travel,Business,0,4,1,4,1,satisfied,
133,Business travel,Business,0,4,1,4,2,satisfied,
134,Business travel,Business,0,4,1,4,4,satisfied,
135,Business travel,Business,0,4,1,4,5,satisfied,satisfied
136,Business travel,Business,0,4,1,5,2,satisfied,
137,Business travel,Business,0,4,1,5,4,satisfied,
138,Business travel,Business,0,5,0,1,1,satisfied,
139,Business travel,Business,0,5,0,1,2,satisfied,satisfied
140,Business travel,Business,0,5,0,1,3,satisfied,satisfied
141,Business travel,Business,0,5,0,1,4,satisfied,satisfied
142,Business travel,Business,0,5,0,1,5,satisfied,satisfied
143,Business travel,Business,0,5,0,2,1,satisfied,
144,Business travel,Business,0,5,0,2,2,satisfied,
145,Business travel,Business,0,5,0,2,3,satisfied,
146,Business travel,Business,0,5,0,2,4,satisfied,satisfied
147,Business travel,Business,0,5,0,2,5,satisfied,satisfied
148,Business travel,Business,0,5,0,3,1,satisfied,
149,Business travel,Business,0,5,0,3,2,satisfied,
150,Business travel,Business,0,5,0,3,3,satisfied,satisfied
151,Business travel,Business,0,5,0,3,4,satisfied,satisfied
152,Business travel,Business,0,5,0,3,5,satisfied,satisfied
153,Business travel,Business,0,5,0,4,1,satisfied,
154,Business travel,Business,0,5,0,4,2,satisfied,
155,Business travel,Business,0,5,0,4,3,satisfied,
156,Business travel,Business,0,5,0,4,4,satisfied,satisfied
157,Business travel,Business,0,5,0,4,5,satisfied,satisfied
158,Business travel,Business,0,5,0,5,1,satisfied,
159,Business travel,Business,0,5,0,5,2,satisfied,
160,Business travel,Business,0,5,0,5,3,satisfied,
161,Business travel,Business,0,5,0,5,4,satisfied,satisfied
162,Business travel,Business,0,5,0,5,5,satisfied,satisfied
163,Business travel,Business,0,5,1,1,2,satisfied,
164,Business travel,Business,0,5,1,1,4,satisfied,
165,Business travel,Business,0,5,1,1,5,satisfied,satisfied
166,Business travel,Business,0,5,1,2,3,satisfied,
167,Business travel,Business,0,5,1,2,5,satisfied,
168,Business travel,Business,0,5,1,3,2,satisfied,
169,Business travel,Business,0,5,1,3,3,satisfied,
170,Business travel,Business,0,5,1,3,4,satisfied,
171,Business travel,Business,0,5,1,3,5,satisfied,
172,Business travel,Business,0,5,1,4,2,satisfied,
173,Business travel,Business,0,5,1,4,3,satisfied,
174,Business travel,Business,0,5,1,4,4,satisfied,
175,Business travel,Business,0,5,1,4,5,satisfied,
176,Business travel,Business,0,5,1,5,2,satisfied,
177,Business travel,Business,1,0,0,1,1,dissatisfied,dissatisfied
178,Business travel,Business,1,0,0,1,2,dissatisfied,
179,Business travel,Business,1,0,0,1,4,dissatisfied,dissatisfied
180,Business travel,Business,1,0,0,1,5,,dissatisfied
181,Business travel,Business,1,0,0,2,1,dissatisfied,dissatisfied
182,Business travel,Business,1,0,0,2,2,dissatisfied,dissatisfied
183,Business travel,Business,1,0,0,2,3,dissatisfied,
184,Business travel,Business,1,0,0,2,4,,dissatisfied
185,Business travel,Business,1,0,0,2,5,dissatisfied,dissatisfied
186,Business travel,Business,1,0,0,3,1,dissatisfied,dissatisfied
187,Business travel,Business,1,0,0,3,2,dissatisfied,dissatisfied
188,Business travel,Business,1,0,0,3,3,dissatisfied,
189,Business travel,Business,1,0,0,3,4,dissatisfied,dissatisfied
190,Business travel,Business,1,0,0,3,5,dissatisfied,dissatisfied
191,Business travel,Business,1,0,0,4,1,dissatisfied,dissatisfied
192,Business travel,Business,1,0,0,4,2,dissatisfied,
193,Business travel,Business,1,0,0,4,3,dissatisfied,dissatisfied
194,Business travel,Business,1,0,0,4,4,dissatisfied,dissatisfied
195,Business travel,Business,1,0,0,4,5,dissatisfied,dissatisfied
196,Business travel,Business,1,0,0,5,4,,dissatisfied
197,Business travel,Business,1,0,0,5,5,,dissatisfied
198,Business travel,Business,1,0,1,1,4,,dissatisfied
199,Business travel,Business,1,0,1,1,5,,dissatisfied
200,Business travel,Business,1,0,1,2,4,,dissatisfied
201,Business travel,Business,1,0,1,2,5,,dissatisfied
202,Business travel,Business,1,0,1,3,4,,dissatisfied
203,Business travel,Business,1,0,1,3,5,,dissatisfied
204,Business travel,Business,1,0,1,4,1,,dissatisfied
205,Business travel,Business,1,0,1,4,4,,dissatisfied
206,Business travel,Business,1,0,1,4,5,,dissatisfied
207,Business travel,Business,1,0,1,5,4,,dissatisfied
208,Business travel,Business,1,0,1,5,5,,dissatisfied
209,Business travel,Business,1,0,2,2,4,,dissatisfied
210,Business travel,Business,1,0,2,3,5,,dissatisfied
211,Business travel,Business,1,0,5,0,1,satisfied,
212,Business travel,Business,1,1,0,4,4,dissatisfied,
213,Business travel,Business,1,1,1,1,1,dissatisfied,dissatisfied
214,Business travel,Business,1,1,1,1,2,dissatisfied,dissatisfied
215,Business travel,Business,1,1,1,1,3,satisfied,dissatisfied
216,Business travel,Business,1,1,1,1,4,satisfied,dissatisfied
217,Business travel,Business,1,1,1,1,5,satisfied,dissatisfied
218,Business travel,Business,1,1,1,2,1,,dissatisfied
219,Business travel,Business,1,1,1,2,2,,dissatisfied
220,Business travel,Business,1,1,1,2,3,,dissatisfied
221,Business travel,Business,1,1,1,2,4,,dissatisfied
222,Business travel,Business,1,1,1,2,5,,dissatisfied
223,Business travel,Business,1,1,1,3,1,,dissatisfied
224,Business travel,Business,1,1,1,3,2,,dissatisfied
225,Business travel,Business,1,1,1,3,3,,dissatisfied
226,Business travel,Business,1,1,1,3,4,,dissatisfied
227,Business travel,Business,1,1,1,3,5,,dissatisfied
228,Business travel,Business,1,1,1,4,1,,dissatisfied
229,Business travel,Business,1,1,1,4,2,,dissatisfied
230,Business travel,Business,1,1,1,4,3,,dissatisfied
231,Business travel,Business,1,1,1,4,4,,dissatisfied
232,Business travel,Business,1,1,1,4,5,,dissatisfied
233,Business travel,Business,1,1,1,5,1,,dissatisfied
234,Business travel,Business,1,1,1,5,2,,dissatisfied
235,Business travel,Business,1,1,1,5,3,,dissatisfied
236,Business travel,Business,1,1,1,5,4,,dissatisfied
237,Business travel,Business,1,1,1,5,5,,dissatisfied
238,Business travel,Business,1,1,2,1,1,dissatisfied,
239,Business travel,Business,1,1,2,1,2,satisfied,
240,Business travel,Business,1,1,2,1,3,satisfied,
241,Business travel,Business,1,1,2,1,4,satisfied,
242,Business travel,Business,1,1,2,1,5,satisfied,
243,Business travel,Business,1,1,2,2,1,dissatisfied,
244,Business travel,Business,1,1,2,2,3,dissatisfied,
245,Business travel,Business,1,1,2,2,4,dissatisfied,
246,Business travel,Business,1,1,2,4,3,,dissatisfied
247,Business travel,Business,1,1,3,1,1,dissatisfied,
248,Business travel,Business,1,1,3,1,2,satisfied,
249,Business travel,Business,1,1,3,1,3,satisfied,
250,Business travel,Business,1,1,3,1,4,satisfied,
251,Business travel,Business,1,1,3,1,5,satisfied,
252,Business travel,Business,1,1,3,3,1,dissatisfied,
253,Business travel,Business,1,1,3,3,3,dissatisfied,
254,Business travel,Business,1,1,3,3,4,dissatisfied,
255,Business travel,Business,1,1,4,1,1,dissatisfied,
256,Business travel,Business,1,1,4,1,2,satisfied,
257,Business travel,Business,1,1,4,1,3,satisfied,
258,Business travel,Business,1,1,4,1,4,satisfied,
259,Business travel,Business,1,1,4,1,5,satisfied,
260,Business travel,Business,1,1,4,4,1,dissatisfied,
261,Business travel,Business,1,1,4,4,3,dissatisfied,
262,Business travel,Business,1,1,5,1,1,dissatisfied,
263,Business travel,Business,1,1,5,1,2,satisfied,
264,Business travel,Business,1,1,5,1,3,satisfied,
265,Business travel,Business,1,1,5,1,4,satisfied,
266,Business travel,Business,1,1,5,1,5,satisfied,
267,Business travel,Business,1,1,5,5,1,dissatisfied,
268,Business travel,Business,1,2,0,3,3,,dissatisfied
269,Business travel,Business,1,2,0,3,4,,dissatisfied
270,Business travel,Business,1,2,0,4,4,,dissatisfied
271,Business travel,Business,1,2,1,1,1,satisfied,
272,Business travel,Business,1,2,1,1,2,satisfied,
273,Business travel,Business,1,2,1,1,3,satisfied,
274,Business travel,Business,1,2,1,1,4,satisfied,
275,Business travel,Business,1,2,1,1,5,satisfied,
276,Business travel,Business,1,2,1,2,1,dissatisfied,
277,Business travel,Business,1,2,1,2,2,,dissatisfied
278,Business travel,Business,1,2,1,2,3,dissatisfied,dissatisfied
279,Business travel,Business,1,2,1,3,3,,dissatisfied
280,Business travel,Business,1,2,1,3,4,,dissatisfied
281,Business travel,Business,1,2,1,4,3,,dissatisfied
282,Business travel,Business,1,2,1,4,4,,dissatisfied
283,Business travel,Business,1,2,2,1,4,,dissatisfied
284,Business travel,Business,1,2,2,1,5,,dissatisfied
285,Business travel,Business,1,2,2,2,1,dissatisfied,
286,Business travel,Business,1,2,2,2,2,dissatisfied,
287,Business travel,Business,1,2,2,2,3,dissatisfied,
288,Business travel,Business,1,2,2,2,4,dissatisfied,dissatisfied
289,Business travel,Business,1,2,2,2,5,,dissatisfied
290,Business travel,Business,1,2,2,3,1,,dissatisfied
291,Business travel,Business,1,2,2,3,2,,dissatisfied
292,Business travel,Business,1,2,2,3,3,,dissatisfied
293,Business travel,Business,1,2,2,3,4,,dissatisfied
294,Business travel,Business,1,2,2,3,5,,dissatisfied
295,Business travel,Business,1,2,2,4,1,,dissatisfied
296,Business travel,Business,1,2,2,4,3,,dissatisfied
297,Business travel,Business,1,2,2,4,4,,dissatisfied
298,Business travel,Business,1,2,2,4,5,,dissatisfied
299,Business travel,Business,1,2,2,5,4,,dissatisfied
300,Business travel,Business,1,2,2,5,5,,dissatisfied
301,Business travel,Business,1,2,3,2,1,dissatisfied,
302,Business travel,Business,1,2,3,2,3,dissatisfied,
303,Business travel,Business,1,2,3,2,4,dissatisfied,
304,Business travel,Business,1,2,3,3,1,dissatisfied,
305,Business travel,Business,1,2,3,3,4,dissatisfied,
306,Business travel,Business,1,2,4,2,1,dissatisfied,
307,Business travel,Business,1,2,4,2,3,dissatisfied,
308,Business travel,Business,1,2,4,2,4,dissatisfied,
309,Business travel,Business,1,2,4,4,1,dissatisfied,
310,Business travel,Business,1,2,4,4,3,dissatisfied,
311,Business travel,Business,1,2,4,4,4,dissatisfied,
312,Business travel,Business,1,2,5,2,1,dissatisfied,
313,Business travel,Business,1,2,5,2,3,dissatisfied,
314,Business travel,Business,1,2,5,2,4,dissatisfied,
315,Business travel,Business,1,2,5,5,3,dissatisfied,
316,Business travel,Business,1,3,1,1,1,satisfied,
317,Business travel,Business,1,3,1,1,2,satisfied,
318,Business travel,Business,1,3,1,1,3,satisfied,
319,Business travel,Business,1,3,1,1,4,satisfied,
320,Business travel,Business,1,3,1,1,5,satisfied,
321,Business travel,Business,1,3,1,2,2,,dissatisfied
322,Business travel,Business,1,3,1,2,3,,dissatisfied
323,Business travel,Business,1,3,1,3,1,dissatisfied,
324,Business travel,Business,1,3,1,3,3,,dissatisfied
325,Business travel,Business,1,3,1,3,4,dissatisfied,dissatisfied
326,Business travel,Business,1,3,1,4,2,,dissatisfied
327,Business travel,Business,1,3,1,4,3,,dissatisfied
328,Business travel,Business,1,3,1,4,4,,dissatisfied
329,Business travel,Business,1,3,2,2,1,dissatisfied,
330,Business travel,Business,1,3,2,2,4,dissatisfied,
331,Business travel,Business,1,3,2,3,1,dissatisfied,
332,Business travel,Business,1,3,2,3,3,dissatisfied,
333,Business travel,Business,1,3,3,3,1,dissatisfied,
334,Business travel,Business,1,3,3,3,2,dissatisfied,
335,Business travel,Business,1,3,3,3,3,dissatisfied,
336,Business travel,Business,1,3,3,3,4,dissatisfied,
337,Business travel,Business,1,3,4,3,1,dissatisfied,
338,Business travel,Business,1,3,4,3,2,dissatisfied,
339,Business travel,Business,1,3,4,3,3,dissatisfied,
340,Business travel,Business,1,3,4,3,4,dissatisfied,
341,Business travel,Business,1,3,4,4,1,dissatisfied,
342,Business travel,Business,1,3,4,4,3,dissatisfied,
343,Business travel,Business,1,3,4,4,4,dissatisfied,
344,Business travel,Business,1,3,5,3,1,dissatisfied,
345,Business travel,Business,1,3,5,3,3,dissatisfied,
346,Business travel,Business,1,3,5,3,4,dissatisfied,
347,Business travel,Business,1,3,5,5,1,dissatisfied,
348,Business travel,Business,1,3,5,5,3,dissatisfied,
349,Business travel,Business,1,3,5,5,4,dissatisfied,
350,Business travel,Business,1,4,0,3,4,,dissatisfied
351,Business travel,Business,1,4,0,3,5,,dissatisfied
352,Business travel,Business,1,4,1,1,1,satisfied,
353,Business travel,Business,1,4,1,1,2,dissatisfied,
354,Business travel,Business,1,4,1,1,3,satisfied,
355,Business travel,Business,1,4,1,1,4,satisfied,dissatisfied
356,Business travel,Business,1,4,1,1,5,satisfied,dissatisfied
357,Business travel,Business,1,4,1,2,4,,dissatisfied
358,Business travel,Business,1,4,1,2,5,,dissatisfied
359,Business travel,Business,1,4,1,3,3,,dissatisfied
360,Business travel,Business,1,4,1,3,4,,dissatisfied
361,Business travel,Business,1,4,1,3,5,,dissatisfied
362,Business travel,Business,1,4,1,4,1,dissatisfied,
363,Business travel,Business,1,4,1,4,2,dissatisfied,
364,Business travel,Business,1,4,1,4,3,dissatisfied,dissatisfied
365,Business travel,Business,1,4,1,4,4,dissatisfied,dissatisfied
366,Business travel,Business,1,4,1,4,5,,dissatisfied
367,Business travel,Business,1,4,1,5,4,,dissatisfied
368,Business travel,Business,1,4,2,1,5,,dissatisfied
369,Business travel,Business,1,4,2,2,1,dissatisfied,
370,Business travel,Business,1,4,2,2,3,dissatisfied,
371,Business travel,Business,1,4,2,2,4,dissatisfied,
372,Business travel,Business,1,4,2,3,5,,dissatisfied
373,Business travel,Business,1,4,2,4,1,dissatisfied,
374,Business travel,Business,1,4,2,4,2,dissatisfied,
375,Business travel,Business,1,4,2,4,3,dissatisfied,
376,Business travel,Business,1,4,2,4,4,dissatisfied,
377,Business travel,Business,1,4,2,4,5,,dissatisfied
378,Business travel,Business,1,4,3,3,1,dissatisfied,
379,Business travel,Business,1,4,3,3,3,dissatisfied,
380,Business travel,Business,1,4,3,4,1,dissatisfied,
381,Business travel,Business,1,4,3,4,3,dissatisfied,
382,Business travel,Business,1,4,3,4,4,dissatisfied,
383,Business travel,Business,1,4,4,4,1,dissatisfied,
384,Business travel,Business,1,4,4,4,2,dissatisfied,
385,Business travel,Business,1,4,4,4,3,dissatisfied,
386,Business travel,Business,1,4,4,4,4,dissatisfied,
387,Business travel,Business,1,4,5,4,1,dissatisfied,
388,Business travel,Business,1,4,5,4,3,dissatisfied,
389,Business travel,Business,1,4,5,4,4,dissatisfied,
390,Business travel,Business,1,4,5,5,1,dissatisfied,
391,Business travel,Business,1,4,5,5,4,dissatisfied,
392,Business travel,Business,1,5,0,4,5,,dissatisfied
393,Business travel,Business,1,5,1,1,1,dissatisfied,
394,Business travel,Business,1,5,1,1,2,satisfied,
395,Business travel,Business,1,5,1,1,3,satisfied,
396,Business travel,Business,1,5,1,1,4,satisfied,dissatisfied
397,Business travel,Business,1,5,1,1,5,satisfied,dissatisfied
398,Business travel,Business,1,5,1,2,2,,dissatisfied
399,Business travel,Business,1,5,1,2,4,,dissatisfied
400,Business travel,Business,1,5,1,2,5,,dissatisfied
401,Business travel,Business,1,5,1,3,4,,dissatisfied
402,Business travel,Business,1,5,1,3,5,,dissatisfied
403,Business travel,Business,1,5,1,4,4,,dissatisfied
404,Business travel,Business,1,5,1,4,5,,dissatisfied
405,Business travel,Business,1,5,1,5,1,dissatisfied,
406,Business travel,Business,1,5,1,5,2,dissatisfied,
407,Business travel,Business,1,5,1,5,4,dissatisfied,dissatisfied
408,Business travel,Business,1,5,1,5,5,,dissatisfied
409,Business travel,Business,1,5,2,1,5,,dissatisfied
410,Business travel,Business,1,5,2,2,1,dissatisfied,
411,Business travel,Business,1,5,2,2,4,dissatisfied,
412,Business travel,Business,1,5,2,5,1,dissatisfied,
413,Business travel,Business,1,5,2,5,2,dissatisfied,
414,Business travel,Business,1,5,2,5,3,dissatisfied,
415,Business travel,Business,1,5,2,5,4,dissatisfied,
416,Business travel,Business,1,5,3,3,1,dissatisfied,
417,Business travel,Business,1,5,3,5,1,dissatisfied,
418,Business travel,Business,1,5,3,5,2,dissatisfied,
419,Business travel,Business,1,5,3,5,3,dissatisfied,
420,Business travel,Business,1,5,3,5,4,dissatisfied,
421,Business travel,Business,1,5,4,4,1,dissatisfied,
422,Business travel,Business,1,5,4,4,2,dissatisfied,
423,Business travel,Business,1,5,4,5,1,dissatisfied,
424,Business travel,Business,1,5,4,5,2,dissatisfied,
425,Business travel,Business,1,5,4,5,3,dissatisfied,
426,Business travel,Business,1,5,4,5,4,dissatisfied,
427,Business travel,Business,1,5,5,5,1,dissatisfied,
428,Business travel,Business,1,5,5,5,2,dissatisfied,
429,Business travel,Business,1,5,5,5,3,dissatisfied,
430,Business travel,Business,1,5,5,5,4,dissatisfied,
431,Business travel,Business,2,0,1,1,4,,dissatisfied
432,Business travel,Business,2,0,1,3,5,,dissatisfied
433,Business travel,Business,2,0,1,4,4,,dissatisfied
434,Business travel,Business,2,0,1,5,5,,dissatisfied
435,Business travel,Business,2,0,2,1,4,,dissatisfied
436,Business travel,Business,2,0,2,1,5,,dissatisfied
437,Business travel,Business,2,0,2,2,4,,dissatisfied
438,Business travel,Business,2,0,2,2,5,,dissatisfied
439,Business travel,Business,2,0,2,3,3,,dissatisfied
440,Business travel,Business,2,0,2,3,4,,dissatisfied
441,Business travel,Business,2,0,2,3,5,,dissatisfied
442,Business travel,Business,2,0,2,4,3,,dissatisfied
443,Business travel,Business,2,0,2,4,4,,dissatisfied
444,Business travel,Business,2,0,2,4,5,,dissatisfied
445,Business travel,Business,2,0,2,5,3,,dissatisfied
446,Business travel,Business,2,0,2,5,4,,dissatisfied
447,Business travel,Business,2,0,2,5,5,,dissatisfied
448,Business travel,Business,2,0,3,3,4,,dissatisfied
449,Business travel,Business,2,0,3,3,5,,dissatisfied
450,Business travel,Business,2,0,3,4,4,,dissatisfied
451,Business travel,Business,2,0,3,4,5,,dissatisfied
452,Business travel,Business,2,1,1,1,1,dissatisfied,dissatisfied
453,Business travel,Business,2,1,1,1,2,dissatisfied,
454,Business travel,Business,2,1,1,1,3,dissatisfied,dissatisfied
455,Business travel,Business,2,1,1,1,4,dissatisfied,dissatisfied
456,Business travel,Business,2,1,1,1,5,dissatisfied,dissatisfied
457,Business travel,Business,2,1,1,2,2,,dissatisfied
458,Business travel,Business,2,1,1,2,3,,dissatisfied
459,Business travel,Business,2,1,1,2,4,,dissatisfied
460,Business travel,Business,2,1,1,2,5,,dissatisfied
461,Business travel,Business,2,1,1,3,2,,dissatisfied
462,Business travel,Business,2,1,1,3,3,,dissatisfied
463,Business travel,Business,2,1,1,3,4,,dissatisfied
464,Business travel,Business,2,1,1,3,5,,dissatisfied
465,Business travel,Business,2,1,1,4,3,,dissatisfied
466,Business travel,Business,2,1,1,4,4,,dissatisfied
467,Business travel,Business,2,1,1,4,5,,dissatisfied
468,Business travel,Business,2,1,1,5,3,,dissatisfied
469,Business travel,Business,2,1,1,5,4,,dissatisfied
470,Business travel,Business,2,1,1,5,5,,dissatisfied
471,Business travel,Business,2,1,2,1,1,dissatisfied,
472,Business travel,Business,2,1,2,1,2,dissatisfied,dissatisfied
473,Business travel,Business,2,1,2,1,3,dissatisfied,
474,Business travel,Business,2,1,2,1,4,dissatisfied,
475,Business travel,Business,2,1,2,2,2,dissatisfied,dissatisfied
476,Business travel,Business,2,1,2,2,3,satisfied,dissatisfied
477,Business travel,Business,2,1,2,2,4,satisfied,
478,Business travel,Business,2,1,2,2,5,satisfied,
479,Business travel,Business,2,1,2,3,2,,dissatisfied
480,Business travel,Business,2,1,2,3,3,,dissatisfied
481,Business travel,Business,2,1,2,3,4,,dissatisfied
482,Business travel,Business,2,1,2,4,3,,dissatisfied
483,Business travel,Business,2,1,2,4,4,,dissatisfied
484,Business travel,Business,2,1,3,1,2,dissatisfied,
485,Business travel,Business,2,1,3,1,3,dissatisfied,
486,Business travel,Business,2,1,3,1,4,dissatisfied,
487,Business travel,Business,2,1,3,3,1,dissatisfied,
488,Business travel,Business,2,1,3,3,2,dissatisfied,
489,Business travel,Business,2,1,3,3,3,,dissatisfied
490,Business travel,Business,2,1,3,3,4,dissatisfied,
491,Business travel,Business,2,1,3,4,4,,dissatisfied
