,area_code,voice_mail_plan,total_intl_calls,number_customer_service_calls,CustomerChurned 0,CustomerChurned 1
93,408.0,1,3,4,,Yes
94,408.0,1,3,5,No,
95,408.0,1,4,0,No,No
96,408.0,1,4,1,No,No
97,408.0,1,4,2,No,No
98,408.0,1,4,3,No,No
99,408.0,1,4,4,No,
100,408.0,1,4,5,,Yes
101,408.0,1,4,6,Yes,
102,408.0,1,5,0,No,
103,408.0,1,5,1,No,No
104,408.0,1,5,2,No,
105,408.0,1,5,3,No,No
106,408.0,1,5,4,No,
107,408.0,1,5,5,Yes,
108,408.0,1,5,7,No,
109,408.0,1,6,0,No,
110,408.0,1,6,1,No,No
111,408.0,1,6,2,No,
112,408.0,1,6,3,No,
113,408.0,1,6,4,No,
114,408.0,1,6,6,Yes,
115,408.0,1,7,0,No,
116,408.0,1,7,1,No,
117,408.0,1,7,2,Yes,No
118,408.0,1,7,4,Yes,
119,408.0,1,7,6,Yes,
120,408.0,1,8,0,No,
121,408.0,1,8,1,No,
122,408.0,1,8,2,No,
123,408.0,1,8,3,No,
124,408.0,1,8,4,No,
125,408.0,1,9,0,No,
126,408.0,1,9,1,No,
127,408.0,1,9,2,No,
128,408.0,1,10,1,No,
129,408.0,1,10,3,No,
130,408.0,1,11,1,No,
131,408.0,1,12,0,,Yes
132,408.0,1,12,1,No,
133,408.0,1,12,2,No,
134,408.0,1,14,1,No,
135,408.0,1,14,3,No,
136,408.0,1,15,0,,Yes
137,408.0,1,16,3,No,
138,415.0,0,0,0,No,
139,415.0,0,0,1,No,
140,415.0,0,0,2,No,
141,415.0,0,0,3,No,Yes
142,415.0,0,1,0,No,Yes
143,415.0,0,1,1,Yes,Yes
144,415.0,0,1,2,Yes,Yes
145,415.0,0,1,3,No,
146,415.0,0,1,4,Yes,Yes
147,415.0,0,1,5,Yes,
148,415.0,0,1,6,Yes,
149,415.0,0,2,0,No,Yes
150,415.0,0,2,1,No,Yes
151,415.0,0,2,2,No,Yes
152,415.0,0,2,3,No,Yes
153,415.0,0,2,4,Yes,Yes
154,415.0,0,2,5,No,
155,415.0,0,2,6,Yes,
156,415.0,0,3,0,No,No
157,415.0,0,3,1,Yes,No
158,415.0,0,3,2,No,No
159,415.0,0,3,3,No,Yes
160,415.0,0,3,4,No,
161,415.0,0,3,5,Yes,
162,415.0,0,3,6,Yes,Yes
163,415.0,0,3,7,Yes,
164,415.0,0,4,0,No,No
165,415.0,0,4,1,No,No
166,415.0,0,4,2,Yes,No
167,415.0,0,4,3,No,Yes
168,415.0,0,4,4,Yes,No
169,415.0,0,4,5,Yes,
170,415.0,0,4,6,Yes,
171,415.0,0,4,7,No,
172,415.0,0,5,0,No,No
173,415.0,0,5,1,No,No
174,415.0,0,5,2,No,No
175,415.0,0,5,3,No,No
176,415.0,0,5,4,Yes,
177,415.0,0,5,5,No,Yes
178,415.0,0,5,7,Yes,
179,415.0,0,6,0,No,No
180,415.0,0,6,1,No,Yes
181,415.0,0,6,2,No,Yes
182,415.0,0,6,3,No,No
183,415.0,0,6,4,No,Yes
184,415.0,0,6,5,No,
185,415.0,0,7,0,No,No
186,415.0,0,7,1,No,Yes
187,415.0,0,7,2,No,Yes
188,415.0,0,7,3,No,No
189,415.0,0,7,4,No,
190,415.0,0,7,5,Yes,No
191,415.0,0,7,7,Yes,
192,415.0,0,8,0,No,No
193,415.0,0,8,1,No,No
194,415.0,0,8,2,No,No
195,415.0,0,8,3,No,
196,415.0,0,8,4,No,
197,415.0,0,8,5,No,
198,415.0,0,9,0,No,
199,415.0,0,9,1,No,No
200,415.0,0,9,2,No,No
201,415.0,0,9,3,No,
202,415.0,0,9,4,No,
203,415.0,0,9,5,Yes,Yes
204,415.0,0,10,0,No,Yes
205,415.0,0,10,1,No,
206,415.0,0,10,2,No,
207,415.0,0,10,3,No,
208,415.0,0,10,4,No,
209,415.0,0,10,5,No,
210,415.0,0,11,0,No,Yes
211,415.0,0,11,1,No,
212,415.0,0,11,2,No,No
213,415.0,0,11,3,No,
214,415.0,0,11,4,Yes,
215,415.0,0,11,5,Yes,
216,415.0,0,12,0,No,
217,415.0,0,12,1,No,
218,415.0,0,12,2,No,
219,415.0,0,13,0,No,No
220,415.0,0,13,1,No,
221,415.0,0,13,3,No,
222,415.0,0,14,1,No,
223,415.0,0,14,2,No,
224,415.0,0,15,0,,No
225,415.0,0,15,1,No,
226,415.0,0,15,3,Yes,
227,415.0,0,16,0,No,
228,415.0,0,16,1,No,
229,415.0,0,17,2,No,
230,415.0,0,18,1,No,
231,415.0,0,19,0,No,
232,415.0,1,0,1,No,
233,415.0,1,1,0,No,
234,415.0,1,1,1,No,Yes
235,415.0,1,1,2,No,
236,415.0,1,1,3,No,
237,415.0,1,1,4,No,
238,415.0,1,1,5,No,
239,415.0,1,2,0,No,Yes
240,415.0,1,2,1,No,Yes
241,415.0,1,2,2,No,
242,415.0,1,2,3,No,Yes
243,415.0,1,2,5,No,
244,415.0,1,2,6,Yes,
245,415.0,1,3,0,No,No
246,415.0,1,3,1,No,Yes
247,415.0,1,3,2,No,No
248,415.0,1,3,3,No,
249,415.0,1,3,4,No,Yes
250,415.0,1,3,5,No,Yes
251,415.0,1,3,9,,Yes
252,415.0,1,4,0,No,No
253,415.0,1,4,1,Yes,No
254,415.0,1,4,2,No,No
255,415.0,1,4,3,No,No
256,415.0,1,4,4,Yes,No
257,415.0,1,4,5,No,
258,415.0,1,5,0,No,No
259,415.0,1,5,1,No,No
260,415.0,1,5,2,No,No
261,415.0,1,5,3,No,Yes
262,415.0,1,5,4,No,No
263,415.0,1,5,5,Yes,Yes
264,415.0,1,5,6,No,
265,415.0,1,5,7,No,
266,415.0,1,6,0,No,No
267,415.0,1,6,1,No,Yes
268,415.0,1,6,2,No,No
269,415.0,1,6,3,No,Yes
270,415.0,1,6,4,Yes,No
271,415.0,1,6,6,Yes,
272,415.0,1,7,0,No,
273,415.0,1,7,1,No,No
274,415.0,1,7,2,No,No
275,415.0,1,7,3,No,
276,415.0,1,7,5,No,
277,415.0,1,8,0,No,
278,415.0,1,8,1,No,No
279,415.0,1,8,2,No,
280,415.0,1,8,3,No,
281,415.0,1,8,4,No,
282,415.0,1,9,0,No,
283,415.0,1,9,1,No,Yes
284,415.0,1,9,2,No,
285,415.0,1,9,3,No,
286,415.0,1,9,4,No,
287,415.0,1,9,5,No,
288,415.0,1,10,0,No,
289,415.0,1,10,1,No,
290,415.0,1,10,2,No,No
291,415.0,1,11,0,No,
292,415.0,1,11,1,No,
293,415.0,1,11,2,No,
294,415.0,1,11,4,Yes,
295,415.0,1,12,0,No,
296,415.0,1,12,1,No,
297,415.0,1,12,2,No,
298,415.0,1,13,0,No,
299,415.0,1,13,1,No,
300,415.0,1,13,2,No,
301,415.0,1,13,3,No,
302,415.0,1,15,3,No,
303,415.0,1,16,0,No,
304,415.0,1,16,4,No,
305,415.0,1,17,0,No,
306,415.0,1,18,1,No,
307,510.0,0,0,0,No,
308,510.0,0,0,1,No,
309,510.0,0,0,2,No,
310,510.0,0,0,3,No,
311,510.0,0,1,0,No,Yes
312,510.0,0,1,1,No,Yes
313,510.0,0,1,2,Yes,Yes
314,510.0,0,1,3,No,Yes
315,510.0,0,1,4,No,Yes
316,510.0,0,1,6,No,
317,510.0,0,2,0,No,Yes
318,510.0,0,2,1,No,Yes
319,510.0,0,2,2,No,Yes
320,510.0,0,2,3,No,Yes
321,510.0,0,2,4,No,Yes
322,510.0,0,2,5,Yes,
323,510.0,0,2,7,Yes,
324,510.0,0,3,0,No,No
325,510.0,0,3,1,No,No
326,510.0,0,3,2,No,No
327,510.0,0,3,3,Yes,No
328,510.0,0,3,4,Yes,No
329,510.0,0,3,5,No,
330,510.0,0,3,6,Yes,
331,510.0,0,4,0,No,No
332,510.0,0,4,1,No,No
333,510.0,0,4,2,No,Yes
334,510.0,0,4,3,No,Yes
335,510.0,0,4,4,Yes,No
336,510.0,0,4,5,Yes,
337,510.0,0,4,6,No,Yes
338,510.0,0,5,0,No,No
339,510.0,0,5,1,No,No
340,510.0,0,5,2,No,Yes
341,510.0,0,5,3,Yes,Yes
342,510.0,0,5,4,Yes,Yes
343,510.0,0,6,0,No,No
344,510.0,0,6,1,No,No
345,510.0,0,6,2,No,No
346,510.0,0,6,3,No,No
347,510.0,0,6,4,No,
348,510.0,0,6,5,No,
349,510.0,0,6,7,No,
350,510.0,0,7,0,No,Yes
351,510.0,0,7,1,No,
352,510.0,0,7,2,No,No
353,510.0,0,7,3,Yes,
354,510.0,0,7,4,Yes,
355,510.0,0,7,5,No,
356,510.0,0,8,0,No,
357,510.0,0,8,1,No,Yes
358,510.0,0,8,2,No,
359,510.0,0,8,3,No,No
360,510.0,0,8,4,No,
361,510.0,0,8,5,,Yes
362,510.0,0,9,0,No,No
363,510.0,0,9,1,No,No
364,510.0,0,9,2,No,No
365,510.0,0,9,3,No,No
366,510.0,0,9,4,Yes,
367,510.0,0,9,5,No,
368,510.0,0,10,0,Yes,
369,510.0,0,10,1,Yes,
370,510.0,0,10,2,No,No
371,510.0,0,10,3,No,No
372,510.0,0,10,4,No,
373,510.0,0,10,5,Yes,
374,510.0,0,11,0,No,No
375,510.0,0,11,1,No,
376,510.0,0,11,2,No,
377,510.0,0,11,3,No,
378,510.0,0,12,0,No,Yes
379,510.0,0,12,5,Yes,
380,510.0,0,13,0,No,
381,510.0,0,13,1,No,
382,510.0,0,13,2,No,
383,510.0,1,0,1,No,
384,510.0,1,1,0,No,
385,510.0,1,1,1,No,
386,510.0,1,1,2,No,
387,510.0,1,1,3,No,
388,510.0,1,1,5,No,
389,510.0,1,1,6,Yes,
390,510.0,1,2,0,No,
391,510.0,1,2,1,No,Yes
392,510.0,1,2,2,No,Yes
393,510.0,1,2,3,No,Yes
394,510.0,1,2,4,No,
395,510.0,1,2,5,Yes,
396,510.0,1,3,0,No,No
397,510.0,1,3,1,No,No
398,510.0,1,3,2,No,
399,510.0,1,3,3,No,No
400,510.0,1,3,4,Yes,
401,510.0,1,4,0,No,No
402,510.0,1,4,1,No,No
403,510.0,1,4,2,No,Yes
404,510.0,1,4,3,No,
405,510.0,1,4,4,Yes,
406,510.0,1,4,6,No,
407,510.0,1,4,8,No,
408,510.0,1,5,0,No,
409,510.0,1,5,1,No,No
410,510.0,1,5,2,No,
411,510.0,1,5,3,No,No
412,510.0,1,5,4,Yes,No
413,510.0,1,5,6,Yes,
414,510.0,1,6,0,No,No
415,510.0,1,6,1,No,Yes
416,510.0,1,6,2,No,
417,510.0,1,6,3,No,
418,510.0,1,6,4,Yes,
419,510.0,1,6,5,No,
420,510.0,1,7,0,No,
421,510.0,1,7,1,No,Yes
422,510.0,1,7,2,No,No
423,510.0,1,7,3,No,
424,510.0,1,7,4,No,Yes
425,510.0,1,7,5,No,
426,510.0,1,7,6,No,
427,510.0,1,8,1,No,
428,510.0,1,8,2,No,
429,510.0,1,8,3,No,
430,510.0,1,8,4,No,
431,510.0,1,9,0,No,
432,510.0,1,9,1,No,
433,510.0,1,9,2,No,
434,510.0,1,9,3,No,
435,510.0,1,9,4,No,
436,510.0,1,9,5,,Yes
437,510.0,1,10,0,,No
438,510.0,1,10,2,No,No
439,510.0,1,10,3,No,
440,510.0,1,11,4,No,
441,510.0,1,12,1,No,
442,510.0,1,13,0,,No
443,510.0,1,20,1,,Yes
