ResourceApproved,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
Yes,79092,46662,119280,119281,117945,117946,118806,292795,117948
Yes,73745,7530,117961,118343,118514,132671,132672,290919,132673
Yes,75834,7285,117961,118225,118403,120611,221283,249618,120613
Yes,27356,28253,118315,118463,123089,117905,130219,290919,117908
Yes,302049,15541,118573,118574,118556,280788,127423,292795,119082
Yes,20294,72322,117916,118011,117884,117885,117913,117887,117888
Yes,72168,7935,117961,118052,120539,117905,117906,290919,117908
Yes,78591,4622,117893,117894,117878,133111,236793,118870,133113
Yes,19310,12517,119615,119616,117895,118194,118195,117887,118196
Yes,42085,14279,118219,118220,118221,118568,125168,19721,118570
Yes,969,2536,118256,118257,117945,259173,119168,292795,118943
Yes,79092,49961,117961,118225,118403,118321,117906,290919,118322
Yes,81026,2594,117961,118300,120410,128230,302830,4673,128231
Yes,15913,5899,117961,118327,120318,118641,120319,118643,118644
Yes,23921,14862,117961,118225,118403,118980,301534,118295,118982
No,31441,5107,117961,118300,121169,118530,278014,118131,118532
Yes,33217,17261,117961,118300,118833,118054,118443,117887,118055
Yes,44724,50056,117893,117894,117878,130479,131625,119784,130481
Yes,42093,52314,117961,118300,118301,119928,219829,118331,119929
Yes,15884,7029,117961,117962,120677,120357,149187,118424,120359
Yes,972,131441,117961,118343,119598,119433,133686,118424,119435
No,20897,56082,117961,118225,125919,120628,278014,118131,120629
Yes,80656,23347,117961,118386,120671,118777,279443,308574,118779
Yes,75078,21127,117961,118052,119408,118777,279443,308574,118779
Yes,25103,16855,117961,118225,119092,122849,120324,119095,122850
Yes,37739,5244,117961,118343,119598,118321,240983,290919,118322
Yes,26808,46254,117961,118327,126310,124886,306399,118643,124888
Yes,45317,5043,117961,118300,118458,120006,310997,118424,120008
Yes,75649,3242,117961,118343,118514,118321,117906,290919,118322
No,20284,27493,117975,117976,117884,117879,117886,19721,117880
Yes,83064,7491,117961,118300,119181,117905,240983,290919,117908
Yes,31374,46459,117943,117944,117945,118274,180251,292795,118276
No,88412,3262,117961,118343,123125,118321,117906,290919,118322
Yes,37639,75342,118126,118237,117895,117879,119820,19721,117880
Yes,87168,7578,117961,118343,120722,118784,121873,290919,118786
Yes,80022,121004,121005,121006,117945,117946,142221,292795,117948
Yes,75901,18450,117961,118052,118821,118321,118321,290919,118322
Yes,78591,69566,117893,117894,117895,117885,117913,117887,117888
Yes,27589,2607,118752,119070,119121,118274,149344,292795,118276
Yes,73945,17759,117961,118413,122007,118685,120316,308574,118687
Yes,44920,15645,117961,118052,122392,128903,160695,292795,128905
Yes,29072,2685,122880,122974,117945,117946,149467,292795,117948
Yes,25753,2679,122880,122974,117945,280788,280788,292795,119082
Yes,36571,5506,117961,118343,118514,118321,117906,290919,118322
No,36213,7032,117961,118052,118992,118259,287351,290919,118261
Yes,42929,7443,117961,118446,119961,118278,119962,290919,118279
Yes,36174,3918,117961,118343,118660,118826,158101,118424,118828
Yes,44796,25237,117961,117962,118910,118321,117906,290919,118322
Yes,79092,7072,117961,117962,118352,117905,117906,290919,117908
Yes,42085,20543,118169,118170,118556,117946,125711,292795,117948
Yes,5893,49096,118212,159716,118378,120952,159717,118453,120954
Yes,77951,331,118200,118201,121220,179731,140758,117887,117973
Yes,1020,17789,117961,118052,119986,118784,121873,290919,118786
Yes,45904,55132,118169,118170,118042,118043,129174,270488,118046
Yes,80229,30533,91261,118026,119507,123648,123107,120518,123650
Yes,31441,4729,117961,118300,125821,118980,301534,118295,118982
Yes,1020,7551,117961,118052,118867,118784,118785,290919,118786
Yes,45241,47104,117890,117891,117878,118568,120877,19721,118570
Yes,15740,5432,117961,118327,118391,118321,117906,290919,118322
Yes,80779,2818,119062,119091,6104,117905,117906,290919,117908
Yes,78895,255037,118315,118316,118202,118784,262095,290919,118786
Yes,4675,4576,117961,118327,118391,117905,117906,290919,117908
Yes,75078,60789,118315,118463,118522,118685,122058,308574,118687
Yes,44944,7551,117961,118052,118867,118321,117906,290919,118322
Yes,6977,15012,118212,118213,123201,117905,123202,290919,117908
Yes,5891,44917,117961,117962,118450,118054,118054,117887,118055
Yes,35185,17640,117961,118052,118706,118278,118707,290919,118279
Yes,27755,71983,117932,117933,117878,117879,117897,19721,117880
Yes,33111,16065,117961,118225,120551,118777,279443,308574,118779
Yes,38655,33266,117961,118300,124725,118784,118785,290919,118786
Yes,17308,15824,117961,118225,120323,119093,132900,119095,119096
Yes,78246,3868,117961,118052,120096,118321,117906,290919,118322
Yes,1151,1276,117902,117903,118507,121527,166118,118398,121529
Yes,34861,59748,117961,118386,120361,117905,240983,290919,117908
Yes,97017,141,117961,118225,122273,118321,117906,290919,118322
Yes,38704,89315,117893,117894,117895,117896,117897,117887,117898
Yes,33231,55763,117902,117903,118507,118028,118368,117887,118030
Yes,32642,59229,117961,119256,120943,117946,119722,292795,117948
Yes,28342,7434,117961,118343,118514,118321,117906,290919,118322
Yes,7543,3032,118212,118213,123201,117905,125206,290919,117908
Yes,43768,5244,117961,118343,119598,118321,240983,290919,118322
Yes,83288,6481,117961,118343,123454,117905,117906,290919,117908
Yes,16639,4264,118887,118888,118979,118980,199144,118295,118982
Yes,20292,50448,117926,118124,117884,117879,117886,19721,117880
Yes,74163,98406,119920,119921,176153,118784,292871,290919,118786
Yes,30845,4481,117961,118300,118395,118396,233714,118398,118399
Yes,73756,16698,117961,118300,118597,118980,301534,118295,118982
Yes,73561,93627,91261,118026,119507,117905,117906,290919,117908
Yes,33243,1409,117961,118300,120722,118958,118959,118960,118961
Yes,78736,19717,117961,117962,118352,118321,117906,290919,118322
Yes,78592,50550,117893,117894,117895,117899,117897,19721,117900
Yes,32270,4036,117961,118413,120370,120516,157086,120518,120519
Yes,34074,218,117961,118413,120370,118784,118785,290919,118786
Yes,73100,27104,117961,118327,118507,121527,128634,118398,121529
Yes,25993,19830,119062,119091,123125,118321,117906,290919,118322
Yes,59023,2598,118169,118170,117945,280788,267952,292795,119082
Yes,6977,3990,117961,117962,118409,120516,123107,120518,120519
Yes,43876,90820,118079,118080,117878,117879,287072,19721,117880
Yes,28294,16527,91261,118026,118202,117905,117906,290919,117908
Yes,44821,2594,117961,118300,123472,118321,117906,290919,118322
Yes,75834,2395,117961,118300,123055,118728,301534,118295,118730
Yes,971,4952,117961,118343,118292,124576,124577,118424,124578
No,21444,50134,119301,119302,119303,118321,117906,290919,118322
Yes,75932,58525,117890,117891,117878,117879,117879,19721,117880
Yes,15716,2683,118555,118178,119796,121915,225598,121916,121917
Yes,16176,122272,117961,118225,122273,118321,240983,290919,118322
Yes,74550,7344,117961,118225,120663,120516,148730,120518,120519
Yes,84666,5541,117961,118300,118514,117905,117906,290919,117908
Yes,31222,49353,117961,117962,118910,117905,117906,290919,117908
Yes,94632,5496,91261,118026,118202,118321,117906,290919,118322
Yes,42228,42230,117961,118327,118744,118321,117906,290919,118322
Yes,40519,2371,117961,117962,118501,120702,308462,118504,120704
Yes,38649,3236,117961,118327,129972,117905,117906,290919,117908
Yes,76873,50952,117961,118327,118929,118321,117906,290919,118322
Yes,24016,16139,117961,118327,119995,118054,120514,117887,118055
No,45317,5043,117961,118300,118458,120344,310997,118424,120346
Yes,79324,17733,117961,118300,119984,118890,125128,118398,118892
Yes,28495,52916,117890,118102,117878,118568,120877,19721,118570
Yes,1020,8606,117902,118041,118575,119949,131270,290919,119951
Yes,80210,3077,117961,118300,120312,124194,124195,118363,124196
Yes,80664,14731,117961,118446,118447,118784,121926,290919,118786
Yes,79092,2942,117961,118343,118700,117905,240983,290919,117908
Yes,43305,84891,120342,120343,118631,118321,311778,290919,118322
Yes,79092,27067,117961,118300,118395,123067,300044,118398,123068
Yes,22682,1806,117961,118413,122007,117905,240983,290919,117908
Yes,41569,49423,117961,118052,123144,118890,203706,118398,118892
Yes,75834,3692,117961,118413,126229,118321,117906,290919,118322
Yes,26328,70186,117961,117969,19666,118890,127642,118398,118892
Yes,36967,15385,117902,118041,117945,259173,130913,292795,118943
No,30835,20412,117890,117891,117878,117879,117879,19721,117880
Yes,45412,718,117961,118300,119181,118259,126363,290919,118261
No,78180,4515,117961,118225,119824,118321,117906,290919,118322
Yes,27356,25293,117961,118386,128823,118321,117906,290919,118322
Yes,20299,103803,117929,117930,117941,117879,117886,19721,117880
Yes,16464,6083,117961,117962,122224,117905,117906,290919,117908
Yes,31468,6199,117961,118225,120663,118321,117906,290919,118322
Yes,4675,19829,117961,118386,118896,118784,121873,290919,118786
Yes,34950,54296,117961,118327,120318,117905,117906,290919,117908
Yes,31700,2703,122880,122974,117945,117946,149568,292795,117948
Yes,1020,2930,117961,118343,118700,118321,117906,290919,118322
Yes,36429,1723,117961,119256,120943,280788,280788,292795,119082
Yes,73756,17227,117961,118343,118979,120006,255097,118424,120008
Yes,14846,46546,117978,117979,117912,117879,117886,19721,117880
Yes,79121,13828,117961,118300,118395,118890,125128,118398,118892
No,82090,3875,117961,118327,120318,118321,117906,290919,118322
Yes,391,58458,117926,118266,117941,117885,117913,117887,117888
Yes,25985,16850,117961,118225,119238,119093,180121,119095,119096
Yes,79092,4343,117961,118343,118660,307024,132719,118331,118332
Yes,28149,7411,117961,118386,118746,118451,130134,118453,118454
No,33147,310767,117961,118343,118395,118396,233714,118398,118399
Yes,34521,52108,117961,118343,119993,117905,117906,290919,117908
Yes,45481,2260,117961,118343,119598,120497,133686,118424,120499
Yes,73876,22431,117961,118413,126229,118777,279443,308574,118779
Yes,34647,806,117961,118300,123719,117905,117906,290919,117908
Yes,35278,28590,117961,118327,120685,118784,240983,290919,118786
Yes,75078,41782,118315,118463,118522,120765,120765,118467,120767
Yes,969,5739,117961,118446,118684,127108,235721,118667,127110
Yes,75329,3509,118752,119070,118042,118563,118563,270488,118565
No,74549,7032,117961,118052,118992,118259,287351,290919,118261
Yes,80605,5183,118290,118291,119837,118834,169002,118424,118836
Yes,16512,7495,117961,118343,118856,117905,117906,290919,117908
No,73454,4084,117961,118052,118992,118321,117906,290919,118322
Yes,6977,4576,117961,118327,118391,118321,117906,290919,118322
Yes,42031,75114,118315,118463,118522,119928,310608,118331,119929
Yes,43147,2991,117961,118343,118700,118784,117906,290919,118786
Yes,31999,1334,117961,117962,118910,119949,230830,290919,119951
Yes,71931,17789,117961,118052,119986,118784,121556,290919,118786
Yes,7678,51311,117961,118343,121747,119928,310608,118331,119929
No,30835,2710,118290,118291,120823,118396,269406,118398,118399
No,22423,70062,117961,118386,118746,117905,240983,290919,117908
Yes,27416,9954,118742,118743,117920,118568,166848,19721,118570
Yes,38644,16756,119062,130600,139677,117905,117906,290919,117908
Yes,74890,1755,117961,117962,119223,150752,137949,118643,150754
Yes,75245,14368,117876,117877,117878,117879,141773,19721,117880
Yes,87764,49574,117961,118327,118391,117905,117906,290919,117908
Yes,79092,52481,117983,117984,117878,118568,292195,19721,118570
Yes,25993,5225,117961,118300,118458,120006,311622,118424,120008
Yes,15714,15395,118256,118257,118575,123670,212510,121916,123672
Yes,73108,53150,117902,117903,128935,118863,142453,118398,118865
Yes,79285,2781,117961,118300,118783,118278,118260,290919,118279
Yes,27314,782,117961,118413,127522,118321,117906,290919,118322
Yes,79092,46224,117961,118327,118378,120952,120953,118453,120954
Yes,103928,6982,117961,118300,118783,117905,117906,290919,117908
Yes,20297,67268,117882,117883,117884,117885,117886,117887,117888
No,75497,53208,118602,118603,118810,119323,135298,19793,119325
Yes,18072,46632,119280,119281,118623,126684,130913,292795,126685
Yes,75834,5524,117961,118343,118514,117905,117906,290919,117908
Yes,60108,46254,117961,118327,126310,124886,306399,118643,124888
Yes,38392,46805,117929,117930,117920,118568,281735,19721,118570
Yes,78287,46224,117961,118327,118378,120952,143223,118453,120954
Yes,34748,125466,117902,117903,120171,120990,157414,118398,120992
Yes,79814,12264,117929,117940,117920,117885,117913,117887,117888
Yes,73756,5294,119596,119597,118979,118293,118294,118295,118296
Yes,41971,50781,91261,118026,139759,118321,117906,290919,118322
No,38429,7370,117961,117962,118481,118321,117906,290919,118322
Yes,44361,3707,117961,118446,118684,124305,124306,118762,124307
Yes,31825,5649,117961,118446,118684,118760,118761,118762,118763
Yes,34795,782,117961,118413,127522,118321,240983,290919,118322
Yes,79976,15982,117961,118413,123003,118777,279443,308574,118779
Yes,80541,2344,118212,118213,120823,120647,311441,118398,120649
Yes,42085,2594,117961,118300,123472,118784,117906,290919,118786
Yes,18418,2837,118887,118888,118631,120344,303717,118424,120346
Yes,79299,15435,117961,118343,122299,119949,131270,290919,119951
Yes,6720,2781,117961,118300,118783,118054,131373,117887,118055
Yes,23921,4931,118290,118291,119488,118293,119489,118295,118296
Yes,4675,72209,117961,118225,124948,118321,117906,290919,118322
Yes,80032,7935,117961,118052,120539,117905,117906,290919,117908
Yes,35296,141,117961,118225,122273,118321,117906,290919,118322
Yes,4675,7539,117961,118343,119987,118321,117906,290919,118322
Yes,41334,28253,118315,118463,123089,117905,130219,290919,117908
No,20897,28890,117961,118327,118529,118530,278014,118131,118532
Yes,17308,4838,117961,118343,119598,118834,133686,118424,118836
Yes,38707,61026,117929,117940,117941,117885,117913,117887,117888
Yes,33146,7519,91261,118026,118202,119962,168365,118205,119964
Yes,6698,6699,117961,118343,119993,118321,240983,290919,118322
No,44983,70078,91261,118026,118063,128422,128423,118453,128424
Yes,75787,7691,118555,118178,117945,117946,118950,292795,117948
Yes,278393,7076,117961,118225,120323,119093,136840,119095,119096
Yes,73756,77555,126918,126919,119136,119065,169395,118667,119067
Yes,7543,2270,117961,118413,277693,118958,118959,118960,118961
Yes,78554,6199,117961,118225,120663,118321,117906,290919,118322
Yes,75078,311198,91261,118026,122392,118274,173805,292795,118276
No,27396,14638,117961,118052,118992,118321,290919,290919,118322
Yes,42313,3788,117961,118343,120722,118321,117906,290919,118322
Yes,974,6278,117961,118343,120722,118321,117906,290919,118322
Yes,40630,1541,117961,118225,123173,120812,123174,118638,120814
Yes,14570,16974,117961,118300,119181,118321,117906,290919,118322
Yes,34498,2694,118887,118888,118458,120344,217919,118424,120346
Yes,5729,5916,117961,118446,16232,118321,117906,290919,118322
Yes,76852,59043,117961,118343,118514,117905,117906,290919,117908
Yes,6964,59067,117961,118327,121645,124886,306399,118643,124888
Yes,36429,15586,119280,119281,117945,126684,193644,292795,126685
Yes,44812,1088,117961,118327,119830,118321,117906,290919,118322
Yes,19823,169,117961,118413,121639,117905,117906,290919,117908
Yes,78185,52098,119062,119091,118957,117905,117906,290919,117908
Yes,78955,80413,247952,118164,117878,117885,117879,117887,117888
Yes,58678,8008,118555,118178,118320,118278,117906,290919,118279
Yes,39883,34064,117961,118386,118746,118321,117906,290919,118322
Yes,1020,1949,117918,117919,117920,118568,125937,19721,118570
Yes,16071,7578,117961,118343,120722,118784,117906,290919,118786
No,23968,4084,117961,118052,118992,118321,240983,290919,118322
Yes,75078,84780,120864,121013,121961,118523,180407,118331,118525
Yes,73452,160736,119301,119302,119303,118641,306399,118643,118644
Yes,42388,13799,117961,118052,120356,118530,278014,118131,118532
Yes,80684,7510,117961,118446,118684,118784,118785,290919,118786
Yes,42093,5122,117961,118300,118631,118422,153195,118424,118425
Yes,113266,23200,117961,118343,123125,118784,117906,290919,118786
Yes,76853,14731,117961,118446,118447,118321,117906,290919,118322
Yes,75624,1913,117902,117903,118783,120952,122352,118453,120954
Yes,19945,3053,117961,118225,120663,118641,306399,118643,118644
Yes,14997,2649,117961,118413,120526,117905,117906,290919,117908
No,73933,5028,117961,118386,118896,119849,244844,118638,119851
Yes,15805,205,117961,118386,118746,117905,117906,290919,117908
Yes,33323,3486,118752,119070,118042,118043,118043,270488,118046
Yes,23721,1898,117961,118225,131159,120097,131160,270488,120099
Yes,704,7370,117961,118413,118481,118321,117906,290919,118322
Yes,32270,25293,117961,118386,123072,121414,130802,118704,121416
Yes,16214,2781,117961,118300,118783,118451,130134,118453,118454
Yes,79543,70664,118315,118463,118404,119172,127671,118467,119174
No,37793,4403,118315,118316,129128,119849,126747,118638,119851
Yes,1020,70243,183723,119256,118492,118451,125738,118453,118454
Yes,45481,5186,118887,118888,124656,118912,309291,118424,118914
Yes,38,70,119920,119921,119922,118321,117906,290919,118322
Yes,31826,53354,118084,118085,117920,119323,119456,19793,119325
Yes,5893,2074,118441,118442,118378,118054,118443,117887,118055
Yes,28360,12397,117961,118327,121787,123045,123107,120518,123047
Yes,44835,1350,117961,118052,120096,118321,117906,290919,118322
Yes,34498,51096,119596,119597,124266,118728,272276,118295,118730
Yes,75834,3889,117961,118386,121668,117905,117906,290919,117908
Yes,16219,873,117961,118413,120526,118321,118448,290919,118322
Yes,74132,20104,117961,117969,120823,123737,129944,118960,123738
Yes,39262,69231,91261,118026,123656,118321,117906,290919,118322
No,42085,4599,117961,118225,124449,307024,311622,118331,118332
Yes,73586,63,119920,119921,142145,118321,156948,290919,118322
Yes,77203,15978,117961,119256,119257,117946,118806,292795,117948
Yes,3853,7510,117961,118446,118684,118777,279443,308574,118779
Yes,75834,118619,117961,118343,119142,117905,117906,290919,117908
Yes,27785,1806,117961,118413,122007,118321,240983,290919,118322
Yes,79121,132399,120342,120343,119076,118834,124426,118424,118836
Yes,22278,8501,117961,118386,120361,117905,117906,290919,117908
Yes,73783,49850,117961,118413,122007,118259,133680,290919,118261
Yes,23921,16052,118887,118888,118825,118728,306088,118295,118730
Yes,42031,2071,117961,118386,118501,118502,130777,118504,118505
Yes,39883,71401,91261,118026,118202,118784,124402,290919,118786
Yes,80492,19760,117961,117962,118352,117905,117906,290919,117908
Yes,43266,14889,117961,118300,118437,118321,117906,290919,118322
Yes,43629,3736,117961,118300,120059,118054,118054,117887,118055
Yes,17278,139593,117902,118041,119781,130479,179826,119784,130481
Yes,26791,994,117961,118300,120312,119849,124690,118638,119851
Yes,74016,14829,117961,118052,119986,126184,248692,118762,126186
Yes,42031,28290,118315,118463,123089,118685,256634,308574,118687
Yes,74883,21287,117961,118225,122870,118777,253787,308574,118779
No,33321,3745,117961,118300,118360,124435,118362,118363,124436
Yes,37124,50806,117961,118446,119961,118259,118260,290919,118261
No,41432,6029,118216,118217,118810,134067,305581,19793,134069
Yes,45990,8655,119280,119281,118623,117946,119722,292795,117948
Yes,20364,2710,118290,118291,120823,118396,269406,118398,118399
Yes,30583,4361,118573,118574,117945,118995,169886,292795,118997
Yes,7543,15012,118212,118213,123201,117905,240983,290919,117908
Yes,35532,2270,117961,118413,277693,118777,279443,308574,118779
Yes,33147,125466,117902,117903,120171,118863,154602,118398,118865
Yes,34005,3120,117961,118300,120312,118792,255249,118424,118794
Yes,36477,18046,117961,118300,118783,118321,117906,290919,118322
Yes,20292,16049,117926,118124,81476,179731,120238,117887,117973
Yes,75834,124625,118725,118726,119076,118422,159053,118424,118425
Yes,26437,26141,118212,118580,117895,117896,117897,117887,117898
Yes,35636,21303,117961,118300,119890,120348,249620,118295,120350
Yes,4675,49850,117961,118413,122007,117905,118260,290919,117908
Yes,6977,87,117961,118446,118447,118321,117906,290919,118322
Yes,28360,58849,117961,118327,118492,118451,125738,118453,118454
Yes,4675,2014,117961,117962,117904,118368,118368,117887,118486
Yes,34861,3197,117961,118386,120361,118784,147114,290919,118786
Yes,25993,7520,117961,118343,124725,117905,240983,290919,117908
Yes,36267,4740,117961,118446,124170,120647,311441,118398,120649
Yes,33243,1030,117961,118343,120722,118361,118362,118363,118364
Yes,34583,6277,117961,118343,120722,117905,117906,290919,117908
Yes,14818,46254,117961,118327,126310,118641,123881,118643,118644
Yes,25069,67326,117910,117911,117912,118568,198040,19721,118570
Yes,27907,55365,117926,117927,118810,118811,156017,19793,118813
Yes,17308,3883,117961,118343,119987,118536,132799,308574,118539
Yes,25701,16974,117961,118300,119181,118321,118448,290919,118322
Yes,74995,23347,117961,118052,121667,118685,279443,308574,118687
Yes,25726,7012,117961,118225,120050,118777,279443,308574,118779
Yes,78399,20380,117961,118225,124380,307024,311622,118331,118332
Yes,23096,7398,117961,118225,119924,118321,117906,290919,118322
Yes,45904,1030,117961,118343,120722,118361,118362,118363,118364
Yes,16271,51375,118212,118213,118684,122989,215972,119006,122991
Yes,40072,70066,91261,118026,118202,117905,117906,290919,117908
Yes,40438,17640,117961,118052,118706,118318,140982,118205,118319
Yes,5349,7370,117961,118413,118481,117905,128528,290919,117908
Yes,25279,2395,117961,118300,119488,118172,301534,249618,118175
Yes,94769,51127,117961,118446,120368,117905,117906,290919,117908
Yes,74686,2062,117961,118327,119830,118685,131444,308574,118687
Yes,84024,57580,118169,118170,118450,118636,131394,118638,118639
Yes,38713,86857,117902,118041,118556,280788,280788,292795,119082
Yes,4681,7338,117961,118225,118616,117905,240983,290919,117908
Yes,95342,27147,117961,118343,122299,120172,121350,290919,120173
Yes,39227,2518,117961,118300,19772,132096,266851,119095,132098
Yes,34346,820,117961,118300,123719,118321,118406,290919,118322
Yes,39264,7684,118573,118574,118623,126684,127423,292795,126685
Yes,41685,17561,91261,118026,118202,118318,184148,118205,118319
Yes,36267,23989,117961,118446,118701,118702,135780,118704,118705
Yes,73756,5189,117961,118300,118458,307024,133833,118331,118332
Yes,1581,1652,117961,118327,118507,179731,169009,117887,117973
Yes,19975,16974,117961,118300,119181,117905,117906,290919,117908
Yes,7678,51756,118256,118257,117945,280788,280788,292795,119082
Yes,34847,5432,117961,118327,118391,118321,117906,290919,118322
No,77203,15621,117961,119256,120943,126684,126684,292795,126685
Yes,74741,7447,117902,117903,118783,117905,118036,290919,117908
Yes,23964,139593,117902,118041,119781,130479,179826,119784,130481
Yes,837,20504,118219,118220,118008,117885,117886,117887,117888
Yes,36112,8698,120864,120865,119824,117905,117906,290919,117908
Yes,31825,15413,117961,118300,164199,159116,164668,136398,159118
Yes,75078,116406,117961,117962,120677,122067,297566,118424,122069
Yes,79092,4219,117961,118300,120312,120313,157234,118424,120315
Yes,79785,806,117961,118300,123719,118321,117906,290919,118322
Yes,3853,3120,117961,118300,120312,120313,120314,118424,120315
Yes,79121,131441,117961,118343,118292,118422,300136,118424,118425
Yes,3130,2612,117961,118327,123901,118784,121873,290919,118786
Yes,15710,17128,117961,118300,119984,119949,230830,290919,119951
Yes,14960,27887,118084,118085,117884,117885,117913,117887,117888
Yes,26410,15384,117943,117944,117945,118274,129282,292795,118276
Yes,42224,56201,91261,118026,118746,119962,168365,118205,119964
Yes,43759,1065,117961,118327,120559,118641,132791,118643,118644
Yes,33149,46170,118290,118291,118889,121527,307233,118398,121529
Yes,33423,5968,117961,118446,16232,122274,244798,3130,122275
Yes,73536,49655,117961,118446,122550,118784,117906,290919,118786
Yes,40440,7443,117961,118446,119961,118278,287351,290919,118279
Yes,25865,141,117961,118225,122273,118321,117906,290919,118322
Yes,45974,2440,118752,119070,119121,280788,280788,292795,119082
Yes,28340,31427,117993,117994,117895,117896,117913,117887,117898
Yes,967,8606,117902,118041,118575,119949,131270,290919,119951
Yes,74196,4106,119062,119091,122012,179731,130134,117887,117973
Yes,13878,65834,117983,117984,117878,118568,292195,19721,118570
Yes,103515,6982,117961,118300,118783,117905,117906,290919,117908
Yes,80513,49147,118887,118888,123719,118777,279443,308574,118779
Yes,391,58462,117926,117927,117884,118568,281735,19721,118570
Yes,33642,26229,117916,118011,117941,118568,281735,19721,118570
Yes,45904,139593,118169,118170,119781,130479,213762,119784,130481
Yes,6155,19623,117961,118225,118403,117905,117906,290919,117908
Yes,81360,7971,117961,118386,120361,118259,120721,290919,118261
No,73170,4100,118290,118291,120291,119928,278266,118331,119929
