Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min)
32,4.6,Snack ,motorcycle ,47
29,4.8,Drinks ,electric_scooter ,17
32,4.0,Buffet ,motorcycle ,31
27,4.6,Meal ,scooter ,15
39,5.0,Snack ,motorcycle ,34
35,4.8,Buffet ,scooter ,28
39,4.6,Meal ,scooter ,30
31,4.5,Drinks ,motorcycle ,52
30,4.4,Snack ,electric_scooter ,46
36,4.1,Buffet ,motorcycle ,34
35,4.8,Buffet ,motorcycle ,18
27,5.0,Buffet ,scooter ,10
31,4.6,Meal ,scooter ,28
27,5.0,Drinks ,motorcycle ,43
20,4.6,Drinks ,scooter ,16
34,4.6,Buffet ,scooter ,43
36,4.7,Snack ,motorcycle ,27
38,4.8,Snack ,electric_scooter ,15
28,4.6,Buffet ,scooter ,11
31,4.0,Drinks ,motorcycle ,38
37,4.0,Meal ,motorcycle ,33
21,4.9,Drinks ,electric_scooter ,22
36,4.3,Meal ,motorcycle ,34
20,4.1,Meal ,motorcycle ,38
24,4.6,Buffet ,scooter ,25
30,4.9,Snack ,motorcycle ,24
28,4.5,Meal ,motorcycle ,18
34,4.6,Snack ,scooter ,34
39,4.5,Meal ,motorcycle ,28
33,4.8,Buffet ,motorcycle ,20
37,4.6,Meal ,electric_scooter ,38
28,4.9,Buffet ,scooter ,13
39,4.9,Buffet ,electric_scooter ,17
28,4.7,Snack ,scooter ,12
33,4.6,Meal ,motorcycle ,21
35,4.6,Meal ,scooter ,15
31,5.0,Meal ,scooter ,20
36,3.7,Buffet ,scooter ,42
36,4.9,Snack ,motorcycle ,27
30,4.5,Meal ,motorcycle ,29
33,4.6,Buffet ,motorcycle ,24
32,4.8,Buffet ,scooter ,17
32,4.6,Drinks ,motorcycle ,27
32,4.7,Buffet ,scooter ,16
27,4.6,Meal ,electric_scooter ,15
27,4.6,Buffet ,motorcycle ,30
29,4.6,Drinks ,electric_scooter ,32
39,5.0,Buffet ,scooter ,34
23,4.8,Buffet ,scooter ,10
39,5.0,Buffet ,motorcycle ,15
32,4.9,Snack ,scooter ,16
32,4.5,Buffet ,scooter ,33
30,4.8,Drinks ,scooter ,27
32,4.7,Meal ,motorcycle ,27
33,4.6,Drinks ,scooter ,19
36,4.9,Meal ,motorcycle ,15
27,4.5,Buffet ,electric_scooter ,28
27,4.9,Meal ,motorcycle ,12
26,4.9,Drinks ,scooter ,27
32,5.0,Snack ,motorcycle ,18
30,4.5,Drinks ,scooter ,25
39,4.1,Meal ,motorcycle ,30
30,5.0,Buffet ,electric_scooter ,20
25,4.5,Snack ,motorcycle ,11
36,3.7,Drinks ,scooter ,37
36,4.8,Snack ,electric_scooter ,37
24,4.9,Meal ,motorcycle ,38
24,4.7,Snack ,motorcycle ,24
29,4.0,Snack ,motorcycle ,15
26,4.7,Meal ,scooter ,12
39,4.9,Meal ,motorcycle ,30
38,4.5,Drinks ,motorcycle ,24
33,4.5,Meal ,electric_scooter ,28
36,4.3,Snack ,scooter ,32
23,5.0,Snack ,motorcycle ,16
31,4.8,Buffet ,motorcycle ,26
20,4.9,Buffet ,motorcycle ,27
28,4.5,Snack ,motorcycle ,11
21,4.9,Meal ,motorcycle ,22
22,5.0,Snack ,electric_scooter ,11
22,4.8,Meal ,motorcycle ,23
32,4.5,Meal ,motorcycle ,30
31,4.6,Drinks ,motorcycle ,17
38,4.8,Buffet ,motorcycle ,32
27,4.5,Meal ,motorcycle ,16
37,4.6,Drinks ,motorcycle ,25
35,4.9,Drinks ,motorcycle ,25
30,4.1,Drinks ,motorcycle ,31
21,4.8,Buffet ,motorcycle ,17
22,4.5,Buffet ,motorcycle ,36
22,4.9,Meal ,scooter ,19
29,4.7,Snack ,scooter ,14
36,4.4,Snack ,motorcycle ,33
23,4.0,Meal ,electric_scooter ,31
23,4.6,Snack ,scooter ,21
23,4.1,Snack ,motorcycle ,25
24,4.6,Drinks ,motorcycle ,29
38,4.7,Buffet ,scooter ,33
35,4.3,Meal ,motorcycle ,34
39,3.6,Buffet ,motorcycle ,38
21,4.6,Meal ,scooter ,23
32,4.7,Meal ,scooter ,32
39,3.7,Snack ,electric_scooter ,32
31,4.2,Meal ,motorcycle ,27
37,4.7,Meal ,scooter ,25
26,4.6,Drinks ,electric_scooter ,25
33,4.5,Snack ,scooter ,25
25,4.8,Drinks ,scooter ,16
21,4.7,Buffet ,motorcycle ,45
21,4.6,Buffet ,motorcycle ,29
37,4.8,Snack ,motorcycle ,34
20,4.6,Buffet ,motorcycle ,26
32,4.3,Meal ,motorcycle ,28
37,4.2,Meal ,motorcycle ,33
27,3.3,Meal ,electric_scooter ,39
35,4.7,Buffet ,motorcycle ,30
36,4.8,Meal ,scooter ,22
32,4.1,Meal ,motorcycle ,31
37,4.4,Meal ,motorcycle ,32
25,5.0,Meal ,scooter ,38
25,4.6,Meal ,electric_scooter ,26
31,4.5,Buffet ,scooter ,27
34,3.9,Meal ,electric_scooter ,33
36,4.6,Buffet ,scooter ,28
26,4.5,Meal ,scooter ,19
21,4.4,Drinks ,motorcycle ,39
29,4.6,Meal ,electric_scooter ,17
32,4.7,Snack ,electric_scooter ,39
33,4.9,Snack ,motorcycle ,25
22,4.2,Drinks ,motorcycle ,53
25,4.2,Drinks ,motorcycle ,28
39,4.7,Snack ,scooter ,29
38,5.0,Drinks ,motorcycle ,26
30,4.7,Drinks ,scooter ,16
29,4.5,Drinks ,motorcycle ,12
28,3.7,Meal ,motorcycle ,49
37,5.0,Snack ,motorcycle ,28
36,5.0,Buffet ,scooter ,16
23,4.7,Snack ,motorcycle ,21
29,4.7,Drinks ,electric_scooter ,17
21,4.6,Meal ,electric_scooter ,14
21,4.9,Meal ,scooter ,26
34,4.7,Buffet ,motorcycle ,22
24,4.5,Meal ,motorcycle ,12
26,4.6,Meal ,motorcycle ,16
34,4.5,Meal ,motorcycle ,26
34,4.9,Snack ,scooter ,11
24,4.8,Buffet ,scooter ,34
39,3.9,Snack ,motorcycle ,41
23,4.6,Buffet ,motorcycle ,19
30,4.7,Snack ,electric_scooter ,10
32,4.8,Snack ,scooter ,22
39,4.9,Buffet ,motorcycle ,15
28,4.5,Drinks ,motorcycle ,44
22,4.6,Meal ,scooter ,18
24,4.8,Snack ,motorcycle ,21
26,4.5,Drinks ,motorcycle ,23
31,4.9,Snack ,motorcycle ,54
33,4.9,Snack ,electric_scooter ,26
33,4.0,Snack ,scooter ,34
30,4.2,Snack ,motorcycle ,37
38,3.7,Buffet ,motorcycle ,37
36,4.4,Snack ,scooter ,31
35,4.4,Meal ,motorcycle ,26
26,4.1,Meal ,electric_scooter ,33
26,4.7,Snack ,motorcycle ,20
34,5.0,Buffet ,scooter ,18
23,4.8,Snack ,scooter ,15
34,4.8,Drinks ,scooter ,22
29,4.3,Buffet ,motorcycle ,27
26,4.9,Meal ,scooter ,18
32,4.3,Meal ,scooter ,32
35,3.7,Meal ,motorcycle ,36
31,5.0,Drinks ,motorcycle ,34
37,5.0,Buffet ,scooter ,29
35,3.8,Drinks ,scooter ,36
26,4.7,Drinks ,electric_scooter ,20
31,3.5,Drinks ,motorcycle ,33
22,4.9,Snack ,motorcycle ,11
38,4.9,Meal ,motorcycle ,30
24,4.7,Drinks ,scooter ,13
34,4.7,Meal ,motorcycle ,41
33,4.9,Meal ,motorcycle ,34
31,4.4,Buffet ,scooter ,37
34,5.0,Buffet ,motorcycle ,51
30,4.2,Buffet ,motorcycle ,35
23,5.0,Meal ,motorcycle ,22
32,4.5,Meal ,scooter ,27
27,4.8,Buffet ,scooter ,19
33,4.3,Buffet ,motorcycle ,31
25,4.8,Snack ,motorcycle ,16
31,4.7,Buffet ,electric_scooter ,29
33,4.7,Drinks ,motorcycle ,24
33,4.7,Buffet ,motorcycle ,27
29,4.7,Meal ,electric_scooter ,25
28,4.8,Snack ,electric_scooter ,34
31,4.0,Meal ,motorcycle ,33
35,4.6,Buffet ,scooter ,18
27,4.2,Meal ,motorcycle ,26
22,5.0,Buffet ,scooter ,25
35,4.4,Buffet ,scooter ,40
28,4.7,Meal ,scooter ,23
27,4.0,Meal ,scooter ,31
25,4.3,Meal ,motorcycle ,53
33,4.2,Meal ,motorcycle ,38
23,4.6,Snack ,motorcycle ,14
36,4.2,Buffet ,electric_scooter ,33
20,4.8,Snack ,motorcycle ,28
26,4.6,Snack ,motorcycle ,30
