frequency,attack-angle,chord-length,free-stream-velocity,scaled-sound-pressure
800,15.4,0.0508,55.5,130.43
400,1.5,0.3048,39.6,124.001
5000,1.5,0.3048,39.6,116.241
6300,5.4,0.1524,71.3,116.411
5000,12.3,0.1016,55.5,112.014
2000,4.0,0.2286,39.6,121.659
3150,0.0,0.0508,31.7,135.49
630,0.0,0.2286,55.5,126.16
5000,7.2,0.1524,71.3,118.343
8000,3.3,0.1016,39.6,118.091
3150,0.0,0.0254,39.6,133.276
315,15.6,0.1016,71.3,133.808
1600,0.0,0.0254,39.6,124.156
2500,4.0,0.2286,31.7,120.209
6300,12.3,0.1016,39.6,107.985
10000,4.8,0.0254,55.5,126.944
315,0.0,0.3048,39.6,122.779
3150,11.2,0.0508,39.6,119.67
500,5.4,0.1524,31.7,129.681
400,12.3,0.1016,55.5,136.414
5000,8.4,0.0508,71.3,121.146
1250,6.7,0.1016,39.6,132.395
5000,3.0,0.3048,31.7,113.858
400,12.6,0.1524,71.3,127.094
8000,0.0,0.0254,31.7,137.207
6300,9.9,0.1524,55.5,110.555
2000,4.2,0.0508,71.3,129.848
800,4.8,0.0254,31.7,122.648
1600,0.0,0.1524,31.7,130.817
2500,15.4,0.0508,31.7,119.945
16000,1.5,0.3048,71.3,106.582
4000,0.0,0.3048,31.7,118.145
6300,7.3,0.2286,31.7,110.689
4000,0.0,0.1524,55.5,127.233
1600,4.8,0.0254,39.6,125.966
3150,4.8,0.0254,31.7,134.268
4000,1.5,0.3048,71.3,121.762
630,11.2,0.0508,71.3,133.611
500,15.4,0.0508,39.6,125.963
200,15.4,0.0508,31.7,119.975
630,5.4,0.1524,55.5,131.807
800,9.5,0.0254,39.6,129.014
800,7.2,0.1524,71.3,136.023
2500,2.0,0.2286,55.5,123.862
5000,12.3,0.1016,31.7,107.147
2500,0.0,0.3048,31.7,120.755
1250,15.4,0.0508,39.6,126.743
2500,12.3,0.1016,55.5,117.054
4000,5.4,0.1524,31.7,116.181
10000,0.0,0.0254,55.5,134.563
1600,5.4,0.1524,55.5,130.567
500,7.3,0.2286,31.7,128.169
800,17.4,0.0254,71.3,124.276
3150,0.0,0.3048,31.7,119.135
4000,4.2,0.0508,39.6,131.807
630,8.4,0.0508,39.6,126.045
1600,12.3,0.1016,71.3,124.748
1600,9.9,0.1524,31.7,117.119
500,15.6,0.1016,39.6,115.304
2500,2.0,0.2286,39.6,121.397
2500,8.4,0.0508,71.3,134.226
5000,0.0,0.1524,71.3,126.457
800,0.0,0.2286,55.5,127.53
1250,7.2,0.1524,39.6,122.428
250,11.2,0.0508,39.6,126.43
6300,0.0,0.1524,71.3,125.427
6300,12.7,0.0254,39.6,123.177
1600,5.3,0.2286,39.6,123.081
800,3.3,0.1016,39.6,129.991
400,19.7,0.0508,71.3,123.865
4000,22.2,0.0254,39.6,119.646
2500,0.0,0.2286,55.5,126.54
6300,2.7,0.1524,71.3,121.944
4000,4.0,0.3048,39.6,115.863
1600,5.4,0.1524,39.6,126.267
2000,7.3,0.2286,55.5,120.354
2500,8.4,0.0508,31.7,125.576
5000,5.4,0.1524,71.3,120.061
400,2.0,0.2286,31.7,123.417
315,11.2,0.0508,39.6,128.99
2000,9.5,0.0254,71.3,134.976
4000,9.9,0.1524,39.6,112.265
3150,2.0,0.2286,55.5,123.742
5000,0.0,0.0254,31.7,138.607
1000,4.0,0.3048,39.6,128.723
5000,12.7,0.0254,39.6,125.107
800,15.6,0.1016,39.6,118.964
3150,3.0,0.3048,71.3,121.514
500,9.5,0.0254,55.5,123.082
3150,9.9,0.1524,71.3,116.849
2000,8.4,0.0508,71.3,134.476
3150,9.9,0.1524,31.7,112.209
2000,0.0,0.1016,31.7,133.153
200,15.4,0.0508,39.6,121.783
2500,0.0,0.0254,31.7,132.897
10000,2.0,0.2286,71.3,113.086
315,15.6,0.1016,39.6,122.754
2000,0.0,0.1524,55.5,129.673
3150,3.0,0.3048,39.6,118.922
800,2.0,0.2286,55.5,128.492
630,17.4,0.0254,39.6,124.514
630,9.5,0.0254,71.3,125.726
4000,8.4,0.0508,71.3,126.926
1250,9.5,0.0254,39.6,130.964
1000,2.7,0.1524,39.6,130.589
2500,4.8,0.0254,39.6,131.236
1000,17.4,0.0254,39.6,138.274
3150,0.0,0.2286,31.7,123.445
8000,0.0,0.3048,55.5,116.476
6300,15.4,0.0508,71.3,115.215
2000,2.7,0.1524,71.3,130.114
12500,0.0,0.0254,31.7,128.977
10000,0.0,0.1016,39.6,119.561
2000,6.7,0.1016,55.5,129.653
6300,1.5,0.3048,71.3,118.122
200,17.4,0.0254,71.3,112.506
4000,19.7,0.0508,39.6,108.684
3150,3.0,0.3048,31.7,118.108
4000,0.0,0.1016,39.6,127.801
400,8.4,0.0508,31.7,120.076
630,12.7,0.0254,39.6,128.867
800,12.7,0.0254,71.3,130.348
2000,8.9,0.1016,71.3,124.233
5000,0.0,0.1524,55.5,125.203
20000,0.0,0.0254,55.5,121.933
2000,5.4,0.1524,39.6,124.647
5000,0.0,0.0508,39.6,134.308
2000,8.4,0.0508,39.6,129.965
1600,1.5,0.3048,71.3,126.632
10000,4.8,0.0254,39.6,126.066
1000,0.0,0.3048,39.6,127.899
2000,4.0,0.2286,31.7,122.089
400,3.0,0.3048,71.3,127.564
400,9.9,0.1524,55.5,131.605
250,19.7,0.0508,39.6,127.224
3150,8.4,0.0508,55.5,128.402
1600,0.0,0.3048,71.3,127.591
2000,0.0,0.0254,55.5,127.623
630,2.0,0.2286,71.3,127.356
1000,8.9,0.1016,71.3,135.433
4000,4.8,0.0254,71.3,134.928
2000,0.0,0.3048,39.6,123.689
800,0.0,0.1016,55.5,127.92
16000,0.0,0.3048,71.3,108.721
4000,2.0,0.2286,55.5,122.232
2500,6.7,0.1016,55.5,124.273
3150,0.0,0.2286,71.3,127.834
3150,4.0,0.2286,31.7,120.229
5000,5.3,0.2286,39.6,115.311
3150,0.0,0.0254,55.5,130.503
250,0.0,0.3048,31.7,118.595
500,4.0,0.2286,31.7,128.939
500,17.4,0.0254,31.7,127.676
2500,7.3,0.2286,55.5,118.994
4000,0.0,0.0508,71.3,134.43
2000,12.7,0.0254,39.6,129.567
3150,0.0,0.2286,39.6,124.625
2000,0.0,0.1016,39.6,133.251
800,15.4,0.0508,39.6,128.423
4000,9.5,0.0254,31.7,126.736
1600,0.0,0.3048,55.5,126.986
1600,3.0,0.3048,55.5,124.439
2500,3.3,0.1016,31.7,130.392
2000,7.3,0.2286,39.6,117.809
8000,0.0,0.3048,71.3,117.151
2500,4.0,0.2286,39.6,119.649
2000,3.3,0.1016,55.5,133.649
5000,17.4,0.0254,31.7,117.996
5000,4.0,0.3048,39.6,113.733
3150,3.3,0.1016,55.5,130.629
800,0.0,0.3048,39.6,129.099
2000,9.5,0.0254,55.5,134.052
800,3.0,0.3048,31.7,128.708
8000,4.2,0.0508,71.3,125.268
800,0.0,0.1016,39.6,128.401
6300,12.3,0.1016,55.5,110.124
1000,2.0,0.2286,55.5,129.002
3150,9.9,0.1524,55.5,115.085
8000,0.0,0.0254,55.5,136.163
800,3.3,0.1016,31.7,131.362
12500,2.7,0.1524,39.6,108.649
10000,12.7,0.0254,71.3,114.418
400,12.7,0.0254,71.3,125.048
5000,5.4,0.1524,39.6,117.037
250,17.4,0.0254,55.5,110.491
1600,1.5,0.3048,39.6,122.211
800,6.7,0.1016,55.5,135.953
800,12.3,0.1016,55.5,125.114
630,4.0,0.2286,39.6,129.579
1600,7.3,0.2286,39.6,121.059
12500,1.5,0.3048,39.6,106.111
315,12.3,0.1016,55.5,135.674
630,3.3,0.1016,31.7,128.952
500,7.2,0.1524,71.3,132.043
1000,11.2,0.0508,71.3,136.941
1250,9.9,0.1524,31.7,118.619
8000,3.3,0.1016,71.3,121.234
3150,0.0,0.0508,55.5,134.826
5000,3.3,0.1016,71.3,127.054
4000,7.3,0.2286,71.3,119.208
1600,17.4,0.0254,71.3,126.406
1000,3.3,0.1016,55.5,131.129
500,4.0,0.3048,39.6,130.173
315,4.0,0.2286,39.6,122.229
1000,0.0,0.1016,39.6,130.781
10000,0.0,0.3048,31.7,108.265
800,4.0,0.3048,71.3,131.755
1000,12.3,0.1016,39.6,122.435
8000,0.0,0.2286,71.3,118.024
630,3.0,0.3048,39.6,129.292
1250,0.0,0.1524,55.5,129.953
1250,2.0,0.2286,55.5,128.762
315,17.4,0.0254,39.6,115.144
4000,3.3,0.1016,55.5,127.229
800,0.0,0.0508,55.5,124.336
12500,0.0,0.2286,71.3,117.624
4000,9.5,0.0254,71.3,134.236
2500,3.3,0.1016,55.5,132.889
800,5.4,0.1524,31.7,131.491
10000,3.3,0.1016,71.3,116.694
6300,2.7,0.1524,39.6,119.209
4000,4.0,0.2286,31.7,118.859
1000,0.0,0.3048,55.5,126.966
20000,4.8,0.0254,71.3,119.708
3150,0.0,0.0254,31.7,135.227
800,0.0,0.2286,31.7,130.725
8000,4.8,0.0254,55.5,132.184
1000,0.0,0.1016,71.3,128.825
315,4.0,0.3048,71.3,128.175
8000,0.0,0.1524,71.3,122.527
3150,3.3,0.1016,39.6,128.401
315,17.4,0.0254,31.7,118.416
6300,0.0,0.2286,55.5,118.41
1250,17.4,0.0254,39.6,131.364
2000,0.0,0.2286,39.6,125.305
1250,3.3,0.1016,71.3,132.304
4000,4.0,0.2286,55.5,120.654
2000,9.9,0.1524,71.3,120.779
2500,0.0,0.0508,31.7,134.87
10000,5.3,0.2286,71.3,111.35
3150,4.2,0.0508,39.6,133.587
5000,4.8,0.0254,39.6,135.426
3150,0.0,0.1524,39.6,125.603
1000,3.0,0.3048,31.7,126.838
400,5.3,0.2286,39.6,131.221
400,5.3,0.2286,71.3,127.7
2500,17.4,0.0254,55.5,124.931
3150,9.5,0.0254,71.3,136.166
10000,0.0,0.1016,71.3,123.305
3150,5.3,0.2286,71.3,123.12
1000,2.7,0.1524,71.3,128.774
250,17.4,0.0254,39.6,114.714
1600,3.0,0.3048,31.7,122.088
200,12.3,0.1016,31.7,124.987
1000,9.5,0.0254,71.3,129.556
1600,6.7,0.1016,55.5,133.653
630,4.0,0.3048,71.3,131.615
6300,4.0,0.2286,39.6,114.249
5000,2.7,0.1524,71.3,124.364
630,12.3,0.1016,31.7,119.287
630,22.2,0.0254,39.6,137.026
2500,3.0,0.3048,31.7,119.598
3150,15.4,0.0508,31.7,118.045
3150,19.7,0.0508,39.6,113.004
2000,2.0,0.2286,71.3,126.896
1000,19.7,0.0508,71.3,121.885
200,17.4,0.0254,39.6,114.044
800,0.0,0.3048,55.5,128.086
4000,0.0,0.0254,39.6,135.346
3150,0.0,0.1016,39.6,130.961
630,15.4,0.0508,31.7,124.685
1000,15.6,0.1016,71.3,124.438
2500,0.0,0.1524,39.6,126.863
3150,5.4,0.1524,31.7,118.291
1250,12.7,0.0254,39.6,130.777
800,9.9,0.1524,71.3,128.879
5000,5.3,0.2286,71.3,118.05
5000,0.0,0.3048,31.7,115.645
4000,15.6,0.1016,39.6,106.604
2000,0.0,0.0508,31.7,133.01
1600,15.4,0.0508,55.5,128.2
10000,4.0,0.2286,71.3,113.108
315,0.0,0.2286,55.5,119.54
800,8.4,0.0508,31.7,128.246
630,4.8,0.0254,39.6,118.696
1250,3.0,0.3048,31.7,124.838
400,2.0,0.2286,71.3,125.116
200,0.0,0.3048,31.7,117.195
1000,1.5,0.3048,71.3,125.992
1600,12.3,0.1016,55.5,121.824
1600,4.2,0.0508,39.6,130.197
3150,0.0,0.1524,31.7,124.207
1250,4.0,0.3048,39.6,126.343
315,22.2,0.0254,71.3,115.857
2500,3.3,0.1016,71.3,133.894
315,12.6,0.1524,71.3,128.484
2000,0.0,0.1524,39.6,129.633
2500,17.4,0.0254,39.6,124.154
800,8.9,0.1016,39.6,130.94
200,7.3,0.2286,55.5,135.234
1000,12.7,0.0254,71.3,131.698
5000,0.0,0.2286,55.5,122.41
5000,0.0,0.0254,39.6,136.536
3150,22.2,0.0254,39.6,120.856
12500,0.0,0.3048,55.5,111.076
1600,12.6,0.1524,71.3,120.534
630,15.6,0.1016,71.3,122.288
1000,8.4,0.0508,55.5,130.722
4000,0.0,0.1524,71.3,128.857
4000,1.5,0.3048,39.6,117.741
6300,0.0,0.0508,71.3,133.04
800,7.3,0.2286,39.6,126.299
1250,1.5,0.3048,39.6,125.211
3150,17.4,0.0254,71.3,126.536
250,5.3,0.2286,39.6,127.011
1250,8.4,0.0508,31.7,130.156
3150,0.0,0.1524,55.5,127.753
800,7.2,0.1524,39.6,132.358
4000,8.4,0.0508,39.6,118.955
1250,12.3,0.1016,39.6,121.165
1250,7.3,0.2286,31.7,120.509
10000,7.2,0.1524,39.6,110.868
250,9.9,0.1524,31.7,128.559
2000,7.2,0.1524,71.3,128.643
1600,0.0,0.1016,71.3,131.725
500,0.0,0.2286,55.5,123.78
500,0.0,0.2286,39.6,126.195
1250,0.0,0.0254,31.7,127.947
630,5.3,0.2286,71.3,131.8
800,4.0,0.2286,71.3,130.688
5000,17.4,0.0254,39.6,119.854
1250,0.0,0.1524,39.6,131.023
3150,9.5,0.0254,39.6,129.934
6300,4.0,0.2286,71.3,118.618
1250,15.4,0.0508,55.5,130.0
5000,0.0,0.1524,31.7,122.397
6300,4.0,0.2286,31.7,112.699
1250,0.0,0.0508,71.3,128.56
4000,8.4,0.0508,31.7,118.106
1000,0.0,0.0508,31.7,126.78
800,0.0,0.1524,39.6,127.903
800,0.0,0.0508,71.3,130.96
2000,17.4,0.0254,71.3,126.826
630,0.0,0.1016,39.6,125.401
500,4.8,0.0254,31.7,116.128
1600,4.8,0.0254,55.5,121.474
4000,8.4,0.0508,55.5,122.612
6300,0.0,0.2286,31.7,116.815
630,4.8,0.0254,31.7,120.078
500,5.4,0.1524,55.5,129.367
2000,0.0,0.1524,31.7,128.907
3150,12.6,0.1524,39.6,106.26
400,15.4,0.0508,55.5,126.5
4000,15.6,0.1016,71.3,113.298
2500,9.9,0.1524,39.6,116.295
2500,4.2,0.0508,71.3,131.978
500,12.3,0.1016,39.6,122.205
2000,4.2,0.0508,39.6,132.587
250,7.3,0.2286,31.7,130.089
400,6.7,0.1016,31.7,128.296
3150,7.2,0.1524,71.3,116.783
200,12.3,0.1016,55.5,132.304
1600,2.0,0.2286,31.7,125.797
1250,12.6,0.1524,39.6,112.16
1600,19.7,0.0508,71.3,120.575
10000,3.3,0.1016,39.6,115.321
2000,0.0,0.0508,39.6,132.918
6300,0.0,0.0254,71.3,134.987
2000,4.8,0.0254,55.5,125.054
2000,2.0,0.2286,31.7,123.037
2000,5.4,0.1524,31.7,122.771
400,5.4,0.1524,55.5,126.807
800,11.2,0.0508,39.6,133.79
4000,3.0,0.3048,55.5,118.689
10000,2.7,0.1524,39.6,112.589
250,15.6,0.1016,39.6,124.644
5000,5.4,0.1524,31.7,115.691
4000,9.9,0.1524,71.3,115.079
1600,0.0,0.1016,31.7,133.553
2500,0.0,0.1016,55.5,133.04
1250,9.5,0.0254,55.5,132.202
400,17.4,0.0254,31.7,120.766
630,2.7,0.1524,71.3,127.404
4000,22.2,0.0254,71.3,123.917
12500,0.0,0.1524,55.5,117.093
1000,5.4,0.1524,31.7,128.241
1250,0.0,0.3048,39.6,125.499
500,9.9,0.1524,55.5,127.815
4000,7.3,0.2286,31.7,112.639
800,0.0,0.3048,31.7,129.235
500,6.7,0.1016,55.5,129.343
800,8.9,0.1016,71.3,137.813
12500,4.8,0.0254,71.3,127.688
1600,8.9,0.1016,39.6,123.82
630,0.0,0.1524,31.7,125.997
6300,3.0,0.3048,39.6,114.042
1000,15.4,0.0508,39.6,127.893
315,4.0,0.2286,31.7,123.609
10000,0.0,0.2286,71.3,118.134
200,9.9,0.1524,55.5,131.955
1600,3.0,0.3048,71.3,126.514
315,6.7,0.1016,31.7,126.266
8000,3.3,0.1016,31.7,117.432
1600,9.9,0.1524,71.3,121.789
250,15.4,0.0508,71.3,124.835
2500,9.5,0.0254,39.6,131.234
8000,0.0,0.0508,55.5,130.156
400,8.9,0.1016,39.6,135.54
8000,0.0,0.1016,39.6,122.341
1250,19.7,0.0508,71.3,121.485
1600,15.4,0.0508,31.7,121.485
6300,7.3,0.2286,71.3,115.818
3150,0.0,0.3048,39.6,120.319
12500,0.0,0.0254,55.5,131.453
4000,5.4,0.1524,39.6,117.137
315,9.9,0.1524,39.6,128.595
4000,8.9,0.1016,71.3,120.243
400,8.4,0.0508,39.6,120.015
1600,4.0,0.3048,71.3,126.645
5000,8.9,0.1016,39.6,113.08
5000,2.0,0.2286,55.5,120.472
4000,15.4,0.0508,39.6,118.113
1000,12.3,0.1016,55.5,125.484
500,7.2,0.1524,39.6,132.658
3150,2.0,0.2286,31.7,121.527
4000,11.2,0.0508,39.6,115.52
630,8.4,0.0508,31.7,125.856
2500,3.0,0.3048,39.6,120.162
400,12.6,0.1524,39.6,115.91
8000,0.0,0.1016,71.3,125.465
500,12.7,0.0254,39.6,127.127
800,9.5,0.0254,55.5,128.082
500,4.0,0.2286,55.5,127.314
1600,4.2,0.0508,71.3,124.318
3150,7.3,0.2286,55.5,117.134
4000,17.4,0.0254,55.5,121.771
6300,12.3,0.1016,71.3,113.958
400,12.7,0.0254,39.6,125.527
1000,4.0,0.2286,55.5,132.134
500,12.3,0.1016,31.7,118.667
1600,12.7,0.0254,71.3,134.528
1250,5.3,0.2286,39.6,125.721
500,17.4,0.0254,55.5,119.621
6300,0.0,0.3048,71.3,119.541
400,2.0,0.2286,55.5,122.292
800,22.2,0.0254,39.6,137.076
1000,4.0,0.2286,31.7,129.869
1250,7.2,0.1524,71.3,132.513
800,4.0,0.2286,55.5,131.864
6300,0.0,0.0254,31.7,138.537
400,15.4,0.0508,39.6,125.353
6300,4.0,0.2286,55.5,117.154
200,11.2,0.0508,39.6,125.01
400,3.0,0.3048,55.5,126.159
1250,15.4,0.0508,71.3,130.845
1250,15.6,0.1016,71.3,123.178
800,0.0,0.0508,31.7,122.79
4000,5.3,0.2286,71.3,120.33
630,15.6,0.1016,39.6,118.084
16000,0.0,0.0254,71.3,130.477
6300,15.4,0.0508,39.6,109.663
2000,0.0,0.0508,55.5,131.456
6300,0.0,0.3048,55.5,117.976
250,7.3,0.2286,71.3,139.918
400,19.7,0.0508,39.6,130.614
6300,12.7,0.0254,71.3,125.398
1000,5.4,0.1524,55.5,132.127
200,7.3,0.2286,31.7,128.679
1250,3.0,0.3048,55.5,127.329
4000,0.0,0.0254,31.7,137.047
5000,0.0,0.1016,31.7,124.393
1250,2.0,0.2286,31.7,128.677
6300,0.0,0.1016,71.3,129.395
800,4.8,0.0254,39.6,120.766
1600,0.0,0.2286,39.6,127.095
250,12.6,0.1524,71.3,129.744
6300,4.8,0.0254,31.7,132.898
2500,12.3,0.1016,31.7,110.317
3150,12.3,0.1016,71.3,120.798
3150,12.6,0.1524,71.3,113.334
630,0.0,0.3048,55.5,127.696
315,9.9,0.1524,31.7,128.809
12500,0.0,0.0508,31.7,119.07
630,4.0,0.2286,31.7,130.349
1000,9.5,0.0254,55.5,130.332
315,8.9,0.1016,71.3,136.583
500,4.0,0.2286,71.3,126.758
1000,2.0,0.2286,39.6,129.147
5000,7.3,0.2286,39.6,111.959
630,2.0,0.2286,31.7,129.057
1600,6.7,0.1016,71.3,136.678
3150,15.6,0.1016,71.3,116.468
1600,0.0,0.0508,55.5,128.576
5000,2.0,0.2286,71.3,122.816
3150,2.0,0.2286,39.6,121.627
1600,3.3,0.1016,31.7,133.402
800,12.7,0.0254,39.6,130.217
4000,2.0,0.2286,31.7,120.527
400,8.9,0.1016,71.3,138.123
1250,4.0,0.2286,55.5,131.264
2500,5.3,0.2286,71.3,123.74
1250,12.7,0.0254,71.3,133.048
6300,0.0,0.0508,31.7,130.34
630,0.0,0.1524,55.5,123.583
1600,12.6,0.1524,39.6,110.78
5000,4.2,0.0508,71.3,132.828
8000,3.0,0.3048,71.3,114.634
250,15.4,0.0508,55.5,124.17
5000,3.0,0.3048,71.3,118.134
6300,9.9,0.1524,31.7,108.689
6300,9.5,0.0254,71.3,127.246
200,9.9,0.1524,39.6,127.315
400,7.3,0.2286,55.5,135.924
5000,0.0,0.3048,55.5,119.606
1600,3.3,0.1016,55.5,133.649
6300,17.4,0.0254,71.3,119.916
3150,8.4,0.0508,31.7,122.086
630,9.9,0.1524,71.3,129.889
2000,4.8,0.0254,39.6,128.916
400,9.5,0.0254,39.6,121.154
1000,15.6,0.1016,39.6,119.224
3150,8.9,0.1016,71.3,123.263
2000,0.0,0.3048,31.7,122.375
315,15.4,0.0508,31.7,122.845
10000,0.0,0.3048,55.5,113.076
500,0.0,0.1524,39.6,119.513
2000,0.0,0.0254,39.6,130.026
2500,0.0,0.2286,71.3,128.354
500,0.0,0.3048,55.5,126.416
2500,0.0,0.1524,31.7,125.867
800,5.4,0.1524,71.3,131.281
250,17.4,0.0254,71.3,113.796
8000,7.2,0.1524,71.3,113.333
3150,15.4,0.0508,55.5,123.46
2500,4.0,0.3048,39.6,120.233
1000,15.4,0.0508,31.7,124.525
315,9.5,0.0254,39.6,119.294
630,9.9,0.1524,39.6,126.465
1000,5.3,0.2286,71.3,134.0
2500,5.3,0.2286,39.6,116.151
4000,17.4,0.0254,71.3,125.586
2000,9.9,0.1524,31.7,116.859
800,5.3,0.2286,39.6,129.491
1600,0.0,0.1524,55.5,130.183
200,15.6,0.1016,39.6,123.514
1000,0.0,0.3048,31.7,127.365
10000,4.2,0.0508,71.3,121.238
1000,4.0,0.2286,71.3,131.708
500,8.4,0.0508,31.7,122.966
8000,12.7,0.0254,71.3,120.538
4000,11.2,0.0508,71.3,122.471
500,7.3,0.2286,39.6,130.299
6300,0.0,0.1016,39.6,125.631
1250,4.8,0.0254,39.6,125.026
4000,4.2,0.0508,71.3,133.598
5000,15.4,0.0508,55.5,117.11
6300,0.0,0.3048,39.6,116.229
1000,7.2,0.1524,39.6,128.338
4000,17.4,0.0254,31.7,121.996
2500,0.0,0.2286,31.7,123.445
2500,9.5,0.0254,71.3,135.956
800,3.0,0.3048,55.5,129.949
3150,12.7,0.0254,71.3,133.758
630,17.4,0.0254,71.3,122.606
630,2.0,0.2286,39.6,127.417
6300,4.2,0.0508,71.3,129.308
1000,5.4,0.1524,71.3,133.201
4000,4.8,0.0254,55.5,133.924
10000,0.0,0.1016,55.5,121.93
4000,7.2,0.1524,71.3,119.343
630,6.7,0.1016,71.3,131.448
5000,0.0,0.0254,71.3,136.837
1600,9.5,0.0254,31.7,131.036
5000,7.3,0.2286,71.3,115.298
2000,1.5,0.3048,39.6,122.101
6300,3.3,0.1016,31.7,120.702
2500,7.2,0.1524,71.3,124.353
6300,2.0,0.2286,31.7,115.137
2500,15.6,0.1016,39.6,110.264
3150,7.3,0.2286,71.3,120.458
10000,12.7,0.0254,39.6,116.017
1000,4.8,0.0254,39.6,122.956
2000,1.5,0.3048,71.3,126.642
1600,22.2,0.0254,39.6,122.216
