age,avno60plus,month_sold,structure_quality,SALE_PRC
30,0.0,7,4,325000.0
0,0.0,9,4,450000.0
0,0.0,2,4,343900.0
11,0.0,9,2,235000.0
55,0.0,1,2,367500.0
13,0.0,4,2,220000.0
13,0.0,8,2,217000.0
24,0.0,3,2,237000.0
44,0.0,7,4,357000.0
46,0.0,4,5,425000.0
21,0.0,3,2,239000.0
25,0.0,4,2,255000.0
62,0.0,12,4,160000.0
25,0.0,2,4,375000.0
61,0.0,11,2,139000.0
29,0.0,8,4,225000.0
35,0.0,1,4,325000.0
3,0.0,6,2,285000.0
11,0.0,4,4,300000.0
34,0.0,12,4,700000.0
59,0.0,6,4,225000.0
41,0.0,6,4,587500.0
31,0.0,6,2,239000.0
82,0.0,2,5,399000.0
30,0.0,11,4,265000.0
56,0.0,4,4,235000.0
11,0.0,9,5,740000.0
4,0.0,9,2,250000.0
59,0.0,5,5,220000.0
31,0.0,12,5,728900.0
16,0.0,10,4,522500.0
55,0.0,8,4,290000.0
52,0.0,6,5,280000.0
51,0.0,6,4,305000.0
0,0.0,12,2,310000.0
19,0.0,2,2,190000.0
0,0.0,5,4,346700.0
17,0.0,8,2,400000.0
0,0.0,8,2,436017.0
14,0.0,6,4,360000.0
10,0.0,7,2,210000.0
13,0.0,6,5,1950000.0
27,0.0,3,2,182500.0
39,0.0,9,4,385000.0
4,0.0,3,4,310000.0
48,0.0,6,4,300500.0
53,0.0,8,4,360000.0
36,0.0,9,2,119900.0
21,0.0,3,4,340000.0
63,0.0,3,4,682500.0
21,0.0,5,2,260000.0
58,0.0,6,4,310000.0
12,0.0,11,2,240000.0
21,0.0,1,5,2250000.0
39,0.0,6,4,545000.0
15,0.0,1,4,307000.0
91,0.0,8,1,145000.0
19,0.0,7,2,234000.0
0,0.0,5,5,1315000.0
16,0.0,3,4,440000.0
52,0.0,2,4,280000.0
12,0.0,5,4,259500.0
58,0.0,11,1,130000.0
36,0.0,9,4,270000.0
66,0.0,6,2,175000.0
7,0.0,12,2,250000.0
61,0.0,11,4,173000.0
41,0.0,7,4,630000.0
58,0.0,3,4,189000.0
21,0.0,2,4,560000.0
30,0.0,7,5,235000.0
2,0.0,1,2,260000.0
16,0.0,9,5,299900.0
10,0.0,10,4,549000.0
19,0.0,4,4,305000.0
27,0.0,12,4,220000.0
32,0.0,6,2,380000.0
47,0.0,12,5,480000.0
61,0.0,9,5,325000.0
40,0.0,7,4,330000.0
16,0.0,8,4,395000.0
37,0.0,6,2,130000.0
16,0.0,4,4,530000.0
48,0.0,10,4,371000.0
28,0.0,8,2,249000.0
27,0.0,5,4,262000.0
25,0.0,4,4,259000.0
14,0.0,7,2,240000.0
37,0.0,9,4,395000.0
10,0.0,4,5,1350000.0
81,0.0,5,5,398000.0
70,1.0,10,4,175000.0
11,0.0,8,2,203000.0
27,0.0,8,5,1880000.0
31,0.0,10,4,241000.0
61,0.0,10,5,859100.0
62,0.0,7,4,365000.0
50,0.0,8,5,590000.0
49,0.0,7,4,355000.0
4,0.0,8,2,255000.0
13,0.0,7,4,417000.0
21,0.0,12,5,275000.0
32,0.0,8,2,393000.0
9,0.0,8,4,218800.0
40,0.0,2,2,225000.0
26,0.0,4,2,340000.0
61,0.0,9,1,148900.0
1,0.0,10,4,569900.0
3,0.0,7,4,266500.0
17,0.0,8,4,285000.0
28,0.0,7,5,1200000.0
46,0.0,6,4,750000.0
23,0.0,9,2,200000.0
52,0.0,7,4,349000.0
40,0.0,12,4,350000.0
38,0.0,9,4,490000.0
31,0.0,11,2,215000.0
2,0.0,3,2,315000.0
49,0.0,4,4,880000.0
37,0.0,10,4,238000.0
37,0.0,3,4,345000.0
58,0.0,3,1,90000.0
35,0.0,7,4,194000.0
78,0.0,12,2,510000.0
28,0.0,7,4,2100000.0
42,0.0,8,5,1150000.0
47,0.0,11,4,260000.0
22,0.0,7,5,350000.0
59,0.0,10,4,145000.0
38,0.0,4,2,487000.0
19,0.0,6,4,320000.0
15,0.0,6,2,229900.0
22,0.0,6,2,130000.0
59,0.0,3,4,240000.0
10,0.0,3,2,188000.0
69,0.0,9,2,220000.0
6,0.0,10,4,365000.0
47,0.0,9,2,210000.0
26,0.0,5,4,407500.0
88,0.0,11,4,360000.0
59,0.0,9,5,180000.0
67,0.0,1,4,250000.0
31,0.0,8,4,750000.0
79,0.0,4,1,86500.0
38,0.0,10,4,425000.0
23,0.0,10,2,128000.0
51,0.0,12,4,255000.0
1,0.0,11,5,950000.0
27,0.0,1,4,260000.0
39,0.0,5,4,650000.0
64,0.0,7,4,435000.0
10,0.0,4,4,205000.0
0,0.0,1,2,170000.0
14,0.0,12,4,246500.0
34,0.0,9,4,360000.0
22,0.0,8,4,360000.0
29,0.0,7,4,352000.0
14,0.0,11,2,240000.0
16,0.0,6,4,290000.0
39,0.0,10,4,535000.0
6,0.0,12,4,678000.0
40,0.0,4,5,1001400.0
23,0.0,3,2,180000.0
16,0.0,8,5,272500.0
64,0.0,1,4,128000.0
22,0.0,3,4,280000.0
18,0.0,5,4,215000.0
41,0.0,7,5,1200000.0
26,0.0,6,4,2637500.0
12,0.0,6,4,485000.0
9,0.0,9,4,1230000.0
51,0.0,8,5,508000.0
58,0.0,3,2,195000.0
36,0.0,11,4,232000.0
11,0.0,3,4,369000.0
26,0.0,11,5,270000.0
32,0.0,6,4,583000.0
81,0.0,9,2,340000.0
0,0.0,8,4,268000.0
14,0.0,5,2,270000.0
36,0.0,2,4,310000.0
19,0.0,4,5,465000.0
30,0.0,7,2,285000.0
70,0.0,4,5,455700.0
37,0.0,4,4,315000.0
34,0.0,2,4,775000.0
35,0.0,6,4,345000.0
49,0.0,4,5,227500.0
21,0.0,10,5,615000.0
26,0.0,2,2,185000.0
66,0.0,10,4,350000.0
16,0.0,2,2,213000.0
25,0.0,8,4,299900.0
41,0.0,5,2,200000.0
6,0.0,5,2,250000.0
26,0.0,11,2,700000.0
33,0.0,10,4,168000.0
52,0.0,5,2,1080000.0
50,0.0,5,2,165000.0
29,0.0,10,4,442000.0
64,0.0,10,2,120000.0
36,0.0,1,4,375000.0
5,0.0,7,4,292500.0
10,0.0,10,2,220000.0
90,0.0,9,5,600000.0
0,0.0,12,4,455000.0
15,0.0,3,2,400000.0
30,0.0,6,2,208000.0
39,0.0,4,2,280000.0
75,0.0,2,4,130000.0
44,0.0,12,4,352000.0
10,0.0,6,2,365000.0
35,0.0,9,4,465000.0
36,0.0,8,5,665000.0
33,0.0,2,4,295000.0
3,0.0,7,2,316000.0
34,0.0,6,5,1045000.0
41,0.0,8,4,376000.0
30,0.0,10,4,283000.0
12,0.0,5,2,227500.0
6,0.0,6,5,780000.0
20,0.0,11,4,396000.0
17,0.0,6,4,395000.0
0,0.0,6,5,490000.0
31,0.0,1,2,190000.0
41,0.0,2,4,630000.0
6,0.0,1,5,1050000.0
45,0.0,2,4,199000.0
4,0.0,12,2,205000.0
6,0.0,4,2,235000.0
19,0.0,7,4,260000.0
35,0.0,5,4,280000.0
23,0.0,11,2,184000.0
60,0.0,11,2,180000.0
9,0.0,3,2,405000.0
32,0.0,10,4,255000.0
31,0.0,10,2,213000.0
43,0.0,7,2,390000.0
49,0.0,9,5,400000.0
55,0.0,2,4,327000.0
43,0.0,2,4,292500.0
18,0.0,11,5,255000.0
44,0.0,9,4,265000.0
32,0.0,8,4,262000.0
65,1.0,11,5,715000.0
16,0.0,1,4,300000.0
16,0.0,11,5,2280000.0
25,0.0,12,2,225000.0
35,0.0,5,2,150000.0
75,0.0,4,5,564000.0
62,0.0,5,4,292500.0
25,0.0,5,5,335000.0
34,0.0,8,4,300000.0
31,0.0,4,4,194000.0
36,0.0,11,2,360000.0
22,0.0,5,4,315000.0
51,0.0,9,2,80200.0
70,0.0,6,2,220000.0
24,0.0,10,5,290000.0
17,0.0,9,4,295000.0
38,0.0,11,4,284000.0
45,0.0,11,4,349000.0
12,0.0,7,2,253000.0
42,0.0,3,2,686000.0
67,0.0,4,5,560000.0
24,0.0,5,4,280000.0
54,0.0,1,4,606000.0
50,0.0,9,5,1200000.0
18,0.0,2,5,1160000.0
28,0.0,2,2,152000.0
39,0.0,5,2,190000.0
62,0.0,1,5,175000.0
12,0.0,1,4,290000.0
83,0.0,9,4,250000.0
29,0.0,3,4,191100.0
62,0.0,3,5,800000.0
0,0.0,8,5,1400000.0
2,0.0,4,4,370000.0
9,0.0,2,4,230000.0
33,0.0,5,4,529000.0
16,0.0,5,5,430000.0
43,0.0,4,2,265000.0
25,0.0,1,4,315000.0
43,0.0,11,4,390000.0
26,0.0,5,2,455000.0
5,0.0,11,4,205000.0
18,0.0,3,4,195000.0
23,0.0,1,5,1175000.0
5,0.0,12,4,390000.0
45,0.0,1,4,315000.0
53,0.0,7,4,480000.0
18,0.0,7,4,260000.0
19,0.0,12,5,600000.0
10,0.0,11,5,2182500.0
20,0.0,5,4,378400.0
62,0.0,2,4,570000.0
9,0.0,2,2,339000.0
24,0.0,4,2,215000.0
61,0.0,3,2,185000.0
37,0.0,2,5,725000.0
46,0.0,3,4,324900.0
31,0.0,5,5,2268000.0
7,0.0,8,2,225000.0
20,0.0,2,4,365000.0
10,0.0,2,4,225000.0
13,0.0,7,5,262000.0
36,0.0,12,2,280000.0
57,0.0,3,2,225000.0
22,0.0,4,5,255000.0
33,0.0,11,2,181000.0
16,0.0,3,5,1040000.0
67,0.0,4,2,225100.0
34,0.0,5,4,395000.0
38,0.0,12,5,375000.0
1,0.0,2,4,438000.0
10,0.0,8,2,300000.0
11,0.0,12,2,215000.0
34,0.0,10,4,541000.0
1,0.0,1,2,300000.0
27,0.0,1,5,293000.0
27,0.0,5,5,335000.0
29,0.0,3,5,240000.0
26,0.0,1,5,650000.0
94,0.0,2,1,495000.0
64,0.0,9,4,285000.0
20,0.0,10,4,735000.0
5,0.0,3,4,235000.0
37,0.0,11,2,249900.0
20,0.0,6,4,255000.0
12,0.0,3,4,347000.0
66,0.0,6,4,200000.0
31,0.0,6,4,385000.0
28,0.0,11,5,265000.0
1,0.0,4,4,424000.0
40,0.0,1,5,860000.0
59,0.0,3,2,150000.0
36,0.0,10,2,141800.0
10,0.0,5,2,310000.0
19,0.0,8,5,770000.0
17,0.0,7,4,310000.0
65,0.0,5,5,199000.0
23,0.0,2,5,2400000.0
60,0.0,2,2,115000.0
14,0.0,5,4,615000.0
4,0.0,3,2,255500.0
32,0.0,11,4,474000.0
1,0.0,12,2,324000.0
24,0.0,2,4,900000.0
7,0.0,12,4,450000.0
12,0.0,9,4,402000.0
36,0.0,11,5,240000.0
27,0.0,4,4,355000.0
60,0.0,3,4,240000.0
21,0.0,12,4,324000.0
27,0.0,4,5,1060000.0
21,0.0,8,5,700000.0
57,0.0,3,4,162000.0
22,0.0,5,2,190000.0
54,0.0,4,4,310000.0
67,0.0,2,4,300000.0
28,0.0,6,2,226000.0
24,0.0,12,2,329000.0
27,0.0,10,2,200000.0
29,0.0,12,5,215000.0
56,0.0,3,2,249000.0
61,0.0,4,4,223000.0
9,0.0,11,5,2600000.0
48,0.0,4,4,290000.0
19,0.0,9,5,275000.0
11,0.0,6,4,255000.0
23,0.0,10,5,1990000.0
11,1.0,2,5,568000.0
0,0.0,4,3,2100000.0
15,0.0,12,5,475000.0
78,0.0,10,2,500000.0
27,0.0,8,2,220000.0
11,0.0,5,4,590000.0
31,1.0,2,4,90000.0
12,0.0,4,4,415000.0
24,0.0,9,2,210000.0
14,0.0,4,5,290000.0
31,0.0,11,4,470000.0
20,0.0,12,4,305000.0
41,0.0,8,2,171000.0
58,0.0,8,4,399000.0
5,0.0,10,2,277000.0
66,0.0,5,4,323000.0
30,0.0,4,5,1600000.0
38,0.0,10,2,215000.0
15,0.0,3,5,1590000.0
64,0.0,4,2,285000.0
25,0.0,3,5,885000.0
41,0.0,1,2,174000.0
54,0.0,5,4,485000.0
60,0.0,8,4,246000.0
63,0.0,10,2,500000.0
47,0.0,6,4,232000.0
63,0.0,9,4,320000.0
2,0.0,3,5,500000.0
18,0.0,8,5,950000.0
77,0.0,6,2,150000.0
0,0.0,10,4,455000.0
59,0.0,7,4,290000.0
5,0.0,6,2,216000.0
88,0.0,7,2,125000.0
62,0.0,6,2,87000.0
39,0.0,2,2,160000.0
44,0.0,9,5,290000.0
88,0.0,8,1,130000.0
17,0.0,4,2,150000.0
56,0.0,9,5,550000.0
50,0.0,4,2,560000.0
22,0.0,7,4,247000.0
22,0.0,4,2,290000.0
17,0.0,12,5,290000.0
6,0.0,3,4,329700.0
56,0.0,4,2,155000.0
10,0.0,12,2,194900.0
2,0.0,3,4,420000.0
61,0.0,9,4,360000.0
23,0.0,5,4,284000.0
29,0.0,8,2,139000.0
13,0.0,1,4,383000.0
26,0.0,9,2,119000.0
29,0.0,4,2,192000.0
31,0.0,12,2,230000.0
57,0.0,2,4,270000.0
48,0.0,4,5,495000.0
12,0.0,11,4,455000.0
25,0.0,8,2,295000.0
68,0.0,1,2,230000.0
68,0.0,2,4,315000.0
11,0.0,4,2,200000.0
16,0.0,6,5,330000.0
25,0.0,11,2,295000.0
12,0.0,12,2,232000.0
49,0.0,11,4,465000.0
45,0.0,5,5,179000.0
44,0.0,6,4,345000.0
66,0.0,3,4,335000.0
19,0.0,9,4,330000.0
40,0.0,4,4,336300.0
28,0.0,11,2,470000.0
53,0.0,11,4,163000.0
16,0.0,5,4,230000.0
19,0.0,10,4,279900.0
66,0.0,7,2,235000.0
59,0.0,8,4,290000.0
61,0.0,6,4,180000.0
75,0.0,3,1,200000.0
9,0.0,8,2,298000.0
58,0.0,1,4,301700.0
25,0.0,12,5,238000.0
61,0.0,1,1,105000.0
39,0.0,8,4,283000.0
43,0.0,4,4,399000.0
3,0.0,8,4,400000.0
15,0.0,1,5,442900.0
9,0.0,7,2,220000.0
13,0.0,9,5,380000.0
13,0.0,6,4,392500.0
6,0.0,8,5,960000.0
10,0.0,7,4,354000.0
18,0.0,4,4,335000.0
6,0.0,10,2,264000.0
91,1.0,4,5,640000.0
50,0.0,9,4,334000.0
28,0.0,9,4,325000.0
24,0.0,12,4,367000.0
62,0.0,4,2,130000.0
15,0.0,7,4,320000.0
0,0.0,9,2,471000.0
34,0.0,1,2,135000.0
4,0.0,4,5,1290000.0
24,0.0,11,2,225000.0
61,0.0,4,5,350000.0
35,0.0,2,4,565000.0
22,0.0,9,4,338000.0
29,0.0,1,4,235000.0
30,0.0,9,2,370000.0
12,0.0,6,2,242200.0
10,0.0,1,2,518000.0
34,0.0,3,4,189900.0
26,0.0,12,2,395000.0
24,0.0,1,2,195000.0
19,0.0,5,2,198500.0
26,0.0,8,5,600000.0
45,0.0,7,2,459000.0
40,0.0,3,4,650000.0
0,0.0,4,2,399900.0
47,0.0,12,4,400000.0
17,0.0,10,5,1975000.0
87,0.0,11,4,275000.0
38,0.0,5,5,300000.0
36,0.0,10,5,307500.0
36,0.0,3,2,110000.0
37,0.0,6,4,360000.0
56,0.0,11,4,188000.0
62,0.0,6,5,935000.0
51,0.0,4,4,860000.0
50,0.0,11,4,350000.0
21,0.0,4,4,190000.0
43,0.0,6,2,210000.0
39,0.0,6,5,235000.0
36,0.0,8,2,135000.0
44,0.0,5,4,270000.0
50,0.0,7,5,410000.0
64,0.0,4,1,107000.0
13,0.0,10,4,335000.0
5,0.0,2,2,165000.0
50,0.0,12,4,590000.0
69,0.0,4,4,250000.0
18,0.0,9,4,1400000.0
35,0.0,3,4,148000.0
21,0.0,6,3,1775000.0
27,0.0,5,2,142500.0
49,0.0,12,4,800000.0
18,0.0,5,5,1176000.0
27,0.0,7,2,215000.0
30,0.0,1,4,405000.0
44,0.0,2,5,437000.0
12,0.0,3,2,178000.0
23,0.0,3,4,301000.0
40,0.0,3,5,165000.0
48,0.0,3,4,415000.0
48,0.0,7,4,415000.0
24,0.0,6,4,255000.0
21,0.0,9,4,360000.0
49,0.0,9,4,490000.0
53,0.0,5,4,260000.0
9,0.0,9,2,237000.0
37,0.0,8,4,175000.0
13,0.0,2,2,265000.0
61,0.0,6,5,855000.0
37,0.0,9,2,582000.0
7,0.0,3,2,215000.0
46,0.0,9,2,82500.0
66,0.0,3,2,110000.0
64,0.0,5,4,1200000.0
13,0.0,4,4,390000.0
75,0.0,8,4,270000.0
4,0.0,10,4,375000.0
55,0.0,5,2,470000.0
46,0.0,10,4,399000.0
56,0.0,10,2,210000.0
69,0.0,3,2,215000.0
67,0.0,6,2,135000.0
53,0.0,10,4,320000.0
2,0.0,9,2,260000.0
23,1.0,11,4,215000.0
11,0.0,2,2,178000.0
63,0.0,6,4,720000.0
48,0.0,9,2,200000.0
24,0.0,11,4,190000.0
10,0.0,3,4,395000.0
1,0.0,3,2,301000.0
62,0.0,4,5,349000.0
37,0.0,5,4,540000.0
17,0.0,12,2,335000.0
63,0.0,12,1,120000.0
48,0.0,8,4,291400.0
19,0.0,5,4,420000.0
65,1.0,3,5,350000.0
53,0.0,6,4,460000.0
40,0.0,9,5,1600000.0
66,0.0,8,5,583800.0
76,0.0,10,2,120000.0
2,0.0,12,4,270000.0
0,0.0,7,5,650000.0
80,0.0,7,2,85000.0
39,0.0,3,4,255000.0
69,0.0,11,4,275000.0
35,0.0,10,4,266000.0
82,0.0,3,2,150000.0
62,0.0,9,2,163000.0
25,0.0,1,2,183000.0
12,0.0,7,4,455000.0
33,0.0,1,4,430000.0
14,0.0,12,5,613500.0
63,0.0,11,4,220000.0
43,0.0,8,4,378000.0
39,0.0,10,5,540000.0
33,0.0,4,5,385000.0
69,0.0,7,2,317900.0
13,0.0,9,2,244900.0
1,0.0,2,5,1150000.0
59,0.0,10,2,239900.0
64,0.0,5,2,250000.0
61,0.0,5,4,150000.0
25,0.0,12,4,260000.0
22,0.0,6,5,1800000.0
21,0.0,9,2,140000.0
36,0.0,10,4,400000.0
37,0.0,11,4,302000.0
33,0.0,7,4,692500.0
22,0.0,1,5,336600.0
56,0.0,10,4,750000.0
68,0.0,9,2,370000.0
5,0.0,4,4,140000.0
33,0.0,4,2,197000.0
6,0.0,8,4,585000.0
11,0.0,10,4,395000.0
40,0.0,5,2,358900.0
28,0.0,11,4,345000.0
22,0.0,10,4,255000.0
51,0.0,5,4,263000.0
58,0.0,10,2,149000.0
77,0.0,3,5,567500.0
26,0.0,1,4,900000.0
56,0.0,6,5,641000.0
47,0.0,3,4,400000.0
36,0.0,4,5,585000.0
68,0.0,11,5,1650000.0
63,0.0,2,1,108000.0
11,0.0,7,2,220000.0
32,0.0,9,2,317500.0
66,0.0,8,2,176500.0
4,0.0,9,4,315000.0
68,0.0,9,4,270000.0
7,0.0,7,4,975000.0
38,0.0,7,4,194000.0
21,0.0,8,2,259000.0
23,0.0,2,2,182500.0
9,1.0,7,4,165000.0
30,0.0,1,2,78000.0
58,0.0,5,4,157000.0
13,0.0,7,2,182000.0
8,0.0,7,4,305000.0
54,0.0,7,2,140000.0
27,0.0,3,4,207000.0
48,0.0,5,2,378000.0
57,0.0,7,4,425000.0
64,0.0,4,4,409500.0
54,0.0,6,4,197000.0
63,0.0,3,5,770000.0
23,0.0,11,4,1400000.0
36,0.0,5,2,230000.0
29,0.0,3,2,168000.0
43,0.0,12,4,347000.0
50,0.0,6,4,300100.0
4,0.0,1,4,525000.0
48,0.0,9,4,295000.0
61,0.0,2,5,350000.0
8,0.0,3,5,1860000.0
76,0.0,2,4,364000.0
56,0.0,8,4,350000.0
39,0.0,7,4,365000.0
71,0.0,8,2,90000.0
23,0.0,6,2,220000.0
31,0.0,5,2,140000.0
32,0.0,5,2,145400.0
25,0.0,3,2,250000.0
65,0.0,3,1,102000.0
49,0.0,2,4,340000.0
11,0.0,11,2,340000.0
69,0.0,12,4,379000.0
73,0.0,5,2,150000.0
40,0.0,4,2,269900.0
