,job,marital,education,housing,loan,contact,poutcome,SubscribeTermDeposit no,SubscribeTermDeposit yes
72,admin.,married,primary,yes,no,telephone,unknown,no,
73,admin.,married,primary,yes,no,unknown,unknown,no,
74,admin.,married,primary,yes,yes,cellular,failure,no,
75,admin.,married,primary,yes,yes,cellular,other,no,
76,admin.,married,primary,yes,yes,cellular,unknown,no,
77,admin.,married,primary,yes,yes,telephone,failure,no,
78,admin.,married,primary,yes,yes,telephone,unknown,yes,
79,admin.,married,primary,yes,yes,unknown,unknown,no,
80,admin.,married,secondary,no,no,cellular,failure,no,
81,admin.,married,secondary,no,no,cellular,other,yes,
82,admin.,married,secondary,no,no,cellular,success,yes,
83,admin.,married,secondary,no,no,cellular,unknown,no,no
84,admin.,married,secondary,no,no,telephone,failure,yes,
85,admin.,married,secondary,no,no,telephone,other,no,no
86,admin.,married,secondary,no,no,telephone,success,no,
87,admin.,married,secondary,no,no,telephone,unknown,no,
88,admin.,married,secondary,no,no,unknown,success,no,
89,admin.,married,secondary,no,no,unknown,unknown,no,no
90,admin.,married,secondary,no,yes,cellular,failure,no,
91,admin.,married,secondary,no,yes,cellular,other,no,
92,admin.,married,secondary,no,yes,cellular,unknown,no,no
93,admin.,married,secondary,no,yes,telephone,failure,no,
94,admin.,married,secondary,no,yes,telephone,other,no,
95,admin.,married,secondary,no,yes,telephone,unknown,no,no
96,admin.,married,secondary,no,yes,unknown,unknown,no,no
97,admin.,married,secondary,yes,no,cellular,failure,no,no
98,admin.,married,secondary,yes,no,cellular,other,yes,
99,admin.,married,secondary,yes,no,cellular,success,yes,
100,admin.,married,secondary,yes,no,cellular,unknown,no,no
101,admin.,married,secondary,yes,no,telephone,failure,no,
102,admin.,married,secondary,yes,no,telephone,other,yes,
103,admin.,married,secondary,yes,no,telephone,success,yes,
104,admin.,married,secondary,yes,no,telephone,unknown,no,
105,admin.,married,secondary,yes,no,unknown,failure,no,
106,admin.,married,secondary,yes,no,unknown,success,no,
107,admin.,married,secondary,yes,no,unknown,unknown,no,no
108,admin.,married,secondary,yes,yes,cellular,failure,yes,
109,admin.,married,secondary,yes,yes,cellular,other,no,yes
110,admin.,married,secondary,yes,yes,cellular,success,yes,
111,admin.,married,secondary,yes,yes,cellular,unknown,no,no
112,admin.,married,secondary,yes,yes,telephone,other,no,
113,admin.,married,secondary,yes,yes,telephone,unknown,no,
114,admin.,married,secondary,yes,yes,unknown,unknown,no,no
115,admin.,married,tertiary,no,no,cellular,failure,yes,
116,admin.,married,tertiary,no,no,cellular,other,yes,
117,admin.,married,tertiary,no,no,cellular,success,no,
118,admin.,married,tertiary,no,no,cellular,unknown,no,
119,admin.,married,tertiary,no,no,telephone,failure,no,
120,admin.,married,tertiary,no,no,telephone,unknown,no,
121,admin.,married,tertiary,no,no,unknown,unknown,no,no
122,admin.,married,tertiary,no,yes,cellular,failure,yes,
123,admin.,married,tertiary,no,yes,cellular,other,no,
124,admin.,married,tertiary,no,yes,cellular,success,yes,
125,admin.,married,tertiary,no,yes,cellular,unknown,no,
126,admin.,married,tertiary,no,yes,telephone,unknown,no,
127,admin.,married,tertiary,no,yes,unknown,unknown,no,
128,admin.,married,tertiary,yes,no,cellular,failure,no,
129,admin.,married,tertiary,yes,no,cellular,other,no,
130,admin.,married,tertiary,yes,no,cellular,success,yes,
131,admin.,married,tertiary,yes,no,cellular,unknown,no,
132,admin.,married,tertiary,yes,no,telephone,failure,yes,
133,admin.,married,tertiary,yes,no,telephone,other,no,
134,admin.,married,tertiary,yes,no,telephone,success,no,
135,admin.,married,tertiary,yes,no,telephone,unknown,no,
136,admin.,married,tertiary,yes,no,unknown,failure,yes,
137,admin.,married,tertiary,yes,no,unknown,unknown,no,
138,admin.,married,tertiary,yes,yes,cellular,failure,no,
139,admin.,married,tertiary,yes,yes,cellular,other,no,
140,admin.,married,tertiary,yes,yes,cellular,success,no,
141,admin.,married,tertiary,yes,yes,cellular,unknown,no,
142,admin.,married,tertiary,yes,yes,unknown,unknown,no,
143,admin.,married,unknown,no,no,cellular,failure,no,
144,admin.,married,unknown,no,no,cellular,success,yes,
145,admin.,married,unknown,no,no,cellular,unknown,no,no
146,admin.,married,unknown,no,no,telephone,failure,yes,
147,admin.,married,unknown,no,no,telephone,other,no,
148,admin.,married,unknown,no,no,telephone,unknown,no,
149,admin.,married,unknown,no,no,unknown,unknown,no,
150,admin.,married,unknown,no,yes,cellular,unknown,no,
151,admin.,married,unknown,no,yes,unknown,unknown,no,
152,admin.,married,unknown,yes,no,cellular,failure,no,
153,admin.,married,unknown,yes,no,cellular,success,yes,
154,admin.,married,unknown,yes,no,cellular,unknown,yes,
155,admin.,married,unknown,yes,no,telephone,unknown,no,
156,admin.,married,unknown,yes,no,unknown,unknown,no,no
157,admin.,married,unknown,yes,yes,telephone,failure,no,
158,admin.,married,unknown,yes,yes,unknown,unknown,no,
159,admin.,single,primary,no,no,cellular,failure,no,
160,admin.,single,primary,no,no,cellular,unknown,no,
161,admin.,single,primary,no,no,telephone,unknown,no,
162,admin.,single,primary,no,no,unknown,unknown,no,
163,admin.,single,primary,yes,no,cellular,failure,no,
164,admin.,single,primary,yes,no,cellular,other,no,
165,admin.,single,primary,yes,no,cellular,unknown,no,
166,admin.,single,primary,yes,no,unknown,unknown,no,
167,admin.,single,primary,yes,yes,cellular,failure,no,
168,admin.,single,primary,yes,yes,cellular,unknown,no,
169,admin.,single,secondary,no,no,cellular,failure,no,
170,admin.,single,secondary,no,no,cellular,other,yes,
171,admin.,single,secondary,no,no,cellular,success,no,
172,admin.,single,secondary,no,no,cellular,unknown,no,
173,admin.,single,secondary,no,no,telephone,failure,no,
174,admin.,single,secondary,no,no,telephone,other,yes,
175,admin.,single,secondary,no,no,telephone,success,yes,
176,admin.,single,secondary,no,no,telephone,unknown,no,
177,admin.,single,secondary,no,no,unknown,unknown,no,no
178,admin.,single,secondary,no,yes,cellular,failure,no,
179,admin.,single,secondary,no,yes,cellular,other,no,
180,admin.,single,secondary,no,yes,cellular,success,no,
181,admin.,single,secondary,no,yes,cellular,unknown,no,no
182,admin.,single,secondary,no,yes,telephone,failure,no,
183,admin.,single,secondary,no,yes,telephone,unknown,no,
184,admin.,single,secondary,no,yes,unknown,failure,no,
185,admin.,single,secondary,no,yes,unknown,unknown,no,
186,admin.,single,secondary,yes,no,cellular,failure,no,no
187,admin.,single,secondary,yes,no,cellular,other,no,
188,admin.,single,secondary,yes,no,cellular,success,no,
189,admin.,single,secondary,yes,no,cellular,unknown,no,no
190,admin.,single,secondary,yes,no,telephone,failure,no,
191,admin.,single,secondary,yes,no,telephone,other,no,
192,admin.,single,secondary,yes,no,telephone,unknown,no,
193,admin.,single,secondary,yes,no,unknown,other,yes,
194,admin.,single,secondary,yes,no,unknown,unknown,no,no
195,admin.,single,secondary,yes,yes,cellular,failure,no,
196,admin.,single,secondary,yes,yes,cellular,other,no,
197,admin.,single,secondary,yes,yes,cellular,success,no,
198,admin.,single,secondary,yes,yes,cellular,unknown,no,no
199,admin.,single,secondary,yes,yes,telephone,failure,no,
200,admin.,single,secondary,yes,yes,telephone,other,yes,
201,admin.,single,secondary,yes,yes,telephone,unknown,no,
202,admin.,single,secondary,yes,yes,unknown,unknown,no,
203,admin.,single,tertiary,no,no,cellular,failure,no,
204,admin.,single,tertiary,no,no,cellular,other,no,
205,admin.,single,tertiary,no,no,cellular,success,no,
206,admin.,single,tertiary,no,no,cellular,unknown,no,
207,admin.,single,tertiary,no,no,telephone,failure,yes,
208,admin.,single,tertiary,no,no,telephone,other,no,
209,admin.,single,tertiary,no,no,telephone,unknown,no,
210,admin.,single,tertiary,no,no,unknown,unknown,no,
211,admin.,single,tertiary,no,yes,cellular,failure,no,
212,admin.,single,tertiary,no,yes,cellular,success,no,
213,admin.,single,tertiary,no,yes,cellular,unknown,no,
214,admin.,single,tertiary,no,yes,unknown,unknown,yes,
215,admin.,single,tertiary,yes,no,cellular,failure,no,
216,admin.,single,tertiary,yes,no,cellular,other,no,
217,admin.,single,tertiary,yes,no,cellular,success,no,
218,admin.,single,tertiary,yes,no,cellular,unknown,no,
219,admin.,single,tertiary,yes,no,unknown,unknown,no,
220,admin.,single,tertiary,yes,yes,cellular,success,no,
221,admin.,single,tertiary,yes,yes,cellular,unknown,yes,
222,admin.,single,tertiary,yes,yes,unknown,unknown,no,
223,admin.,single,unknown,no,no,cellular,unknown,no,
224,admin.,single,unknown,no,no,unknown,unknown,no,no
225,admin.,single,unknown,yes,no,cellular,failure,no,
226,admin.,single,unknown,yes,no,cellular,other,no,
227,admin.,single,unknown,yes,no,cellular,unknown,no,no
228,admin.,single,unknown,yes,no,telephone,other,no,
229,admin.,single,unknown,yes,no,unknown,unknown,no,
230,blue-collar,divorced,primary,no,no,cellular,failure,yes,
231,blue-collar,divorced,primary,no,no,cellular,other,no,
232,blue-collar,divorced,primary,no,no,cellular,unknown,no,no
233,blue-collar,divorced,primary,no,no,telephone,success,yes,
234,blue-collar,divorced,primary,no,no,telephone,unknown,no,
235,blue-collar,divorced,primary,no,no,unknown,unknown,no,
236,blue-collar,divorced,primary,no,yes,cellular,unknown,no,no
237,blue-collar,divorced,primary,no,yes,telephone,unknown,no,
238,blue-collar,divorced,primary,no,yes,unknown,unknown,no,
239,blue-collar,divorced,primary,yes,no,cellular,failure,no,no
240,blue-collar,divorced,primary,yes,no,cellular,other,no,
241,blue-collar,divorced,primary,yes,no,cellular,success,no,
242,blue-collar,divorced,primary,yes,no,cellular,unknown,no,no
243,blue-collar,divorced,primary,yes,no,telephone,failure,no,
244,blue-collar,divorced,primary,yes,no,telephone,unknown,no,no
245,blue-collar,divorced,primary,yes,no,unknown,unknown,no,no
246,blue-collar,divorced,primary,yes,yes,cellular,failure,no,
247,blue-collar,divorced,primary,yes,yes,cellular,unknown,no,
248,blue-collar,divorced,primary,yes,yes,unknown,unknown,no,
249,blue-collar,divorced,secondary,no,no,cellular,failure,no,
250,blue-collar,divorced,secondary,no,no,cellular,other,no,
251,blue-collar,divorced,secondary,no,no,cellular,success,no,
252,blue-collar,divorced,secondary,no,no,cellular,unknown,no,
253,blue-collar,divorced,secondary,no,no,telephone,unknown,no,
254,blue-collar,divorced,secondary,no,no,unknown,unknown,no,no
255,blue-collar,divorced,secondary,no,yes,cellular,failure,no,
256,blue-collar,divorced,secondary,no,yes,cellular,unknown,no,
257,blue-collar,divorced,secondary,no,yes,telephone,unknown,no,
258,blue-collar,divorced,secondary,no,yes,unknown,unknown,no,no
259,blue-collar,divorced,secondary,yes,no,cellular,failure,no,no
260,blue-collar,divorced,secondary,yes,no,cellular,other,no,
261,blue-collar,divorced,secondary,yes,no,cellular,success,no,
262,blue-collar,divorced,secondary,yes,no,cellular,unknown,no,no
263,blue-collar,divorced,secondary,yes,no,telephone,failure,no,
264,blue-collar,divorced,secondary,yes,no,telephone,other,no,
265,blue-collar,divorced,secondary,yes,no,telephone,success,yes,
266,blue-collar,divorced,secondary,yes,no,telephone,unknown,yes,
267,blue-collar,divorced,secondary,yes,no,unknown,other,no,
268,blue-collar,divorced,secondary,yes,no,unknown,unknown,no,no
269,blue-collar,divorced,secondary,yes,yes,cellular,failure,no,
270,blue-collar,divorced,secondary,yes,yes,cellular,other,no,
271,blue-collar,divorced,secondary,yes,yes,cellular,unknown,no,no
272,blue-collar,divorced,secondary,yes,yes,unknown,unknown,no,
273,blue-collar,divorced,tertiary,no,no,cellular,other,no,
274,blue-collar,divorced,tertiary,no,no,cellular,unknown,no,
275,blue-collar,divorced,tertiary,yes,no,cellular,unknown,no,
276,blue-collar,divorced,tertiary,yes,no,unknown,unknown,no,
277,blue-collar,divorced,unknown,no,no,cellular,other,no,
278,blue-collar,divorced,unknown,no,no,cellular,unknown,no,
279,blue-collar,divorced,unknown,no,no,unknown,other,no,
280,blue-collar,divorced,unknown,no,no,unknown,unknown,yes,no
281,blue-collar,divorced,unknown,no,yes,cellular,unknown,no,
282,blue-collar,divorced,unknown,no,yes,unknown,unknown,no,
283,blue-collar,divorced,unknown,yes,no,cellular,failure,no,
284,blue-collar,divorced,unknown,yes,no,cellular,unknown,no,
285,blue-collar,divorced,unknown,yes,no,unknown,unknown,no,
286,blue-collar,divorced,unknown,yes,yes,cellular,failure,,yes
287,blue-collar,divorced,unknown,yes,yes,unknown,unknown,no,no
288,blue-collar,married,primary,no,no,cellular,failure,no,
289,blue-collar,married,primary,no,no,cellular,other,no,
290,blue-collar,married,primary,no,no,cellular,success,yes,
291,blue-collar,married,primary,no,no,cellular,unknown,no,no
292,blue-collar,married,primary,no,no,telephone,failure,yes,
293,blue-collar,married,primary,no,no,telephone,other,no,
294,blue-collar,married,primary,no,no,telephone,success,no,
295,blue-collar,married,primary,no,no,telephone,unknown,no,
296,blue-collar,married,primary,no,no,unknown,unknown,no,no
297,blue-collar,married,primary,no,yes,cellular,failure,no,
298,blue-collar,married,primary,no,yes,cellular,other,no,
299,blue-collar,married,primary,no,yes,cellular,unknown,no,no
300,blue-collar,married,primary,no,yes,telephone,failure,no,
301,blue-collar,married,primary,no,yes,telephone,unknown,yes,no
302,blue-collar,married,primary,no,yes,unknown,unknown,no,no
303,blue-collar,married,primary,yes,no,cellular,failure,no,
304,blue-collar,married,primary,yes,no,cellular,other,no,no
305,blue-collar,married,primary,yes,no,cellular,success,no,
306,blue-collar,married,primary,yes,no,cellular,unknown,no,no
307,blue-collar,married,primary,yes,no,telephone,failure,no,
308,blue-collar,married,primary,yes,no,telephone,other,no,
309,blue-collar,married,primary,yes,no,telephone,unknown,no,
310,blue-collar,married,primary,yes,no,unknown,failure,no,
311,blue-collar,married,primary,yes,no,unknown,other,no,
312,blue-collar,married,primary,yes,no,unknown,unknown,no,no
313,blue-collar,married,primary,yes,yes,cellular,failure,no,
314,blue-collar,married,primary,yes,yes,cellular,other,no,
315,blue-collar,married,primary,yes,yes,cellular,unknown,no,no
316,blue-collar,married,primary,yes,yes,telephone,failure,no,
317,blue-collar,married,primary,yes,yes,telephone,other,no,
318,blue-collar,married,primary,yes,yes,telephone,unknown,no,
319,blue-collar,married,primary,yes,yes,unknown,unknown,no,no
320,blue-collar,married,secondary,no,no,cellular,failure,no,
321,blue-collar,married,secondary,no,no,cellular,other,no,
322,blue-collar,married,secondary,no,no,cellular,success,yes,
323,blue-collar,married,secondary,no,no,cellular,unknown,no,no
324,blue-collar,married,secondary,no,no,telephone,failure,no,
325,blue-collar,married,secondary,no,no,telephone,other,no,
326,blue-collar,married,secondary,no,no,telephone,unknown,no,
327,blue-collar,married,secondary,no,no,unknown,other,no,
328,blue-collar,married,secondary,no,no,unknown,unknown,no,no
329,blue-collar,married,secondary,no,yes,cellular,failure,no,
330,blue-collar,married,secondary,no,yes,cellular,other,no,
331,blue-collar,married,secondary,no,yes,cellular,success,yes,
332,blue-collar,married,secondary,no,yes,cellular,unknown,no,no
333,blue-collar,married,secondary,no,yes,telephone,failure,no,
334,blue-collar,married,secondary,no,yes,telephone,unknown,no,
335,blue-collar,married,secondary,no,yes,unknown,failure,no,
336,blue-collar,married,secondary,no,yes,unknown,unknown,no,no
337,blue-collar,married,secondary,yes,no,cellular,failure,no,no
338,blue-collar,married,secondary,yes,no,cellular,other,no,yes
339,blue-collar,married,secondary,yes,no,cellular,success,yes,
340,blue-collar,married,secondary,yes,no,cellular,unknown,no,no
341,blue-collar,married,secondary,yes,no,telephone,failure,no,
342,blue-collar,married,secondary,yes,no,telephone,other,no,
343,blue-collar,married,secondary,yes,no,telephone,success,yes,
344,blue-collar,married,secondary,yes,no,telephone,unknown,no,no
345,blue-collar,married,secondary,yes,no,unknown,failure,no,
346,blue-collar,married,secondary,yes,no,unknown,other,no,
347,blue-collar,married,secondary,yes,no,unknown,success,no,
348,blue-collar,married,secondary,yes,no,unknown,unknown,no,no
349,blue-collar,married,secondary,yes,yes,cellular,failure,no,no
350,blue-collar,married,secondary,yes,yes,cellular,other,no,
351,blue-collar,married,secondary,yes,yes,cellular,success,no,
352,blue-collar,married,secondary,yes,yes,cellular,unknown,no,no
353,blue-collar,married,secondary,yes,yes,telephone,failure,no,
354,blue-collar,married,secondary,yes,yes,telephone,other,no,
355,blue-collar,married,secondary,yes,yes,telephone,unknown,no,no
356,blue-collar,married,secondary,yes,yes,unknown,failure,no,
357,blue-collar,married,secondary,yes,yes,unknown,other,no,
358,blue-collar,married,secondary,yes,yes,unknown,unknown,no,no
359,blue-collar,married,tertiary,no,no,cellular,failure,no,
360,blue-collar,married,tertiary,no,no,cellular,other,no,
361,blue-collar,married,tertiary,no,no,cellular,unknown,no,no
362,blue-collar,married,tertiary,no,no,unknown,unknown,no,
363,blue-collar,married,tertiary,no,yes,cellular,unknown,no,
364,blue-collar,married,tertiary,no,yes,unknown,unknown,no,
365,blue-collar,married,tertiary,yes,no,cellular,failure,no,
366,blue-collar,married,tertiary,yes,no,cellular,other,no,
367,blue-collar,married,tertiary,yes,no,cellular,success,no,
368,blue-collar,married,tertiary,yes,no,cellular,unknown,no,no
369,blue-collar,married,tertiary,yes,no,telephone,unknown,no,
370,blue-collar,married,tertiary,yes,no,unknown,unknown,yes,
371,blue-collar,married,tertiary,yes,yes,cellular,failure,no,
372,blue-collar,married,tertiary,yes,yes,cellular,unknown,no,
373,blue-collar,married,tertiary,yes,yes,unknown,unknown,no,
374,blue-collar,married,unknown,no,no,cellular,failure,no,
375,blue-collar,married,unknown,no,no,cellular,other,no,
376,blue-collar,married,unknown,no,no,cellular,success,no,
377,blue-collar,married,unknown,no,no,cellular,unknown,no,yes
378,blue-collar,married,unknown,no,no,telephone,unknown,no,
379,blue-collar,married,unknown,no,no,unknown,unknown,no,
380,blue-collar,married,unknown,no,yes,cellular,unknown,no,
381,blue-collar,married,unknown,no,yes,unknown,other,no,
382,blue-collar,married,unknown,no,yes,unknown,unknown,no,
383,blue-collar,married,unknown,yes,no,cellular,failure,no,
384,blue-collar,married,unknown,yes,no,cellular,other,yes,
385,blue-collar,married,unknown,yes,no,cellular,success,yes,
386,blue-collar,married,unknown,yes,no,cellular,unknown,no,
387,blue-collar,married,unknown,yes,no,telephone,failure,no,
388,blue-collar,married,unknown,yes,no,telephone,other,no,
389,blue-collar,married,unknown,yes,no,telephone,unknown,no,
390,blue-collar,married,unknown,yes,no,unknown,unknown,no,no
391,blue-collar,married,unknown,yes,yes,cellular,failure,no,
392,blue-collar,married,unknown,yes,yes,cellular,other,no,
393,blue-collar,married,unknown,yes,yes,cellular,unknown,no,no
394,blue-collar,married,unknown,yes,yes,unknown,unknown,no,
395,blue-collar,single,primary,no,no,cellular,failure,no,
396,blue-collar,single,primary,no,no,cellular,other,no,
397,blue-collar,single,primary,no,no,cellular,unknown,no,no
398,blue-collar,single,primary,no,no,telephone,unknown,no,
399,blue-collar,single,primary,no,no,unknown,unknown,no,
400,blue-collar,single,primary,no,yes,cellular,unknown,no,no
401,blue-collar,single,primary,no,yes,telephone,unknown,no,
402,blue-collar,single,primary,no,yes,unknown,unknown,no,
403,blue-collar,single,primary,yes,no,cellular,failure,no,
404,blue-collar,single,primary,yes,no,cellular,other,yes,
405,blue-collar,single,primary,yes,no,cellular,success,no,
406,blue-collar,single,primary,yes,no,cellular,unknown,no,no
407,blue-collar,single,primary,yes,no,telephone,failure,no,
408,blue-collar,single,primary,yes,no,telephone,other,no,
409,blue-collar,single,primary,yes,no,telephone,unknown,no,
410,blue-collar,single,primary,yes,no,unknown,unknown,no,
411,blue-collar,single,primary,yes,yes,cellular,failure,no,
412,blue-collar,single,primary,yes,yes,cellular,other,no,
413,blue-collar,single,primary,yes,yes,cellular,unknown,no,
414,blue-collar,single,primary,yes,yes,telephone,unknown,no,
415,blue-collar,single,primary,yes,yes,unknown,unknown,no,no
416,blue-collar,single,secondary,no,no,cellular,failure,yes,no
417,blue-collar,single,secondary,no,no,cellular,other,no,
418,blue-collar,single,secondary,no,no,cellular,success,yes,
419,blue-collar,single,secondary,no,no,cellular,unknown,no,no
420,blue-collar,single,secondary,no,no,telephone,failure,no,
421,blue-collar,single,secondary,no,no,telephone,other,no,
422,blue-collar,single,secondary,no,no,telephone,unknown,no,
423,blue-collar,single,secondary,no,no,unknown,other,yes,
424,blue-collar,single,secondary,no,no,unknown,success,yes,
425,blue-collar,single,secondary,no,no,unknown,unknown,no,no
426,blue-collar,single,secondary,no,yes,cellular,failure,no,
427,blue-collar,single,secondary,no,yes,cellular,other,no,
428,blue-collar,single,secondary,no,yes,cellular,success,yes,no
429,blue-collar,single,secondary,no,yes,cellular,unknown,no,no
430,blue-collar,single,secondary,no,yes,telephone,unknown,no,
431,blue-collar,single,secondary,no,yes,unknown,unknown,no,
432,blue-collar,single,secondary,yes,no,cellular,failure,no,no
433,blue-collar,single,secondary,yes,no,cellular,other,no,no
434,blue-collar,single,secondary,yes,no,cellular,success,yes,
435,blue-collar,single,secondary,yes,no,cellular,unknown,no,no
436,blue-collar,single,secondary,yes,no,telephone,failure,no,
437,blue-collar,single,secondary,yes,no,telephone,other,no,
438,blue-collar,single,secondary,yes,no,telephone,success,no,
439,blue-collar,single,secondary,yes,no,telephone,unknown,no,no
440,blue-collar,single,secondary,yes,no,unknown,failure,no,
441,blue-collar,single,secondary,yes,no,unknown,unknown,no,no
442,blue-collar,single,secondary,yes,yes,cellular,failure,no,no
443,blue-collar,single,secondary,yes,yes,cellular,other,no,no
444,blue-collar,single,secondary,yes,yes,cellular,unknown,yes,no
445,blue-collar,single,secondary,yes,yes,telephone,unknown,no,
446,blue-collar,single,secondary,yes,yes,unknown,unknown,no,no
447,blue-collar,single,tertiary,no,no,cellular,failure,no,
448,blue-collar,single,tertiary,no,no,cellular,success,yes,
449,blue-collar,single,tertiary,no,no,cellular,unknown,no,
450,blue-collar,single,tertiary,no,no,telephone,success,yes,
451,blue-collar,single,tertiary,no,no,telephone,unknown,yes,
452,blue-collar,single,tertiary,no,no,unknown,unknown,no,
453,blue-collar,single,tertiary,no,yes,cellular,unknown,no,no
454,blue-collar,single,tertiary,yes,no,cellular,failure,no,
455,blue-collar,single,tertiary,yes,no,cellular,success,no,
456,blue-collar,single,tertiary,yes,no,cellular,unknown,no,
457,blue-collar,single,tertiary,yes,no,telephone,unknown,no,
458,blue-collar,single,tertiary,yes,no,unknown,unknown,no,
459,blue-collar,single,tertiary,yes,yes,cellular,failure,no,
460,blue-collar,single,tertiary,yes,yes,unknown,unknown,no,
461,blue-collar,single,unknown,no,no,cellular,failure,yes,
462,blue-collar,single,unknown,no,no,cellular,other,yes,
463,blue-collar,single,unknown,no,no,cellular,unknown,no,
464,blue-collar,single,unknown,no,no,telephone,unknown,no,
465,blue-collar,single,unknown,no,no,unknown,unknown,no,
466,blue-collar,single,unknown,no,yes,cellular,unknown,no,
467,blue-collar,single,unknown,yes,no,cellular,failure,no,
468,blue-collar,single,unknown,yes,no,cellular,unknown,no,no
469,blue-collar,single,unknown,yes,no,telephone,failure,no,
470,blue-collar,single,unknown,yes,no,telephone,unknown,no,no
471,blue-collar,single,unknown,yes,no,unknown,unknown,no,no
472,blue-collar,single,unknown,yes,yes,cellular,failure,yes,
473,blue-collar,single,unknown,yes,yes,cellular,other,no,
474,blue-collar,single,unknown,yes,yes,cellular,success,no,
475,blue-collar,single,unknown,yes,yes,cellular,unknown,no,
476,blue-collar,single,unknown,yes,yes,unknown,unknown,no,no
477,entrepreneur,divorced,primary,no,no,cellular,failure,no,
478,entrepreneur,divorced,primary,no,no,cellular,unknown,no,no
479,entrepreneur,divorced,primary,no,no,unknown,unknown,no,
