,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Prior_purchases,Product_importance,ArrivedLate F,ArrivedLate M
356,A,Ship,2,4,5,medium,,No
357,A,Ship,2,4,6,medium,,Yes
358,A,Ship,2,5,2,high,No,
359,A,Ship,2,5,2,low,Yes,
360,A,Ship,2,5,3,low,Yes,Yes
361,A,Ship,2,5,3,medium,No,No
362,A,Ship,2,5,4,medium,No,Yes
363,A,Ship,2,5,6,low,Yes,No
364,A,Ship,3,1,2,low,Yes,Yes
365,A,Ship,3,1,2,medium,Yes,Yes
366,A,Ship,3,1,3,high,Yes,
367,A,Ship,3,1,3,low,No,Yes
368,A,Ship,3,1,3,medium,Yes,No
369,A,Ship,3,1,4,low,Yes,Yes
370,A,Ship,3,1,4,medium,Yes,Yes
371,A,Ship,3,1,5,low,No,
372,A,Ship,3,1,5,medium,No,
373,A,Ship,3,1,6,low,,No
374,A,Ship,3,1,6,medium,Yes,
375,A,Ship,3,1,8,low,,No
376,A,Ship,3,1,8,medium,Yes,No
377,A,Ship,3,1,10,low,,Yes
378,A,Ship,3,2,2,high,,No
379,A,Ship,3,2,2,low,No,Yes
380,A,Ship,3,2,2,medium,No,No
381,A,Ship,3,2,3,high,Yes,Yes
382,A,Ship,3,2,3,low,Yes,Yes
383,A,Ship,3,2,3,medium,No,No
384,A,Ship,3,2,4,high,,No
385,A,Ship,3,2,4,low,Yes,Yes
386,A,Ship,3,2,4,medium,Yes,Yes
387,A,Ship,3,2,5,low,Yes,No
388,A,Ship,3,2,5,medium,Yes,
389,A,Ship,3,2,6,medium,Yes,Yes
390,A,Ship,3,2,7,medium,,Yes
391,A,Ship,3,2,8,high,,Yes
392,A,Ship,3,2,8,low,No,
393,A,Ship,3,2,8,medium,,Yes
394,A,Ship,3,2,10,high,Yes,
395,A,Ship,3,2,10,low,,No
396,A,Ship,3,3,2,low,No,No
397,A,Ship,3,3,2,medium,Yes,Yes
398,A,Ship,3,3,3,high,Yes,Yes
399,A,Ship,3,3,3,low,Yes,Yes
400,A,Ship,3,3,3,medium,Yes,Yes
401,A,Ship,3,3,4,high,Yes,
402,A,Ship,3,3,4,low,Yes,Yes
403,A,Ship,3,3,4,medium,Yes,No
404,A,Ship,3,3,5,low,No,
405,A,Ship,3,3,5,medium,No,
406,A,Ship,3,3,6,low,,Yes
407,A,Ship,3,3,7,high,No,
408,A,Ship,3,3,7,low,,Yes
409,A,Ship,3,3,10,medium,,No
410,A,Ship,3,4,2,high,Yes,
411,A,Ship,3,4,2,low,Yes,No
412,A,Ship,3,4,2,medium,Yes,Yes
413,A,Ship,3,4,3,high,,Yes
414,A,Ship,3,4,3,low,No,No
415,A,Ship,3,4,3,medium,Yes,Yes
416,A,Ship,3,4,4,low,No,Yes
417,A,Ship,3,4,4,medium,,No
418,A,Ship,3,4,5,low,,Yes
419,A,Ship,3,4,6,medium,,Yes
420,A,Ship,3,4,8,low,Yes,Yes
421,A,Ship,3,4,10,high,,No
422,A,Ship,3,4,10,low,,Yes
423,A,Ship,3,5,2,high,No,Yes
424,A,Ship,3,5,2,low,Yes,Yes
425,A,Ship,3,5,2,medium,Yes,No
426,A,Ship,3,5,3,high,No,Yes
427,A,Ship,3,5,3,low,Yes,No
428,A,Ship,3,5,3,medium,Yes,Yes
429,A,Ship,3,5,4,low,Yes,
430,A,Ship,3,5,4,medium,No,Yes
431,A,Ship,3,5,5,high,No,
432,A,Ship,3,5,5,low,,Yes
433,A,Ship,3,5,6,medium,,No
434,A,Ship,3,5,7,low,Yes,
435,A,Ship,3,5,10,high,Yes,
436,A,Ship,3,5,10,medium,,Yes
437,A,Ship,4,1,2,high,,Yes
438,A,Ship,4,1,2,low,No,Yes
439,A,Ship,4,1,2,medium,No,Yes
440,A,Ship,4,1,3,high,Yes,No
441,A,Ship,4,1,3,low,No,Yes
442,A,Ship,4,1,3,medium,Yes,No
443,A,Ship,4,1,4,low,No,Yes
444,A,Ship,4,1,4,medium,Yes,No
445,A,Ship,4,1,5,high,,Yes
446,A,Ship,4,1,5,low,No,
447,A,Ship,4,1,5,medium,Yes,Yes
448,A,Ship,4,1,6,low,No,No
449,A,Ship,4,1,8,low,,No
450,A,Ship,4,1,8,medium,Yes,
451,A,Ship,4,1,10,low,Yes,
452,A,Ship,4,2,2,high,Yes,Yes
453,A,Ship,4,2,2,low,No,Yes
454,A,Ship,4,2,2,medium,Yes,Yes
455,A,Ship,4,2,3,low,Yes,Yes
456,A,Ship,4,2,3,medium,No,Yes
457,A,Ship,4,2,4,high,Yes,
458,A,Ship,4,2,4,low,Yes,Yes
459,A,Ship,4,2,4,medium,Yes,No
460,A,Ship,4,2,5,low,No,No
461,A,Ship,4,2,5,medium,No,No
462,A,Ship,4,2,6,high,No,
463,A,Ship,4,2,6,low,,No
464,A,Ship,4,2,6,medium,Yes,Yes
465,A,Ship,4,2,7,medium,,Yes
466,A,Ship,4,2,10,high,,Yes
467,A,Ship,4,3,2,low,No,No
468,A,Ship,4,3,2,medium,Yes,Yes
469,A,Ship,4,3,3,high,Yes,
470,A,Ship,4,3,3,low,Yes,Yes
471,A,Ship,4,3,3,medium,Yes,Yes
472,A,Ship,4,3,4,low,Yes,Yes
473,A,Ship,4,3,4,medium,No,No
474,A,Ship,4,3,5,low,Yes,No
475,A,Ship,4,3,5,medium,No,Yes
476,A,Ship,4,3,6,high,,No
477,A,Ship,4,3,6,low,,Yes
478,A,Ship,4,3,6,medium,Yes,No
479,A,Ship,4,3,7,high,,Yes
480,A,Ship,4,3,8,medium,No,
481,A,Ship,4,3,10,high,,Yes
482,A,Ship,4,3,10,medium,,No
483,A,Ship,4,4,2,low,Yes,No
484,A,Ship,4,4,2,medium,Yes,Yes
485,A,Ship,4,4,3,high,Yes,Yes
486,A,Ship,4,4,3,low,Yes,No
487,A,Ship,4,4,3,medium,Yes,Yes
488,A,Ship,4,4,4,high,Yes,
489,A,Ship,4,4,4,low,No,Yes
490,A,Ship,4,4,4,medium,No,Yes
491,A,Ship,4,4,5,high,Yes,
492,A,Ship,4,4,5,low,No,Yes
493,A,Ship,4,4,5,medium,Yes,Yes
494,A,Ship,4,4,6,low,No,No
495,A,Ship,4,4,6,medium,Yes,Yes
496,A,Ship,4,4,7,medium,No,
497,A,Ship,4,4,10,high,,Yes
498,A,Ship,4,4,10,medium,,No
499,A,Ship,4,5,2,low,No,Yes
500,A,Ship,4,5,2,medium,Yes,No
501,A,Ship,4,5,3,high,Yes,Yes
502,A,Ship,4,5,3,low,No,No
503,A,Ship,4,5,3,medium,No,No
504,A,Ship,4,5,4,high,Yes,
505,A,Ship,4,5,4,low,Yes,Yes
506,A,Ship,4,5,4,medium,Yes,No
507,A,Ship,4,5,5,low,Yes,Yes
508,A,Ship,4,5,5,medium,Yes,No
509,A,Ship,4,5,6,medium,,Yes
510,A,Ship,4,5,7,medium,Yes,Yes
511,A,Ship,4,5,8,low,,Yes
512,A,Ship,5,1,2,high,Yes,
513,A,Ship,5,1,2,low,No,Yes
514,A,Ship,5,1,2,medium,Yes,No
515,A,Ship,5,1,3,low,Yes,Yes
516,A,Ship,5,1,3,medium,Yes,Yes
517,A,Ship,5,1,4,high,Yes,
518,A,Ship,5,1,4,low,Yes,Yes
519,A,Ship,5,1,4,medium,No,No
520,A,Ship,5,1,5,high,No,
521,A,Ship,5,1,5,low,No,Yes
522,A,Ship,5,1,5,medium,Yes,No
523,A,Ship,5,1,6,low,Yes,No
524,A,Ship,5,1,6,medium,No,Yes
525,A,Ship,5,1,8,low,Yes,
526,A,Ship,5,2,2,low,,Yes
527,A,Ship,5,2,2,medium,No,No
528,A,Ship,5,2,3,high,Yes,
529,A,Ship,5,2,3,low,Yes,No
530,A,Ship,5,2,3,medium,No,Yes
531,A,Ship,5,2,4,high,No,
532,A,Ship,5,2,4,low,Yes,Yes
533,A,Ship,5,2,4,medium,No,Yes
534,A,Ship,5,2,5,high,Yes,Yes
535,A,Ship,5,2,5,low,No,Yes
536,A,Ship,5,2,5,medium,Yes,No
537,A,Ship,5,2,6,low,,No
538,A,Ship,5,2,6,medium,Yes,
539,A,Ship,5,2,7,medium,Yes,
540,A,Ship,5,2,8,low,No,
541,A,Ship,5,2,8,medium,,Yes
542,A,Ship,5,3,2,low,,Yes
543,A,Ship,5,3,2,medium,,No
544,A,Ship,5,3,3,high,Yes,
545,A,Ship,5,3,3,low,No,Yes
546,A,Ship,5,3,3,medium,No,Yes
547,A,Ship,5,3,4,low,Yes,
548,A,Ship,5,3,4,medium,Yes,Yes
549,A,Ship,5,3,5,low,No,No
550,A,Ship,5,3,5,medium,Yes,
551,A,Ship,5,3,6,low,No,
552,A,Ship,5,3,6,medium,Yes,
553,A,Ship,5,3,8,low,Yes,
554,A,Ship,5,3,10,medium,No,
555,A,Ship,5,4,2,high,Yes,
556,A,Ship,5,4,2,low,No,Yes
557,A,Ship,5,4,2,medium,No,No
558,A,Ship,5,4,3,high,No,No
559,A,Ship,5,4,3,low,Yes,Yes
560,A,Ship,5,4,3,medium,Yes,Yes
561,A,Ship,5,4,4,high,,Yes
562,A,Ship,5,4,4,low,No,Yes
563,A,Ship,5,4,4,medium,Yes,Yes
564,A,Ship,5,4,5,low,Yes,Yes
565,A,Ship,5,4,5,medium,No,Yes
566,A,Ship,5,4,6,low,No,Yes
567,A,Ship,5,5,2,high,No,Yes
568,A,Ship,5,5,2,low,,No
569,A,Ship,5,5,2,medium,No,Yes
570,A,Ship,5,5,3,high,,No
571,A,Ship,5,5,3,low,No,Yes
572,A,Ship,5,5,3,medium,Yes,
573,A,Ship,5,5,4,high,,Yes
574,A,Ship,5,5,4,low,Yes,No
575,A,Ship,5,5,4,medium,No,Yes
576,A,Ship,5,5,5,high,Yes,
577,A,Ship,5,5,5,low,No,Yes
578,A,Ship,5,5,5,medium,No,No
579,A,Ship,5,5,6,low,Yes,No
580,A,Ship,5,5,8,high,Yes,
581,A,Ship,6,1,2,medium,Yes,
582,A,Ship,6,1,3,high,No,
583,A,Ship,6,1,4,low,Yes,No
584,A,Ship,6,1,5,high,,No
585,A,Ship,6,1,5,low,No,Yes
586,A,Ship,6,1,6,low,Yes,
587,A,Ship,6,1,7,medium,No,
588,A,Ship,6,2,2,low,Yes,
589,A,Ship,6,2,3,low,Yes,No
590,A,Ship,6,2,3,medium,,Yes
591,A,Ship,6,2,4,low,Yes,Yes
592,A,Ship,6,2,4,medium,Yes,Yes
593,A,Ship,6,2,5,low,,No
594,A,Ship,6,2,6,low,No,
595,A,Ship,6,2,7,high,,No
596,A,Ship,6,3,2,high,,Yes
597,A,Ship,6,3,2,low,,Yes
598,A,Ship,6,3,4,high,No,
599,A,Ship,6,3,4,low,Yes,No
600,A,Ship,6,3,4,medium,No,No
601,A,Ship,6,3,5,low,,Yes
602,A,Ship,6,3,5,medium,Yes,
603,A,Ship,6,3,6,high,,No
604,A,Ship,6,3,6,medium,Yes,
605,A,Ship,6,4,2,high,,No
606,A,Ship,6,4,3,low,No,
607,A,Ship,6,4,3,medium,,No
608,A,Ship,6,4,4,low,Yes,No
609,A,Ship,6,4,4,medium,Yes,Yes
610,A,Ship,6,4,5,low,Yes,Yes
611,A,Ship,6,4,5,medium,Yes,Yes
612,A,Ship,6,4,6,medium,Yes,
613,A,Ship,6,5,2,low,Yes,
614,A,Ship,6,5,3,medium,Yes,
615,A,Ship,6,5,4,low,,No
616,A,Ship,6,5,4,medium,No,Yes
617,A,Ship,6,5,5,high,Yes,
618,A,Ship,6,5,5,low,No,Yes
619,A,Ship,6,5,6,medium,Yes,
620,A,Ship,6,5,7,medium,,No
621,A,Ship,7,1,4,low,No,
622,A,Ship,7,1,4,medium,No,No
623,A,Ship,7,2,4,low,No,No
624,A,Ship,7,2,4,medium,,Yes
625,A,Ship,7,3,4,low,No,No
626,A,Ship,7,3,4,medium,No,No
627,A,Ship,7,5,3,low,,Yes
628,A,Ship,7,5,4,low,No,Yes
629,A,Ship,7,5,4,medium,No,
630,B,Flight,2,1,2,low,No,
631,B,Flight,2,1,2,medium,Yes,
632,B,Flight,2,1,3,low,,No
633,B,Flight,2,1,4,low,,No
634,B,Flight,2,1,4,medium,No,
635,B,Flight,2,2,3,low,,Yes
636,B,Flight,2,3,2,medium,Yes,
637,B,Flight,2,3,6,high,Yes,
638,B,Flight,2,4,3,medium,,Yes
639,B,Flight,2,4,4,medium,,Yes
640,B,Flight,2,4,5,medium,,No
641,B,Flight,2,4,10,high,,Yes
642,B,Flight,2,5,2,medium,,Yes
643,B,Flight,2,5,3,medium,,Yes
644,B,Flight,2,5,5,medium,Yes,
645,B,Flight,2,5,6,high,Yes,
646,B,Flight,3,1,2,low,Yes,Yes
647,B,Flight,3,1,3,high,Yes,No
648,B,Flight,3,1,3,low,Yes,Yes
649,B,Flight,3,1,3,medium,,Yes
650,B,Flight,3,1,4,low,,Yes
651,B,Flight,3,1,6,medium,No,
652,B,Flight,3,1,7,medium,No,
