,age,month_sold,structure_quality,SALE_PRC 0.0,SALE_PRC 1.0
156,4,11,4,445000.0,
157,4,12,2,205000.0,
158,4,12,4,426000.0,
159,5,1,2,320000.0,
160,5,2,2,165000.0,
161,5,2,4,430000.0,
162,5,2,5,1410000.0,
163,5,3,2,240000.0,
164,5,3,4,235000.0,
165,5,3,5,1250000.0,
166,5,4,2,263000.0,
167,5,4,4,140000.0,
168,5,4,5,1550000.0,
169,5,5,2,218000.0,
170,5,5,4,414000.0,
171,5,5,5,675000.0,
172,5,6,2,216000.0,
173,5,6,4,250000.0,
174,5,6,5,950000.0,
175,5,7,2,200000.0,
176,5,7,4,292500.0,
177,5,8,2,210000.0,
178,5,8,4,480000.0,
179,5,9,2,370000.0,
180,5,9,4,231500.0,
181,5,10,2,277000.0,
182,5,10,4,282500.0,
183,5,11,4,205000.0,
184,5,11,5,785000.0,
185,5,12,2,160000.0,
186,5,12,4,390000.0,
187,5,12,5,1450000.0,
188,6,1,4,475000.0,
189,6,1,5,1050000.0,
190,6,2,2,297500.0,
191,6,2,4,410000.0,
192,6,2,5,895000.0,
193,6,3,2,235000.0,
194,6,3,4,329700.0,
195,6,3,5,1650000.0,
196,6,4,2,235000.0,
197,6,4,4,350000.0,
198,6,4,5,2650000.0,
199,6,5,2,250000.0,
200,6,5,4,495000.0,
201,6,5,5,1200000.0,
202,6,6,2,249000.0,
203,6,6,4,465000.0,
204,6,6,5,780000.0,
205,6,7,2,315000.0,
206,6,7,4,402000.0,
207,6,7,5,1285000.0,
208,6,8,2,235000.0,
209,6,8,3,1900000.0,
210,6,8,4,585000.0,
211,6,8,5,960000.0,
212,6,9,2,325000.0,
213,6,9,4,329000.0,
214,6,9,5,810000.0,
215,6,10,2,264000.0,
216,6,10,4,365000.0,
217,6,10,5,1138000.0,
218,6,11,2,265000.0,
219,6,11,4,230000.0,
220,6,11,5,1050000.0,
221,6,12,2,224900.0,
222,6,12,4,678000.0,
223,7,2,4,555000.0,
224,7,2,5,1195000.0,
225,7,3,2,215000.0,
226,7,3,4,240000.0,
227,7,3,5,1390000.0,
228,7,4,4,265000.0,
229,7,5,2,180000.0,
230,7,5,4,589000.0,
231,7,6,2,286000.0,
232,7,6,4,228500.0,
233,7,6,5,1100000.0,
234,7,7,2,285000.0,
235,7,7,4,975000.0,
236,7,8,2,225000.0,
237,7,8,4,520000.0,
238,7,8,5,711000.0,
239,7,9,2,217500.0,
240,7,9,4,340000.0,
241,7,10,2,240000.0,
242,7,10,4,345000.0,
243,7,11,2,210000.0,
244,7,11,4,265000.0,
245,7,11,5,1215000.0,
246,7,12,2,250000.0,
247,7,12,4,450000.0,
248,8,1,2,225000.0,
249,8,1,4,716000.0,
250,8,2,1,160000.0,
251,8,2,2,261000.0,
252,8,2,4,130000.0,
253,8,2,5,800000.0,
254,8,3,2,237000.0,
255,8,3,5,1860000.0,
256,8,4,2,171000.0,
257,8,4,4,265000.0,
258,8,5,4,340000.0,
259,8,5,5,1720000.0,
260,8,6,2,275000.0,
261,8,6,4,900000.0,145300.0
262,8,7,2,225000.0,
263,8,7,4,305000.0,
264,8,8,2,240000.0,
265,8,8,4,224400.0,
266,8,8,5,616000.0,
267,8,9,2,235000.0,
268,8,9,4,1000000.0,
269,8,9,5,2550000.0,
270,8,10,2,169000.0,
271,8,10,4,220000.0,
272,8,10,5,1090000.0,
273,8,11,2,180000.0,
274,8,11,4,200000.0,
275,8,12,4,337500.0,
276,8,12,5,230000.0,
277,9,1,2,240000.0,
278,9,1,5,1650000.0,
279,9,2,2,339000.0,
280,9,2,4,230000.0,
281,9,2,5,1250000.0,
282,9,3,2,405000.0,
283,9,3,4,385000.0,
284,9,3,5,1775000.0,
285,9,4,2,235000.0,
286,9,4,4,800000.0,
287,9,4,5,1800000.0,
288,9,5,2,235000.0,
289,9,5,4,219000.0,
290,9,5,5,980000.0,
291,9,6,2,229000.0,
292,9,6,4,492500.0,
293,9,6,5,1070000.0,
294,9,7,2,220000.0,
295,9,7,4,340000.0,165000.0
296,9,7,5,2375000.0,
297,9,8,2,298000.0,
298,9,8,4,218800.0,
299,9,8,5,430000.0,
300,9,9,2,237000.0,
301,9,9,4,1230000.0,
302,9,9,5,385000.0,
303,9,10,2,257000.0,
304,9,10,4,255000.0,
305,9,10,5,975000.0,
306,9,11,2,252000.0,
307,9,11,4,390000.0,
308,9,11,5,2600000.0,
309,9,12,2,190000.0,
310,9,12,4,249900.0,
311,9,12,5,1450000.0,
312,10,1,2,518000.0,
313,10,1,4,480000.0,
314,10,2,2,117000.0,
315,10,2,4,225000.0,
316,10,3,2,188000.0,
317,10,3,4,395000.0,
318,10,4,2,189500.0,
319,10,4,4,205000.0,
320,10,4,5,1350000.0,
321,10,5,2,310000.0,
322,10,5,4,326500.0,
323,10,6,2,365000.0,
324,10,6,4,457500.0,
325,10,6,5,2100000.0,
326,10,7,2,210000.0,
327,10,7,4,354000.0,
328,10,7,5,1137000.0,
329,10,8,2,300000.0,
330,10,8,4,358000.0,
331,10,9,2,165000.0,
332,10,9,3,1160000.0,
333,10,9,4,360000.0,
334,10,10,2,220000.0,
335,10,10,4,549000.0,
336,10,10,5,715000.0,
337,10,11,2,350000.0,
338,10,11,4,310000.0,
339,10,11,5,2182500.0,
340,10,12,2,194900.0,
341,10,12,4,415000.0,
342,10,12,5,955000.0,
343,11,1,2,240000.0,
344,11,1,4,444000.0,
345,11,1,5,1309500.0,
346,11,2,2,178000.0,
347,11,2,4,645000.0,
348,11,2,5,922000.0,568000.0
349,11,3,2,272000.0,
350,11,3,4,369000.0,
351,11,3,5,329000.0,
352,11,4,2,200000.0,
353,11,4,4,300000.0,
354,11,4,5,682000.0,
355,11,5,2,285000.0,
356,11,5,4,590000.0,
357,11,5,5,1625000.0,
358,11,6,2,375000.0,
359,11,6,4,255000.0,
360,11,6,5,1350000.0,
361,11,7,2,220000.0,
362,11,7,4,360000.0,
363,11,7,5,2060000.0,
364,11,8,2,203000.0,
365,11,8,4,440000.0,
366,11,9,2,235000.0,
367,11,9,4,440000.0,
368,11,9,5,740000.0,
369,11,10,2,276000.0,
370,11,10,4,395000.0,
371,11,10,5,350000.0,
372,11,11,2,340000.0,
373,11,11,4,479000.0,
374,11,11,5,1130000.0,
375,11,12,2,215000.0,
376,11,12,4,500000.0,
377,11,12,5,800000.0,
378,12,1,2,246000.0,
379,12,1,4,290000.0,
380,12,2,2,180000.0,
381,12,2,4,480000.0,
382,12,2,5,1350000.0,
383,12,3,2,178000.0,
384,12,3,4,347000.0,
385,12,4,2,215000.0,
386,12,4,4,415000.0,
387,12,5,2,227500.0,
388,12,5,4,259500.0,
389,12,6,2,242200.0,
390,12,6,4,485000.0,
391,12,7,1,182000.0,
392,12,7,2,253000.0,
393,12,7,4,455000.0,
394,12,8,2,184900.0,
395,12,8,4,363500.0,
396,12,8,5,1287000.0,
397,12,9,2,176000.0,
398,12,9,4,402000.0,
399,12,9,5,1166400.0,
400,12,10,2,165000.0,
401,12,10,4,588000.0,
402,12,10,5,1050000.0,
403,12,11,2,240000.0,
404,12,11,4,455000.0,
405,12,11,5,990000.0,
406,12,12,2,232000.0,
407,12,12,4,345000.0,
408,12,12,5,555000.0,
409,13,1,2,169000.0,
410,13,1,4,383000.0,
411,13,1,5,1300000.0,
412,13,2,2,265000.0,
413,13,2,4,450000.0,
414,13,2,5,265000.0,
415,13,3,2,179000.0,
416,13,3,3,2300000.0,
417,13,3,4,426000.0,
418,13,3,5,690000.0,
419,13,4,2,220000.0,
420,13,4,4,390000.0,
421,13,4,5,450000.0,
422,13,5,2,245000.0,
423,13,5,4,345000.0,525000.0
424,13,5,5,695000.0,
425,13,6,2,225000.0,
426,13,6,4,392500.0,
427,13,6,5,1950000.0,
428,13,7,2,182000.0,
429,13,7,4,417000.0,
430,13,7,5,262000.0,
431,13,8,2,217000.0,
432,13,8,4,370000.0,
433,13,8,5,365000.0,
434,13,9,2,244900.0,
435,13,9,4,347000.0,
436,13,9,5,380000.0,
437,13,10,2,240000.0,
438,13,10,4,335000.0,
439,13,10,5,415000.0,
440,13,11,2,187500.0,
441,13,11,4,170167.0,
442,13,11,5,291000.0,
443,13,12,2,530000.0,
444,13,12,4,440000.0,447500.0
445,13,12,5,1400000.0,
446,14,1,2,240000.0,
447,14,1,4,354000.0,
448,14,2,4,395000.0,
449,14,3,2,224000.0,
450,14,3,4,365000.0,
451,14,3,5,900000.0,
452,14,4,2,1646000.0,
453,14,4,4,390000.0,
454,14,4,5,290000.0,
455,14,5,2,270000.0,
456,14,5,4,615000.0,
457,14,6,2,235000.0,
458,14,6,4,360000.0,
459,14,6,5,842000.0,
460,14,7,2,240000.0,
461,14,7,4,460000.0,
462,14,8,2,259000.0,
463,14,8,4,315000.0,
464,14,8,5,920000.0,
465,14,9,2,260000.0,
466,14,9,4,345000.0,
467,14,9,5,615000.0,
468,14,10,2,173500.0,
469,14,10,4,327500.0,
470,14,10,5,515000.0,
471,14,11,2,240000.0,
472,14,11,4,359000.0,
473,14,11,5,410000.0,
474,14,12,2,248800.0,
475,14,12,4,246500.0,
476,14,12,5,613500.0,
477,15,1,2,235000.0,
478,15,1,4,307000.0,
479,15,1,5,442900.0,
480,15,2,2,265000.0,
481,15,2,4,495000.0,
482,15,2,5,897000.0,
483,15,3,2,400000.0,
484,15,3,4,425000.0,
485,15,3,5,1590000.0,
486,15,4,2,300000.0,
487,15,4,4,370000.0,
488,15,4,5,1580000.0,
489,15,5,2,210000.0,
490,15,5,4,260000.0,
491,15,5,5,1840000.0,
492,15,6,2,229900.0,
493,15,6,4,600000.0,
494,15,6,5,1950000.0,
495,15,7,2,310000.0,
496,15,7,4,320000.0,
497,15,7,5,1070000.0,
498,15,8,2,250000.0,
499,15,8,4,340000.0,
500,15,8,5,1375000.0,
501,15,9,2,205000.0,
502,15,9,4,335000.0,
503,15,9,5,510000.0,
504,15,10,2,250000.0,
505,15,10,4,410000.0,
506,15,10,5,900000.0,
507,15,11,4,480000.0,
508,15,11,5,740000.0,
509,15,12,2,246000.0,
510,15,12,4,280000.0,
511,15,12,5,475000.0,
512,16,1,2,165000.0,
513,16,1,4,300000.0,460000.0
514,16,1,5,1295000.0,
515,16,2,2,213000.0,
516,16,2,4,329000.0,
517,16,2,5,420000.0,
518,16,3,2,190000.0,
519,16,3,4,440000.0,
520,16,3,5,1040000.0,
521,16,4,2,217000.0,
522,16,4,4,530000.0,
523,16,4,5,1530000.0,
524,16,5,2,252000.0,
525,16,5,4,230000.0,
526,16,5,5,430000.0,
527,16,6,1,80000.0,
528,16,6,2,207000.0,
529,16,6,4,290000.0,
530,16,6,5,330000.0,
531,16,7,2,290000.0,
532,16,7,4,290000.0,
533,16,7,5,640000.0,485100.0
534,16,8,1,1300000.0,
535,16,8,2,210000.0,
536,16,8,4,395000.0,424000.0
537,16,8,5,272500.0,
538,16,9,2,209000.0,
539,16,9,4,607500.0,
540,16,9,5,299900.0,
541,16,10,2,155000.0,
542,16,10,4,522500.0,
543,16,10,5,1150000.0,
544,16,11,2,142000.0,
545,16,11,3,1830000.0,
546,16,11,4,359000.0,460000.0
547,16,11,5,2280000.0,
548,16,12,2,255000.0,
549,16,12,4,405000.0,
550,16,12,5,300000.0,
551,17,1,2,137000.0,
552,17,1,4,261000.0,
553,17,1,5,424900.0,
554,17,2,2,301000.0,
555,17,2,4,310000.0,
556,17,2,5,569900.0,
557,17,3,2,150000.0,
558,17,3,3,2600000.0,
559,17,3,4,269000.0,
560,17,3,5,1570000.0,
561,17,4,2,150000.0,
562,17,4,4,346000.0,
563,17,4,5,1450000.0,
564,17,5,2,250000.0,
565,17,5,4,315000.0,
566,17,5,5,1920000.0,
567,17,6,2,180000.0,
568,17,6,4,395000.0,
569,17,6,5,1290000.0,
570,17,7,2,206000.0,
571,17,7,4,310000.0,
572,17,7,5,823800.0,
573,17,8,2,400000.0,
574,17,8,4,285000.0,
575,17,8,5,343100.0,
576,17,9,2,259000.0,
577,17,9,4,295000.0,
578,17,9,5,410000.0,
579,17,10,2,225000.0,
580,17,10,4,375000.0,
581,17,10,5,1975000.0,
582,17,11,2,228000.0,
583,17,11,4,462000.0,
584,17,11,5,2150000.0,
585,17,12,2,335000.0,
586,17,12,4,330000.0,
587,17,12,5,290000.0,
588,18,1,2,225000.0,
589,18,1,4,345000.0,
590,18,1,5,254000.0,
591,18,2,2,315000.0,
592,18,2,4,474000.0,
593,18,2,5,1160000.0,
594,18,3,2,480000.0,
595,18,3,4,195000.0,
596,18,3,5,340000.0,
597,18,4,2,210000.0,
598,18,4,4,335000.0,
599,18,4,5,725000.0,
600,18,5,2,220000.0,
601,18,5,4,215000.0,
602,18,5,5,1176000.0,
603,18,6,2,200000.0,
604,18,6,4,256000.0,
605,18,7,2,520000.0,
606,18,7,4,260000.0,
607,18,7,5,280000.0,
608,18,8,2,208000.0,
609,18,8,4,315000.0,
610,18,8,5,950000.0,
611,18,9,2,345500.0,
612,18,9,4,1400000.0,
613,18,10,2,310000.0,
614,18,10,4,1310000.0,
615,18,10,5,960000.0,
616,18,11,2,446000.0,
617,18,11,4,340000.0,650000.0
618,18,11,5,255000.0,
619,18,12,2,150000.0,
620,18,12,4,315000.0,
621,18,12,5,1250000.0,
622,19,1,2,493500.0,
623,19,1,4,281500.0,
624,19,1,5,574000.0,
625,19,2,2,190000.0,
626,19,2,4,383000.0,
627,19,2,5,1050000.0,
628,19,3,2,285000.0,
629,19,3,4,420000.0,
630,19,3,5,630000.0,
631,19,4,2,280000.0,
632,19,4,4,305000.0,
633,19,4,5,465000.0,
634,19,5,2,198500.0,
635,19,5,4,420000.0,
636,19,5,5,267000.0,
637,19,6,2,325000.0,
638,19,6,4,320000.0,
639,19,6,5,620000.0,
640,19,7,2,234000.0,
641,19,7,4,260000.0,
642,19,7,5,500000.0,
643,19,8,2,135000.0,
644,19,8,4,349900.0,
645,19,8,5,770000.0,
646,19,9,2,265100.0,
647,19,9,4,330000.0,
648,19,9,5,275000.0,
649,19,10,2,275000.0,
650,19,10,4,279900.0,
651,19,10,5,1200000.0,
652,19,11,2,446500.0,
653,19,11,4,469900.0,
654,19,12,2,263000.0,
655,19,12,4,258000.0,290000.0
656,19,12,5,600000.0,
657,20,1,2,127000.0,
658,20,1,4,347500.0,
659,20,1,5,205000.0,
660,20,2,2,194000.0,
661,20,2,4,365000.0,
662,20,2,5,1040000.0,
663,20,3,2,460000.0,
664,20,3,4,660000.0,
665,20,3,5,575000.0,
666,20,4,2,188000.0,
667,20,4,4,302500.0,
668,20,4,5,287000.0,
669,20,5,2,130000.0,
670,20,5,4,378400.0,
671,20,5,5,660000.0,
672,20,6,2,149900.0,
673,20,6,4,255000.0,
674,20,6,5,270000.0,
675,20,7,2,145000.0,
676,20,7,4,280000.0,
677,20,7,5,1235000.0,
678,20,8,2,457000.0,
679,20,8,4,358000.0,
680,20,8,5,250000.0,570000.0
681,20,9,2,160000.0,
682,20,9,4,350000.0,
683,20,9,5,215000.0,
684,20,10,2,320000.0,
685,20,10,4,735000.0,
686,20,10,5,515000.0,
687,20,11,2,225000.0,
688,20,11,3,2500000.0,
689,20,11,4,396000.0,
690,20,11,5,290000.0,
691,20,12,2,285000.0,
692,20,12,4,305000.0,285000.0
693,20,12,5,264900.0,
694,21,1,2,200000.0,
695,21,1,4,245000.0,
696,21,1,5,2250000.0,
697,21,2,2,146000.0,
698,21,2,4,560000.0,
699,21,2,5,277000.0,
700,21,3,2,239000.0,
701,21,3,4,340000.0,
702,21,3,5,230000.0,
703,21,4,2,209000.0,
704,21,4,4,190000.0,
705,21,4,5,238000.0,
706,21,5,2,260000.0,
707,21,5,4,347000.0,
708,21,5,5,433000.0,
709,21,6,2,270000.0,
710,21,6,3,1775000.0,
711,21,6,4,476500.0,
712,21,6,5,1255000.0,
713,21,7,1,103000.0,
714,21,7,2,404000.0,
715,21,7,4,335000.0,
716,21,7,5,265000.0,
717,21,8,2,259000.0,
718,21,8,3,570000.0,
719,21,8,4,369000.0,
720,21,8,5,700000.0,
721,21,9,2,140000.0,
722,21,9,4,360000.0,
723,21,9,5,2200000.0,
724,21,10,1,120000.0,
725,21,10,2,869000.0,
726,21,10,4,285000.0,
727,21,10,5,615000.0,
728,21,11,2,262000.0,
729,21,11,4,378000.0,
730,21,11,5,485000.0,
731,21,12,2,207000.0,
732,21,12,4,324000.0,
733,21,12,5,275000.0,
734,22,1,2,315000.0,
735,22,1,4,290000.0,
736,22,1,5,336600.0,
737,22,2,2,175500.0,
738,22,2,4,265000.0,193000.0
739,22,2,5,265000.0,
740,22,3,4,280000.0,
741,22,3,5,410000.0,
742,22,4,2,290000.0,
743,22,4,4,289000.0,
744,22,4,5,255000.0,
745,22,5,2,190000.0,
746,22,5,4,315000.0,285000.0
747,22,5,5,272000.0,
748,22,6,2,130000.0,
749,22,6,4,286000.0,
750,22,6,5,1800000.0,
751,22,7,2,205000.0,
752,22,7,4,247000.0,
753,22,7,5,350000.0,
754,22,8,2,158500.0,
755,22,8,3,441000.0,
756,22,8,4,360000.0,
757,22,8,5,555000.0,
758,22,9,2,210500.0,
759,22,9,4,338000.0,
760,22,9,5,285000.0,
761,22,10,2,210000.0,
762,22,10,4,255000.0,
763,22,10,5,1650000.0,
764,22,11,2,275000.0,
765,22,11,4,330000.0,
766,22,11,5,275000.0,
767,22,12,2,580000.0,
768,22,12,4,300000.0,
769,22,12,5,1210000.0,
770,23,1,2,249000.0,
771,23,1,4,260000.0,
772,23,1,5,1175000.0,
773,23,2,2,182500.0,
774,23,2,4,405000.0,
775,23,2,5,2400000.0,
776,23,3,2,180000.0,
777,23,3,4,301000.0,
778,23,3,5,505000.0,
779,23,4,2,172000.0,
780,23,4,4,410000.0,540000.0
781,23,4,5,390000.0,
782,23,5,2,175000.0,
783,23,5,3,2425000.0,
784,23,5,4,284000.0,
785,23,5,5,529000.0,
786,23,6,2,220000.0,
787,23,6,4,320000.0,
788,23,6,5,1210000.0,
789,23,7,2,165000.0,
790,23,7,4,325000.0,
791,23,7,5,900000.0,
792,23,8,2,180000.0,
793,23,8,4,760000.0,
794,23,8,5,275000.0,
795,23,9,2,200000.0,
796,23,9,4,665000.0,
797,23,9,5,279900.0,
798,23,10,2,128000.0,
799,23,10,4,207000.0,
800,23,10,5,1990000.0,
801,23,11,2,184000.0,
802,23,11,4,1400000.0,215000.0
803,23,11,5,250000.0,
804,23,12,2,178000.0,
805,23,12,4,460000.0,
806,23,12,5,600000.0,
807,24,1,2,195000.0,
808,24,1,4,265000.0,229000.0
809,24,1,5,350000.0,635000.0
810,24,2,2,165000.0,
811,24,2,4,900000.0,
812,24,2,5,300000.0,
813,24,3,2,237000.0,
814,24,3,4,250000.0,
815,24,3,5,275000.0,
816,24,4,2,215000.0,
817,24,4,4,345000.0,
818,24,4,5,383500.0,
819,24,5,2,141800.0,
820,24,5,4,280000.0,
821,24,5,5,705000.0,
822,24,6,2,167000.0,
823,24,6,4,255000.0,
824,24,6,5,940000.0,
825,24,7,2,285000.0,
826,24,7,4,261900.0,250000.0
827,24,7,5,845000.0,
828,24,8,2,145000.0,
829,24,8,4,325000.0,
830,24,8,5,285000.0,
831,24,9,2,210000.0,
832,24,9,4,850000.0,
833,24,9,5,292000.0,349800.0
834,24,10,2,240000.0,
835,24,10,4,225000.0,250000.0
836,24,10,5,290000.0,
837,24,11,2,225000.0,
838,24,11,4,190000.0,
839,24,11,5,870000.0,409900.0
840,24,12,2,329000.0,
841,24,12,4,367000.0,255000.0
842,24,12,5,1060000.0,
843,25,1,2,183000.0,
844,25,1,4,315000.0,
845,25,1,5,265000.0,
846,25,2,2,210000.0,
847,25,2,4,375000.0,
848,25,2,5,250000.0,
849,25,3,2,250000.0,
850,25,3,4,159900.0,
851,25,3,5,885000.0,370000.0
852,25,4,2,255000.0,
853,25,4,4,259000.0,
854,25,4,5,1100000.0,
855,25,5,2,195000.0,
856,25,5,4,336000.0,
857,25,5,5,335000.0,
858,25,6,2,239000.0,
859,25,6,4,527500.0,
860,25,6,5,1634000.0,
861,25,7,2,398000.0,
862,25,7,4,350000.0,
863,25,7,5,215000.0,
864,25,8,2,295000.0,
865,25,8,4,299900.0,
866,25,8,5,270000.0,430000.0
867,25,9,2,195000.0,
868,25,9,4,300000.0,378000.0
869,25,9,5,362500.0,440000.0
870,25,10,2,199000.0,
871,25,10,4,263000.0,
872,25,10,5,860000.0,484000.0
873,25,11,2,295000.0,
874,25,11,4,355000.0,335000.0
875,25,11,5,295000.0,
876,25,12,2,225000.0,
877,25,12,4,260000.0,470500.0
878,25,12,5,238000.0,355000.0
879,26,1,2,300000.0,
880,26,1,4,900000.0,307000.0
881,26,1,5,650000.0,
882,26,2,2,185000.0,
883,26,2,4,295000.0,
884,26,2,5,585000.0,
885,26,3,2,219000.0,
886,26,3,4,390000.0,400000.0
887,26,3,5,2050000.0,360000.0
888,26,4,2,340000.0,
889,26,4,4,875000.0,
890,26,4,5,273000.0,
891,26,5,2,455000.0,
892,26,5,4,407500.0,240000.0
893,26,5,5,2400000.0,285000.0
894,26,6,2,160000.0,
895,26,6,4,2637500.0,
896,26,6,5,980000.0,
897,26,7,2,124900.0,
898,26,7,4,289900.0,
899,26,7,5,281500.0,342000.0
900,26,8,2,100000.0,
901,26,8,4,420000.0,
902,26,8,5,600000.0,
903,26,9,2,119000.0,
904,26,9,4,310000.0,
905,26,9,5,295000.0,355000.0
906,26,10,2,196000.0,
907,26,10,4,750000.0,
908,26,10,5,386000.0,
909,26,11,2,700000.0,
910,26,11,4,885000.0,
911,26,11,5,270000.0,379000.0
912,26,12,2,395000.0,
913,26,12,4,289900.0,
914,26,12,5,2070000.0,
915,27,1,2,290000.0,
916,27,1,4,260000.0,
917,27,1,5,293000.0,
918,27,2,2,160000.0,
919,27,2,4,250000.0,237000.0
920,27,2,5,859000.0,
921,27,3,2,182500.0,
922,27,3,4,207000.0,
923,27,3,5,177500.0,
924,27,4,2,247000.0,
925,27,4,4,355000.0,
926,27,4,5,1060000.0,
927,27,5,2,142500.0,
928,27,5,4,262000.0,
929,27,5,5,335000.0,
930,27,6,2,245000.0,
931,27,6,4,302000.0,490500.0
932,27,6,5,750000.0,
933,27,7,2,215000.0,
934,27,7,4,270000.0,
935,27,7,5,635000.0,
936,27,8,2,220000.0,
937,27,8,4,360000.0,
938,27,8,5,1880000.0,
939,27,9,2,119500.0,
940,27,9,4,285000.0,
941,27,9,5,275000.0,
942,27,10,2,200000.0,
943,27,10,4,295000.0,
944,27,10,5,325000.0,
945,27,11,2,270000.0,
946,27,11,4,540000.0,
947,27,11,5,492400.0,
948,27,12,2,310000.0,
949,27,12,4,220000.0,
950,27,12,5,225000.0,
951,28,1,2,72000.0,
952,28,1,4,270000.0,
953,28,1,5,229000.0,
954,28,2,2,152000.0,
955,28,2,4,245000.0,400000.0
956,28,2,5,232000.0,
957,28,3,2,265000.0,
958,28,3,4,565000.0,
959,28,3,5,245000.0,
960,28,4,2,235000.0,
961,28,4,4,251000.0,
962,28,4,5,695000.0,
963,28,5,2,205000.0,
964,28,5,4,350000.0,
965,28,5,5,1810000.0,
966,28,6,2,226000.0,
967,28,6,4,567000.0,
968,28,6,5,200000.0,
969,28,7,4,2100000.0,
970,28,7,5,1200000.0,
